ym,regno,course,n,r1,r2,r3,st_sum,st_n,mk1
2025-07,3445,3,1,0,0,1,0.11,1,0
2025-07,3445,4,2,1,0,0,0.23,2,0
2025-07,3517,1,2,2,0,0,0.07,2,0
2025-07,3517,6,2,0,0,1,0.34,2,0
2025-07,3548,1,1,1,0,0,0.13,1,0
2025-07,3548,3,1,0,0,1,0.07,1,0
2025-07,3548,4,1,0,0,0,0.04,1,0
2025-07,3869,2,1,1,0,0,0.25,1,0
2025-07,3869,3,1,0,0,0,0.09,1,0
2025-07,3869,4,1,0,0,0,0.14,1,0
2025-07,3869,5,1,0,0,0,0.15,1,0
2025-07,3990,2,1,0,1,0,0.02,1,0
2025-07,3990,5,2,0,0,1,0.25,2,0
2025-07,4068,1,1,1,0,0,0.13,1,0
2025-07,4068,3,1,0,0,0,0.14,1,0
2025-07,4068,4,1,0,0,1,0.19,1,0
2025-07,4081,1,1,1,0,0,0.15,1,0
2025-07,4081,4,1,0,0,0,0.19,1,0
2025-07,4081,6,1,0,0,0,0.36,1,0
2025-07,4097,2,1,0,1,0,0.22,1,0
2025-07,4097,3,2,0,1,0,0.4,2,0
2025-07,4124,1,1,1,0,0,0.16,1,0
2025-07,4124,3,1,0,1,0,0.11,1,0
2025-07,4124,4,1,0,0,0,0.14,1,0
2025-07,4124,6,1,0,0,0,0.21,1,0
2025-07,4181,1,1,0,0,0,0.04,1,0
2025-07,4181,2,1,0,1,0,0.25,1,0
2025-07,4181,5,1,0,0,0,0.18,1,0
2025-07,4232,5,3,0,0,1,0.76,3,0
2025-07,4232,6,1,0,0,0,0.35,1,0
2025-07,4380,2,1,0,0,0,0.33,1,0
2025-07,4380,3,1,0,1,0,0.08,1,0
2025-07,4380,5,1,0,0,1,0.11,1,0
2025-07,4420,2,2,0,1,1,0.43,2,0
2025-07,4420,5,2,1,0,0,0.21,2,1
2025-07,4458,1,1,1,0,0,0.2,1,0
2025-07,4458,2,1,0,1,0,0.14,1,0
2025-07,4458,3,1,0,0,0,0.17,1,0
2025-07,4458,5,1,0,0,0,0.07,1,0
2025-07,4535,1,1,1,0,0,0.15,1,0
2025-07,4535,2,1,0,0,1,0.25,1,0
2025-07,4535,6,1,0,0,1,0.18,1,0
2025-07,4552,3,2,0,0,0,0.3,2,0
2025-07,4552,4,2,2,0,0,0.22,2,1
2025-07,4581,1,2,1,1,0,0.29,2,0
2025-07,4581,3,1,0,0,0,0.21,1,0
2025-07,4581,6,1,0,0,0,0.15,1,0
2025-07,4587,1,1,0,0,0,0.16,1,0
2025-07,4587,2,1,0,1,0,0.14,1,0
2025-07,4587,5,1,0,0,0,0.19,1,0
2025-07,4624,2,1,0,0,1,0.11,1,0
2025-07,4624,5,2,0,0,1,0.33,2,0
2025-07,4715,6,2,0,0,1,0.3,2,0
2025-07,4752,1,1,0,0,0,0.06,1,0
2025-07,4752,2,1,0,1,0,0.06,1,0
2025-07,4752,3,1,0,0,0,0.12,1,0
2025-07,4752,4,1,0,0,0,0.17,1,0
2025-07,4754,3,2,0,2,0,0.33,2,0
2025-07,4754,4,1,0,0,0,0.26,1,0
2025-07,4792,1,1,0,0,0,0.03,1,0
2025-07,4792,2,1,0,0,0,0.09,1,0
2025-07,4792,6,1,0,0,0,0.07,1,0
2025-07,4797,1,1,1,0,0,0.16,1,0
2025-07,4797,2,1,1,0,0,0.18,1,0
2025-07,4797,4,1,0,1,0,0.41,1,0
2025-07,4815,1,2,0,0,1,0.41,2,0
2025-07,4815,3,1,0,0,1,0.2,1,0
2025-07,4815,6,1,0,0,0,0.25,1,0
2025-07,4861,2,1,0,1,0,0.19,1,0
2025-07,4861,3,1,0,0,1,0.08,1,0
2025-07,4861,4,2,0,0,0,0.39,2,0
2025-07,4898,1,1,0,0,0,0.14,1,0
2025-07,4898,2,1,0,0,0,0.18,1,0
2025-07,4898,4,1,1,0,0,0.17,1,1
2025-07,4898,5,1,0,0,0,0.13,1,0
2025-07,4957,2,1,1,0,0,0.08,1,0
2025-07,4957,3,1,0,0,0,0.23,1,0
2025-07,4957,4,1,0,1,0,0.13,1,0
2025-07,4957,5,1,0,0,1,0.18,1,0
2025-07,4995,1,1,0,0,0,0.14,1,0
2025-07,4995,2,1,0,1,0,0.15,1,0
2025-07,4995,4,1,0,0,0,0.13,1,0
2025-07,5016,1,2,2,0,0,0.27,2,0
2025-07,5016,6,1,0,0,0,0.09,1,0
2025-07,5042,3,1,1,0,0,0.13,1,1
2025-07,5042,4,1,0,0,1,0.17,1,0
2025-07,5042,6,1,0,0,0,0.19,1,0
2025-07,5103,5,2,0,1,0,0.14,2,0
2025-07,5103,6,2,0,0,0,0.37,2,0
2025-07,5128,1,1,0,1,0,0.1,1,0
2025-07,5128,2,1,0,0,0,0.15,1,0
2025-07,5128,6,1,0,0,0,0.22,1,0
2025-07,5170,2,1,0,1,0,0.21,1,0
2025-07,5170,3,1,0,0,0,0.14,1,0
2025-07,5170,4,1,0,0,0,0.29,1,0
2025-07,5170,5,1,0,0,1,0.32,1,0
2025-07,5183,2,1,0,0,1,0.25,1,0
2025-07,5183,3,1,0,0,1,0.23,1,0
2025-07,5183,4,1,0,0,0,0.19,1,0
2025-07,5183,5,1,0,0,0,0.25,1,0
2025-07,5208,1,1,1,0,0,0.16,1,0
2025-07,5208,3,1,0,0,1,0.16,1,0
2025-07,5208,4,1,0,1,0,0.2,1,0
2025-07,5208,6,1,0,0,0,0.12,1,0
2025-07,5236,5,1,0,0,0,0.32,1,0
2025-07,5236,6,2,0,0,1,0.46,2,0
2025-07,5245,2,1,0,0,0,0.03,1,0
2025-07,5245,4,1,1,0,0,0.24,1,0
2025-07,5245,5,1,0,0,0,0.17,1,0
2025-07,5252,2,1,0,1,0,0.14,1,0
2025-07,5252,3,1,0,1,0,0.21,1,0
2025-07,5252,5,1,0,0,0,0.18,1,0
2025-07,5279,1,1,1,0,0,0.19,1,0
2025-07,5279,3,1,0,0,1,0.08,1,0
2025-07,5279,4,1,0,1,0,0.03,1,0
2025-07,5279,6,1,0,0,0,0.15,1,0
2025-07,5308,2,1,0,0,0,0.09,1,0
2025-07,5308,4,1,0,0,0,0.25,1,0
2025-07,5308,5,1,0,0,0,0.36,1,0
2025-07,5331,6,3,0,0,0,0.81,3,0
2025-08,3075,1,2,1,0,0,0.11,2,0
2025-08,3075,2,1,0,1,0,0.09,1,0
2025-08,3075,3,2,0,0,0,0.14,2,0
2025-08,3075,4,1,0,0,1,0.15,1,0
2025-08,3075,5,1,0,0,1,0.07,1,0
2025-08,3075,6,2,0,0,0,0.18,2,0
2025-08,3105,1,1,0,1,0,0.19,1,0
2025-08,3105,2,2,0,0,1,0.28,2,0
