date,rno,rname,nichime,kimarite,wdir,wspd,payout,ninki,win_course,win_teiban,entries
2025-07-24,1,一般,5,まくり,南,6,21810,62,4,4,6
2025-07-24,2,一般,5,差し,南,5,20150,74,4,4,6
2025-07-24,3,一般,5,逃げ,南,7,2290,7,1,1,6
2025-07-24,4,一般,5,逃げ,南,7,2460,8,1,1,6
2025-07-24,5,一般,5,まくり,南,8,5000,18,3,3,6
2025-07-24,6,一般,5,逃げ,南,7,1260,3,1,1,6
2025-07-24,7,一般,5,逃げ,南,8,2760,14,1,1,6
2025-07-24,8,一般,5,差し,南,9,13410,47,2,2,6
2025-07-24,9,一般特賞,5,逃げ,南,8,3170,11,1,1,6
2025-07-24,10,一般特賞,5,差し,南,9,1440,4,2,2,6
2025-07-24,11,準優勝戦,5,逃げ,南,8,1270,4,1,1,6
2025-07-24,12,準優勝戦,5,逃げ,南,9,1130,3,1,1,6
2025-07-25,1,一般,6,差し,南,9,9970,41,2,2,6
2025-07-25,2,一般,6,まくり差し,南,8,10450,47,5,5,6
2025-07-25,3,一般,6,抜き,南,9,680,1,1,1,6
2025-07-25,4,一般,6,逃げ,南,9,2940,8,1,1,6
2025-07-25,5,一般,6,まくり差し,南,8,2580,8,4,4,6
2025-07-25,6,一般,6,抜き,南,8,15460,52,4,4,6
2025-07-25,7,一般,6,逃げ,南,10,3850,5,1,1,6
2025-07-25,8,一般,6,逃げ,南,10,890,2,1,1,6
2025-07-25,9,一般特選,6,差し,南,9,16910,74,4,4,6
2025-07-25,10,選抜戦,6,逃げ,南,9,1080,2,1,1,6
2025-07-25,11,選抜戦,6,逃げ,南,10,1230,3,1,1,6
2025-07-25,12,優勝戦,6,逃げ,南,8,1900,6,1,1,6
2025-08-03,1,予選,1,まくり差し,北東,5,14390,58,3,3,6
2025-08-03,2,予選,1,まくり差し,北東,4,3910,15,5,5,6
2025-08-03,3,予選,1,まくり差し,北東,5,8870,37,3,3,6
2025-08-03,4,予選,1,抜き,北東,4,4070,14,1,1,6
2025-08-03,5,予選,1,逃げ,北東,6,560,1,1,1,6
2025-08-03,6,予選,1,差し,北東,5,8010,39,2,2,6
2025-08-03,7,予選,1,まくり,北東,4,1950,6,3,3,6
2025-08-03,8,予選,1,まくり差し,北東,6,15820,54,4,4,6
2025-08-03,9,予選,1,差し,北東,6,2760,9,2,2,6
2025-08-03,10,予選特賞,1,逃げ,東,4,2510,8,1,1,6
2025-08-03,11,予選特選,1,逃げ,北東,3,2080,7,1,1,6
2025-08-03,12,江戸川選抜,1,差し,北東,5,9460,32,2,2,6
2025-08-04,1,予選,2,まくり差し,南,8,72420,113,6,6,6
2025-08-04,2,予選,2,まくり,南,9,16590,73,4,4,6
2025-08-04,3,予選,2,逃げ,南,8,22040,86,1,1,6
2025-08-04,4,予選,2,差し,南,9,6590,34,2,2,6
2025-08-04,5,予選,2,逃げ,南,9,1220,1,1,1,6
2025-08-04,6,予選,2,まくり,南,10,6440,30,2,2,6
2025-08-04,7,予選,2,抜き,南,9,3350,11,2,2,6
2025-08-04,8,予選,2,逃げ,南,9,1500,3,1,1,6
2025-08-04,9,予選,2,抜き,南,8,1980,6,2,2,6
2025-08-05,1,予選,3,逃げ,南,9,5640,21,1,1,6
2025-08-05,2,予選,3,逃げ,南,9,1110,1,1,1,6
2025-08-05,3,予選,3,まくり,南,9,5500,22,5,5,6
2025-08-05,4,予選,3,まくり,南,8,4580,19,2,2,6
2025-08-05,5,予選,3,まくり,南,8,12420,73,2,2,6
2025-08-05,6,予選,3,差し,南,8,14590,62,5,5,6
2025-08-05,7,予選,3,まくり差し,南,8,12540,62,4,4,6
2025-08-05,8,予選,3,逃げ,南,8,5100,21,1,1,6
2025-08-05,9,予選,3,逃げ,南,8,4480,17,1,1,6
2025-08-05,10,予選特賞,3,抜き,南,8,1200,4,1,1,6
2025-08-05,11,予選特選,3,抜き,南,9,34810,82,4,4,6
2025-08-05,12,記者選抜戦,3,まくり,南,10,4380,15,3,3,6
2025-08-06,1,予選,4,逃げ,南西,4,3190,12,1,1,6
2025-08-06,2,予選,4,まくり,南東,6,12160,44,3,3,6
2025-08-06,3,予選,4,差し,南,5,13510,51,2,2,6
2025-08-06,4,予選,4,まくり,南,6,3920,14,5,5,6
2025-08-06,5,予選,4,差し,南,6,11400,42,2,2,6
2025-08-06,6,予選,4,まくり差し,南,6,4420,18,4,4,6
2025-08-06,7,予選,4,まくり,南,6,7200,26,2,2,6
2025-08-06,8,予選,4,逃げ,南,7,14820,46,1,1,6
2025-08-06,9,予選,4,差し,南,7,9320,37,2,2,6
2025-08-06,10,予選特賞,4,逃げ,南,7,3820,13,1,1,6
2025-08-06,11,予選特選,4,逃げ,南,4,1590,5,1,1,6
2025-08-06,12,記者選抜戦,4,まくり差し,南,7,22460,49,5,5,6
2025-08-07,1,一般,5,逃げ,北東,6,2580,2,1,1,6
2025-08-07,2,一般,5,まくり,北東,4,2400,7,3,3,6
2025-08-07,3,一般,5,抜き,北東,4,2670,8,1,1,6
2025-08-07,4,一般,5,まくり,北東,3,20020,45,4,4,6
2025-08-07,5,一般,5,差し,東,3,26270,78,3,3,6
2025-08-07,6,一般,5,逃げ,南,3,2910,12,1,1,6
2025-08-07,7,一般,5,まくり差し,南東,4,4240,20,4,4,6
2025-08-07,8,一般,5,逃げ,南東,5,1370,3,1,1,6
2025-08-07,9,一般,5,逃げ,南東,5,2520,10,1,1,6
2025-08-07,10,一般特賞,5,逃げ,南,5,5770,21,1,1,6
2025-08-07,11,準優勝戦,5,まくり,南,6,4080,16,4,4,6
2025-08-07,12,準優勝戦,5,逃げ,南,5,2150,8,1,1,6
2025-08-08,1,一般,6,まくり,南,6,5570,20,4,4,6
2025-08-08,2,一般,6,逃げ,南,7,6420,28,1,1,6
2025-08-08,3,一般,6,まくり,南,6,12740,53,2,2,6
2025-08-08,4,一般,6,差し,南,8,4260,15,4,4,6
2025-08-08,5,一般,6,抜き,南,8,2250,2,2,2,6
2025-08-08,6,一般,6,逃げ,南,8,2020,4,1,1,6
2025-08-08,7,一般,6,まくり,北,6,2370,6,5,5,6
2025-08-08,8,一般,6,逃げ,北,3,7830,33,1,1,6
2025-08-08,9,一般,6,まくり差し,南,3,20580,73,5,5,6
2025-08-08,10,選抜戦,6,まくり,南,5,3210,11,4,4,6
2025-08-08,11,選抜戦,6,まくり,南,5,9170,31,2,2,6
2025-08-08,12,優勝戦,6,抜き,南,6,1460,5,1,1,6
2025-08-17,1,予選,1,まくり差し,南,8,3820,13,3,3,6
2025-08-17,2,予選,1,逃げ,南,8,2540,11,1,1,6
2025-08-17,3,予選,1,まくり差し,南,9,3520,14,5,5,6
2025-08-17,4,予選,1,まくり差し,南,9,4570,21,4,4,6
2025-08-17,5,予選,1,差し,南,8,12380,48,4,4,6
2025-08-17,6,予選,1,逃げ,南,8,40110,84,1,1,6
2025-08-17,7,予選,1,差し,南,8,1280,4,2,2,6
2025-08-18,1,予選,2,逃げ,北西,3,1330,1,1,1,6
2025-08-18,2,予選,2,まくり,南西,3,3280,7,3,3,6
2025-08-18,3,予選,2,抜き,南西,4,3370,12,2,2,6
2025-08-18,4,予選,2,差し,南西,5,16810,69,3,3,6
2025-08-18,5,予選,2,逃げ,南,5,4130,19,1,1,6
2025-08-18,6,予選,2,まくり,南西,5,1180,2,3,3,6
2025-08-18,7,予選,2,逃げ,南,6,2280,11,1,1,6
2025-08-18,8,予選,2,逃げ,南,4,4260,17,1,1,6
2025-08-18,9,予選,2,まくり差し,南,5,13000,48,3,3,6
2025-08-18,10,予選ラリー選,2,抜き,南東,6,1420,3,1,1,6
2025-08-18,11,予選バディ選,2,逃げ,北東,4,5940,21,1,1,6
2025-08-18,12,予選特別選抜,2,抜き,南東,5,710,2,1,1,6
2025-08-19,1,予選,3,逃げ,南,7,3570,13,1,1,6
