ym,regno,boat,n,top3
2025-07,2878,2,1,1
2025-07,2878,3,2,0
2025-07,2878,4,1,1
2025-07,2878,6,1,1
2025-07,3024,1,1,1
2025-07,3024,2,2,1
2025-07,3024,3,2,2
2025-07,3024,4,1,0
2025-07,3024,5,1,1
2025-07,3054,1,2,2
2025-07,3054,2,2,1
2025-07,3054,3,1,0
2025-07,3054,4,1,1
2025-07,3054,5,2,1
2025-07,3054,6,2,1
2025-07,3070,1,1,1
2025-07,3070,2,1,0
2025-07,3070,4,1,0
2025-07,3070,5,1,0
2025-07,3070,6,1,1
2025-07,3072,1,1,1
2025-07,3072,2,2,1
2025-07,3072,3,2,0
2025-07,3072,4,2,0
2025-07,3072,5,1,0
2025-07,3081,1,2,1
2025-07,3081,2,1,1
2025-07,3081,3,1,0
2025-07,3081,4,3,0
2025-07,3081,5,1,1
2025-07,3081,6,2,0
2025-07,3105,1,2,1
2025-07,3105,2,1,0
2025-07,3105,3,2,2
2025-07,3105,4,1,0
2025-07,3105,5,1,1
2025-07,3105,6,1,0
2025-07,3107,3,3,0
2025-07,3107,4,2,1
2025-07,3107,5,1,0
2025-07,3107,6,1,0
2025-07,3156,2,1,0
2025-07,3156,3,1,1
2025-07,3156,4,1,1
2025-07,3156,5,1,0
2025-07,3156,6,1,0
2025-07,3161,2,1,0
2025-07,3161,3,1,1
2025-07,3161,4,1,1
2025-07,3161,5,1,0
2025-07,3175,2,1,1
2025-07,3175,5,1,0
2025-07,3202,1,1,0
2025-07,3202,2,1,1
2025-07,3202,3,2,2
2025-07,3202,5,1,0
2025-07,3211,1,1,1
2025-07,3211,2,2,2
2025-07,3211,3,2,2
2025-07,3211,4,1,0
2025-07,3211,5,2,0
2025-07,3211,6,1,1
2025-07,3224,1,1,1
2025-07,3224,2,1,0
2025-07,3224,3,2,2
2025-07,3224,4,2,1
2025-07,3224,5,1,0
2025-07,3224,6,1,0
2025-07,3226,2,1,0
2025-07,3226,4,1,0
2025-07,3226,5,1,1
2025-07,3232,1,1,1
2025-07,3232,2,2,2
2025-07,3232,3,2,2
2025-07,3232,4,3,2
2025-07,3232,5,1,1
2025-07,3233,1,2,1
2025-07,3233,2,1,0
2025-07,3233,3,3,1
2025-07,3233,4,1,1
2025-07,3233,5,1,0
