regno,選手名,全国スローn,全国スローST,当地スローn,当地スローST,採用スローST,スロー源,スロー遅れ,スロー巧者,全国ダッシュn,全国ダッシュST,当地ダッシュn,当地ダッシュST,採用ダッシュST,ダッシュ源,ダッシュ遅れ,ダッシュ巧者
2538,高橋二朗,112,0.21,0,,0.21,全国,●,,91,0.21,0,,0.21,全国,●,
2878,富山弘幸,126,0.167,0,,0.167,全国,,,100,0.181,0,,0.181,全国,●,
3024,西島義則,198,0.165,5,0.138,0.165,全国,,,3,0.137,3,0.137,0.137,全国,,
3054,北川幸典,89,0.175,0,,0.175,全国,,,88,0.188,0,,0.188,全国,●,
3070,山室展弘,86,0.16,0,,0.16,全国,,,26,0.137,0,,0.137,全国,,
3072,西田靖,205,0.163,0,,0.163,全国,,,1,0.18,0,,0.18,全国,,
3075,中村裕将,120,0.133,14,0.103,0.103,当地,,●,107,0.127,13,0.116,0.116,当地,,●
3081,岡本慎治,54,0.165,0,,0.165,全国,,,55,0.177,0,,0.177,全国,,
3105,内山文典,111,0.168,19,0.146,0.146,当地,,,100,0.168,20,0.175,0.175,当地,,
3107,平岡重典,75,0.176,4,0.168,0.176,全国,,,71,0.177,4,0.217,0.177,全国,,
3156,金子良昭,123,0.168,0,,0.168,全国,,,63,0.184,0,,0.184,全国,●,
3158,島川光男,139,0.144,0,,0.144,全国,,,129,0.143,0,,0.143,全国,,
3159,江口晃生,167,0.156,0,,0.156,全国,,,0,,0,,,全国,,
3161,古場輝義,144,0.186,0,,0.186,全国,●,,78,0.169,0,,0.169,全国,,
3175,渡辺千草,107,0.159,0,,0.159,全国,,,105,0.155,0,,0.155,全国,,
3176,長谷川巌,59,0.176,0,,0.176,全国,,,54,0.211,0,,0.211,全国,●,
3202,三品隆浩,115,0.183,32,0.158,0.158,当地,,,102,0.211,25,0.188,0.188,当地,●,
3207,田村美和,81,0.198,9,0.194,0.198,全国,●,,74,0.16,8,0.18,0.16,全国,,
3211,北川敏弘,103,0.18,0,,0.18,全国,,,101,0.168,0,,0.168,全国,,
3212,亀本勇樹,118,0.171,0,,0.171,全国,,,85,0.155,0,,0.155,全国,,
3224,栗山繁洋,109,0.191,4,0.175,0.191,全国,●,,100,0.192,3,0.24,0.192,全国,●,
3226,浦田信義,122,0.177,15,0.189,0.189,当地,●,,107,0.185,13,0.203,0.203,当地,●,
3232,山川美由紀,96,0.149,0,,0.149,全国,,,89,0.161,0,,0.161,全国,,
3233,小畑実成,109,0.159,0,,0.159,全国,,,107,0.173,0,,0.173,全国,,
3246,星野政彦,43,0.178,0,,0.178,全国,,,35,0.154,0,,0.154,全国,,
3251,平石和男,172,0.184,3,0.223,0.184,全国,●,,139,0.198,2,0.29,0.198,全国,●,
3256,三角哲男,146,0.135,11,0.164,0.164,当地,,,115,0.157,8,0.189,0.157,全国,,
3257,田頭実,211,0.134,0,,0.134,全国,,,4,0.168,0,,0.168,全国,,
3265,今村暢孝,202,0.143,0,,0.143,全国,,,0,,0,,,全国,,
3268,森竜也,145,0.154,0,,0.154,全国,,,91,0.176,0,,0.176,全国,,
3277,齋藤勇,121,0.172,36,0.175,0.175,当地,,,98,0.181,27,0.206,0.206,当地,●,
3282,池本輝明,115,0.178,0,,0.178,全国,,,103,0.214,0,,0.214,全国,●,
3284,渡邊伸太郎,116,0.178,0,,0.178,全国,,,88,0.223,0,,0.223,全国,●,
3286,坂東満,75,0.147,0,,0.147,全国,,,69,0.182,0,,0.182,全国,●,
3289,高橋淳美,70,0.182,0,,0.182,全国,●,,55,0.201,0,,0.201,全国,●,
3293,宮内由紀英,98,0.185,0,,0.185,全国,●,,99,0.2,0,,0.2,全国,●,
3294,野中義生,87,0.175,0,,0.175,全国,,,99,0.146,0,,0.146,全国,,
3297,藤丸光一,158,0.203,0,,0.203,全国,●,,47,0.209,0,,0.209,全国,●,
3300,川崎智幸,146,0.144,6,0.09,0.144,全国,,,121,0.163,13,0.229,0.229,当地,●,
3302,谷川里江,82,0.172,0,,0.172,全国,,,75,0.173,0,,0.173,全国,,
3303,渡辺豊,146,0.187,32,0.176,0.176,当地,,,144,0.209,28,0.224,0.224,当地,●,
3304,烏野賢太,160,0.169,0,,0.169,全国,,,139,0.168,0,,0.168,全国,,
3305,小野信樹,97,0.171,0,,0.171,全国,,,92,0.155,0,,0.155,全国,,
3306,武田正紀,103,0.154,10,0.127,0.127,当地,,●,102,0.151,9,0.138,0.151,全国,,
3313,本吉正樹,105,0.177,24,0.182,0.182,当地,●,,100,0.178,22,0.195,0.195,当地,●,
3315,広瀬聖仁,82,0.152,3,0.143,0.152,全国,,,87,0.187,4,0.12,0.187,全国,●,
3319,山崎義明,129,0.167,12,0.151,0.151,当地,,,127,0.156,8,0.163,0.156,全国,,
3327,野長瀬正孝,172,0.156,0,,0.156,全国,,,86,0.185,0,,0.185,全国,●,
3333,丸尾義孝,157,0.138,0,,0.138,全国,,,140,0.158,0,,0.158,全国,,
3334,角ひとみ,159,0.19,0,,0.19,全国,●,,129,0.201,0,,0.201,全国,●,
3339,泉具巳,107,0.171,4,0.195,0.171,全国,,,101,0.151,4,0.18,0.151,全国,,
3340,池田雷太,124,0.181,24,0.167,0.167,当地,,,119,0.19,22,0.197,0.197,当地,●,
3346,宮本裕之,36,0.158,0,,0.158,全国,,,35,0.172,0,,0.172,全国,,
3349,吉田一郎,174,0.158,0,,0.158,全国,,,99,0.153,0,,0.153,全国,,
