regno,選手名,n2,nige,exp,壁力,負けn,自分勝ち率,まくり決着率,壁,弱タイプ
4561,藤山翔大,54,0.3333,0.5871,-25.4,36,0.333,0.556,壁弱●,素通し型
4832,権藤俊光,47,0.3617,0.5972,-23.6,30,0.5,0.533,壁弱●,食う型
4470,平田健之佑,44,0.3182,0.5536,-23.5,30,0.4,0.567,壁弱●,食う型
3952,中澤和志,45,0.3556,0.5876,-23.2,29,0.483,0.552,壁弱●,食う型
3024,西島義則,101,0.3366,0.5561,-21.9,67,0.403,0.687,壁弱●,食う型
5066,鈴木孝明,40,0.375,0.5863,-21.1,25,0.48,0.52,壁弱●,食う型
4391,松田祐季,40,0.4,0.6094,-20.9,24,0.458,0.583,壁弱●,食う型
5170,佐藤太亮,43,0.3488,0.5578,-20.9,28,0.107,0.857,壁弱●,素通し型
3257,田頭実,148,0.3514,0.5465,-19.5,96,0.427,0.719,壁弱●,食う型
4166,吉田拡郎,42,0.4524,0.6449,-19.3,23,0.522,0.565,壁弱●,食う型
4686,丸野一樹,50,0.46,0.6524,-19.2,27,0.37,0.667,壁弱●,素通し型
5150,坂本雄紀,40,0.375,0.5668,-19.2,25,0.48,0.48,壁弱●,食う型
4500,山田康二,50,0.44,0.6311,-19.1,28,0.536,0.536,壁弱●,食う型
4836,大谷健太,40,0.35,0.5382,-18.8,26,0.346,0.538,壁弱●,素通し型
4415,下出卓矢,42,0.381,0.567,-18.6,26,0.269,0.615,壁弱●,素通し型
4083,福島勇樹,51,0.4118,0.5957,-18.4,30,0.567,0.5,壁弱●,食う型
5255,藤原仙二,41,0.4146,0.5982,-18.4,24,0.5,0.625,壁弱●,食う型
4544,松田大志郎,46,0.4348,0.6174,-18.3,26,0.577,0.423,壁弱●,食う型
4642,松尾夏海,45,0.3778,0.5596,-18.2,28,0.393,0.571,壁弱●,素通し型
4370,山口達也,46,0.4348,0.6162,-18.1,26,0.462,0.538,壁弱●,食う型
4388,是澤孝宏,51,0.4118,0.5927,-18.1,30,0.267,0.567,壁弱●,素通し型
4095,福来剛,41,0.4146,0.5946,-18.0,24,0.5,0.458,壁弱●,食う型
5136,濱野斗馬,51,0.4118,0.589,-17.7,30,0.3,0.567,壁弱●,素通し型
4848,仲谷颯仁,47,0.4894,0.6649,-17.6,24,0.417,0.542,壁弱●,食う型
5196,鰐部太空海,45,0.4222,0.5951,-17.3,26,0.692,0.269,壁弱●,食う型
4874,池田奈津美,99,0.3535,0.526,-17.2,64,0.156,0.719,壁弱●,素通し型
5088,高憧四季,45,0.4,0.5713,-17.1,27,0.704,0.667,壁弱●,食う型
3849,中岡正彦,57,0.4035,0.5705,-16.7,34,0.529,0.765,壁弱●,食う型
4441,末永由楽,43,0.4186,0.5853,-16.7,25,0.4,0.56,壁弱●,食う型
5267,石本裕武,53,0.4151,0.5817,-16.7,31,0.645,0.29,壁弱●,食う型
4851,関浩哉,47,0.4681,0.6341,-16.6,25,0.52,0.52,壁弱●,食う型
4932,新開航,45,0.4667,0.63,-16.3,24,0.458,0.625,壁弱●,食う型
4680,後藤美翼,42,0.3571,0.5192,-16.2,27,0.148,0.704,壁弱●,素通し型
3159,江口晃生,111,0.4054,0.5663,-16.1,66,0.273,0.682,壁弱●,素通し型
3920,正木聖賢,64,0.3906,0.5512,-16.1,39,0.103,0.872,壁弱●,素通し型
4369,丹下将,44,0.3864,0.5476,-16.1,27,0.222,0.556,壁弱●,素通し型
4824,松井洪弥,47,0.4043,0.5642,-16.0,28,0.464,0.607,壁弱●,食う型
3473,石川真二,180,0.4167,0.5748,-15.8,105,0.324,0.61,壁弱●,素通し型
4148,枝尾賢,47,0.4255,0.5798,-15.4,27,0.37,0.593,壁弱●,素通し型
4437,中田元泰,48,0.4375,0.5905,-15.3,27,0.185,0.667,壁弱●,素通し型
4786,佐藤博亮,53,0.4151,0.5656,-15.0,31,0.613,0.419,壁弱●,食う型
4804,高田ひかる,42,0.4286,0.579,-15.0,24,0.292,0.75,壁弱●,素通し型
5139,大場恒季,44,0.3864,0.535,-14.9,27,0.444,0.481,壁弱●,食う型
4688,永井彪也,43,0.4419,0.5887,-14.7,24,0.375,0.583,壁弱●,素通し型
3415,松井繁,60,0.5333,0.6773,-14.4,28,0.464,0.5,壁弱●,食う型
3869,井芹大志,42,0.4048,0.549,-14.4,25,0.04,0.68,壁弱●,素通し型
4243,西村歩,43,0.4186,0.5608,-14.2,25,0.36,0.48,壁弱●,素通し型
3933,山地正樹,111,0.4054,0.5462,-14.1,66,0.273,0.636,壁弱●,素通し型
3582,吉川昭男,99,0.4141,0.5543,-14.0,58,0.379,0.552,壁弱●,素通し型
4077,品田直樹,54,0.3889,0.529,-14.0,33,0.424,0.606,壁弱●,食う型
4514,上條嘉嗣,64,0.4375,0.5773,-14.0,36,0.472,0.528,壁弱●,食う型
5050,木下雄介,42,0.4286,0.5672,-13.9,24,0.333,0.625,壁弱●,素通し型
4730,土屋実沙希,40,0.425,0.5629,-13.8,23,0.304,0.696,壁弱●,素通し型
4545,岡村慶太,43,0.4419,0.579,-13.7,24,0.417,0.625,壁弱●,食う型
4811,向井田佑紀,47,0.4255,0.5623,-13.7,27,0.222,0.741,壁弱●,素通し型
4939,宮之原輝紀,45,0.4667,0.6029,-13.6,24,0.417,0.583,壁弱●,食う型
4102,益田啓司,45,0.4667,0.6019,-13.5,24,0.583,0.542,壁弱●,食う型
3643,米田隆弘,41,0.3902,0.5247,-13.4,25,0.08,0.68,壁弱●,素通し型
4028,田村隆信,50,0.48,0.6145,-13.4,26,0.269,0.692,壁弱●,素通し型
3532,柴田光,59,0.4237,0.5562,-13.2,34,0.382,0.618,壁弱●,素通し型
5182,宮崎安奈,40,0.425,0.5569,-13.2,23,0.261,0.696,壁弱●,素通し型
