jcd,date,race,band,points,cost,hit,ret,synth,fair_p,combo,payout,points_n50,cost_n50,hit_n50,ret_n50,fair_p_n50,rank_win
09,2025-09-19,4,head1,20,2000,0,0,5.45,0.1377,2-4-6,1100,11,1100,0,0,0.119,2
09,2025-09-19,4,head2,20,2000,1,1100,2.46,0.3049,2-4-6,1100,14,1400,1,1100,0.2911,2
09,2025-09-19,4,head3,20,2000,0,0,19.52,0.0384,2-4-6,1100,2,200,0,0,0.0093,2
09,2025-09-19,4,head4,20,2000,0,0,1.77,0.4243,2-4-6,1100,17,1700,0,0,0.4169,2
09,2025-09-19,4,head5,20,2000,0,0,50.9,0.0147,2-4-6,1100,0,0,0,0,0.0,2
09,2025-09-19,4,head6,20,2000,0,0,9.21,0.0814,2-4-6,1100,6,600,0,0,0.0535,2
09,2025-09-19,4,anti_in,100,10000,1,1100,0.87,0.8638,2-4-6,1100,39,3900,1,1100,0.7708,2
09,2025-09-20,4,head1,20,2000,1,1280,1.68,0.4451,1-3-2,1280,13,1300,1,1280,0.4308,3
09,2025-09-20,4,head2,20,2000,0,0,8.8,0.0852,1-3-2,1280,8,800,0,0,0.0637,3
09,2025-09-20,4,head3,20,2000,0,0,2.6,0.2889,1-3-2,1280,13,1300,0,0,0.2753,3
09,2025-09-20,4,head4,20,2000,0,0,10.56,0.071,1-3-2,1280,7,700,0,0,0.0473,3
09,2025-09-20,4,head5,20,2000,0,0,7.11,0.1054,1-3-2,1280,9,900,0,0,0.0805,3
09,2025-09-20,4,head6,20,2000,0,0,121.55,0.0062,1-3-2,1280,0,0,0,0,0.0,3
09,2025-09-20,4,anti_in,100,10000,0,0,1.35,0.5567,1-3-2,1280,37,3700,0,0,0.4669,3
09,2025-09-21,4,head1,20,2000,1,2050,1.02,0.7353,1-3-4,2050,17,1700,1,2050,0.7308,8
09,2025-09-21,4,head2,20,2000,0,0,4.94,0.1517,1-3-4,2050,13,1300,0,0,0.1462,8
09,2025-09-21,4,head3,20,2000,0,0,13.66,0.0549,1-3-4,2050,9,900,0,0,0.0433,8
09,2025-09-21,4,head4,20,2000,0,0,31.0,0.0242,1-3-4,2050,5,500,0,0,0.012,8
09,2025-09-21,4,head5,20,2000,0,0,23.08,0.0325,1-3-4,2050,6,600,0,0,0.0197,8
09,2025-09-21,4,head6,20,2000,0,0,125.62,0.006,1-3-4,2050,0,0,0,0,0.0,8
09,2025-09-21,4,anti_in,100,10000,0,0,2.79,0.2693,1-3-4,2050,33,3300,0,0,0.2212,8
