date,venue,race,cell,points,stake,bets,result,payout,return,note,points_n50,stake_n50,return_n50
2026-08-27,平和島,12,平和島 壁強×頭1（1-2-x 比例配分）,4,1000,1-2-3=400 1-2-4=300 1-2-5=200 1-2-6=100,1-4-5,1730,0,"合成オッズ 3.2倍（1,000円をオッズ反比例で配分）",4,1000,0
2026-09-02,福岡,1,福岡 うねり窓S8（2-3-x／2-5-x）,8,800,2-3-1=100 2-3-4=100 2-3-5=100 2-3-6=100 2-5-1=100 2-5-3=100 2-5-4=100 2-5-6=100,1-3-4,910,0,,3,300,0
2026-09-02,福岡,2,福岡 うねり窓S8（2-3-x／2-5-x）,8,800,2-3-1=100 2-3-4=100 2-3-5=100 2-3-6=100 2-5-1=100 2-5-3=100 2-5-4=100 2-5-6=100,2-6-5,4990,0,,5,500,0
2026-09-02,福岡,3,福岡 うねり窓S8（2-3-x／2-5-x）,8,800,2-3-1=100 2-3-4=100 2-3-5=100 2-3-6=100 2-5-1=100 2-5-3=100 2-5-4=100 2-5-6=100,1-5-2,6930,0,,7,700,0
2026-09-02,福岡,4,福岡 うねり窓S8（2-3-x／2-5-x）,8,800,2-3-1=100 2-3-4=100 2-3-5=100 2-3-6=100 2-5-1=100 2-5-3=100 2-5-4=100 2-5-6=100,3-1-2,1950,0,,4,400,0
2026-09-02,福岡,5,福岡 うねり窓S8（2-3-x／2-5-x）,8,800,2-3-1=100 2-3-4=100 2-3-5=100 2-3-6=100 2-5-1=100 2-5-3=100 2-5-4=100 2-5-6=100,1-2-3,1770,0,,8,800,0
2026-09-02,福岡,6,福岡 うねり窓S8（2-3-x／2-5-x）,8,800,2-3-1=100 2-3-4=100 2-3-5=100 2-3-6=100 2-5-1=100 2-5-3=100 2-5-4=100 2-5-6=100,1-3-4,1320,0,,3,300,0
2026-09-05,平和島,5,平和島 壁強×頭1（1-2-x 比例配分）,4,1000,1-2-3=600 1-2-4=300 1-2-5=0 1-2-6=100,3-4-2,1230,0,"合成オッズ 15.4倍（1,000円をオッズ反比例で配分）",4,1000,0
2026-09-08,平和島,2,平和島 壁強×頭1（1-2-x 比例配分）,4,1000,1-2-3=100 1-2-4=500 1-2-5=300 1-2-6=100,1-2-4,2030,10150,"合成オッズ 9.7倍（1,000円をオッズ反比例で配分）",4,1000,10150
2026-09-09,平和島,2,平和島 壁強×頭1（1-2-x 比例配分）,4,1000,1-2-3=200 1-2-4=200 1-2-5=500 1-2-6=100,2-4-3,20670,0,"合成オッズ 14.0倍（1,000円をオッズ反比例で配分）",3,900,0
2026-09-10,平和島,6,平和島 壁強×頭1（1-2-x 比例配分）,4,1000,1-2-3=300 1-2-4=200 1-2-5=200 1-2-6=300,1-3-2,2410,0,"合成オッズ 11.8倍（1,000円をオッズ反比例で配分）",4,1000,0
2026-09-13,福岡,1,福岡 うねり窓S8（2-3-x／2-5-x）,8,800,2-3-1=100 2-3-4=100 2-3-5=100 2-3-6=100 2-5-1=100 2-5-3=100 2-5-4=100 2-5-6=100,1-6-4,5420,0,,1,100,0
2026-09-13,福岡,2,福岡 うねり窓S8（2-3-x／2-5-x）,8,800,2-3-1=100 2-3-4=100 2-3-5=100 2-3-6=100 2-5-1=100 2-5-3=100 2-5-4=100 2-5-6=100,3-2-4,4430,0,,6,600,0
2026-09-13,福岡,3,福岡 うねり窓S8（2-3-x／2-5-x）,8,800,2-3-1=100 2-3-4=100 2-3-5=100 2-3-6=100 2-5-1=100 2-5-3=100 2-5-4=100 2-5-6=100,3-4-1,2930,0,,4,400,0
2026-09-14,平和島,2,平和島 壁強×頭1（1-2-x 比例配分）,4,1000,1-2-3=600 1-2-4=200 1-2-5=100 1-2-6=100,3-4-5,2570,0,"合成オッズ 11.2倍（1,000円をオッズ反比例で配分）",4,1000,0
2026-09-14,平和島,12,平和島 差し巧者×頭2（2-1-x＋2-3-1・2-4-1）,6,600,2-1-3=100 2-1-4=100 2-1-5=100 2-1-6=100 2-3-1=100 2-4-1=100,3-6-4,6600,0,,0,0,0
2026-09-14,福岡,1,福岡 うねり窓S8（2-3-x／2-5-x）,8,800,2-3-1=100 2-3-4=100 2-3-5=100 2-3-6=100 2-5-1=100 2-5-3=100 2-5-4=100 2-5-6=100,3-1-4,3400,0,,1,100,0
2026-09-14,福岡,2,福岡 うねり窓S8（2-3-x／2-5-x）,8,800,2-3-1=100 2-3-4=100 2-3-5=100 2-3-6=100 2-5-1=100 2-5-3=100 2-5-4=100 2-5-6=100,2-1-4,2100,0,,5,500,0
2026-09-14,福岡,3,福岡 うねり窓S8（2-3-x／2-5-x）,8,800,2-3-1=100 2-3-4=100 2-3-5=100 2-3-6=100 2-5-1=100 2-5-3=100 2-5-4=100 2-5-6=100,3-1-6,1290,0,,3,300,0
