regno,選手名,n2c,勝率,差し勝率,補正勝率,補正差し勝率,差し比率,差し巧者,差し不発
5196,鰐部太空海,43,0.419,0.302,0.336,0.236,0.722,●,
4278,藤岡俊介,49,0.286,0.245,0.249,0.201,0.857,●,
4514,上條嘉嗣,54,0.278,0.241,0.246,0.201,0.867,●,
4793,金子萌,45,0.267,0.244,0.233,0.198,0.917,●,
5139,大場恒季,40,0.275,0.25,0.236,0.198,0.909,●,
4824,松井洪弥,41,0.293,0.244,0.249,0.195,0.833,●,
4786,佐藤博亮,46,0.413,0.239,0.336,0.195,0.579,●,
5267,石本裕武,41,0.293,0.244,0.249,0.195,0.833,●,
4590,渡邉優美,42,0.333,0.238,0.277,0.192,0.714,●,
4472,尾嶋一広,44,0.25,0.227,0.222,0.186,0.909,●,
4436,渋谷明憲,40,0.25,0.225,0.22,0.181,0.9,●,
4403,木下大將,42,0.286,0.214,0.245,0.176,0.75,●,
4983,前田篤哉,48,0.271,0.208,0.238,0.175,0.769,●,
5112,砂長知輝,45,0.267,0.2,0.233,0.168,0.75,●,
4357,田中和也,51,0.216,0.196,0.2,0.167,0.909,●,
5279,石渡翔一郎,40,0.25,0.2,0.22,0.165,0.8,●,
4262,馬場貴也,40,0.25,0.2,0.22,0.165,0.8,●,
3783,瓜生正義,40,0.275,0.2,0.236,0.165,0.727,●,
4446,和田兼輔,46,0.283,0.196,0.245,0.165,0.692,●,
4012,中村有裕,40,0.3,0.2,0.253,0.165,0.667,●,
5087,佐藤航,40,0.25,0.2,0.22,0.165,0.8,●,
4737,竹井貴史,46,0.391,0.196,0.321,0.165,0.5,●,
4288,永田啓二,53,0.302,0.189,0.263,0.163,0.625,●,
4483,北野輝季,41,0.244,0.195,0.216,0.162,0.8,●,
5073,上原健次郎,41,0.22,0.195,0.2,0.162,0.889,●,
3613,角谷健吾,41,0.22,0.195,0.2,0.162,0.889,●,
5026,安河内健,42,0.19,0.19,0.18,0.16,1.0,●,
4083,福島勇樹,48,0.354,0.188,0.297,0.16,0.529,●,
4581,吉村誠,42,0.262,0.19,0.229,0.16,0.727,●,
4851,関浩哉,42,0.214,0.19,0.196,0.16,0.889,●,
4532,秋元哲,48,0.229,0.188,0.208,0.16,0.818,●,
3740,大澤普司,42,0.19,0.19,0.18,0.16,1.0,●,
5280,廣瀬凜,50,0.3,0.18,0.26,0.156,0.6,●,
4055,吉田俊彦,56,0.25,0.179,0.226,0.156,0.714,●,
4512,高野哲史,44,0.273,0.182,0.237,0.155,0.667,●,
4239,竹田辰也,44,0.25,0.182,0.222,0.155,0.727,●,
4324,海野康志郎,76,0.237,0.171,0.221,0.155,0.722,●,
4377,濱本優一,45,0.222,0.178,0.203,0.152,0.8,●,
4537,渡邉和将,53,0.283,0.17,0.249,0.149,0.6,●,
4570,前田聖文,40,0.275,0.175,0.236,0.148,0.636,●,
3439,大平誉史明,40,0.225,0.175,0.203,0.148,0.778,●,
4442,松竹大輔,40,0.25,0.175,0.22,0.148,0.7,●,
4560,庄司樹良々,40,0.225,0.175,0.203,0.148,0.778,●,
4601,森野正弘,40,0.225,0.175,0.203,0.148,0.778,●,
5255,藤原仙二,40,0.3,0.175,0.253,0.148,0.583,●,
4441,末永由楽,41,0.22,0.171,0.2,0.146,0.778,,
4963,實森美祐,41,0.244,0.171,0.216,0.146,0.7,,
4957,竹之内極,41,0.195,0.171,0.183,0.146,0.875,,
4713,白神優,41,0.195,0.171,0.183,0.146,0.875,,
4614,石倉洋行,41,0.244,0.171,0.216,0.146,0.7,,
4191,赤羽克也,48,0.25,0.167,0.223,0.145,0.667,,
5055,眞鳥章太,42,0.262,0.167,0.229,0.143,0.636,,
4738,清埜翔子,42,0.262,0.167,0.229,0.143,0.636,,
3833,中辻博訓,49,0.245,0.163,0.22,0.143,0.667,,
5234,塚越海斗,42,0.262,0.167,0.229,0.143,0.636,,
4596,葛原大陽,43,0.279,0.163,0.241,0.141,0.583,,
4732,堀本和也,43,0.186,0.163,0.177,0.141,0.875,,
4428,有賀達也,43,0.209,0.163,0.193,0.141,0.778,,
4289,落合直子,43,0.279,0.163,0.241,0.141,0.583,,
3951,石川吉鎬,43,0.209,0.163,0.193,0.141,0.778,,
4931,木谷賢太,44,0.182,0.159,0.175,0.139,0.875,,
4544,松田大志郎,44,0.364,0.159,0.3,0.139,0.438,,
5058,前原大道,51,0.235,0.157,0.214,0.139,0.667,,
5275,松田淳平,44,0.318,0.159,0.268,0.139,0.5,,
4042,丸岡正典,45,0.222,0.156,0.203,0.137,0.7,,
4903,吉田凌太朗,45,0.356,0.156,0.295,0.137,0.438,,
4822,百武翔,45,0.156,0.156,0.157,0.137,1.0,,
4193,郷原章平,52,0.269,0.154,0.239,0.137,0.571,,
4208,三浦永理,45,0.178,0.156,0.172,0.137,0.875,,
3908,重成一人,45,0.178,0.156,0.172,0.137,0.875,,
4659,木下翔太,45,0.2,0.156,0.187,0.137,0.778,,
3623,深川真二,142,0.204,0.141,0.199,0.135,0.69,,
4458,抹香雄三,47,0.149,0.149,0.152,0.133,1.0,,
4985,井本昌也,40,0.275,0.15,0.236,0.131,0.545,,
3744,徳増秀樹,40,0.175,0.15,0.17,0.131,0.857,,
5221,竹間隆晟,40,0.275,0.15,0.236,0.131,0.545,,
4545,岡村慶太,40,0.25,0.15,0.22,0.131,0.6,,
4848,仲谷颯仁,40,0.25,0.15,0.22,0.131,0.6,,
4366,前沢丈史,48,0.167,0.146,0.164,0.131,0.875,,
5017,澤田尚也,40,0.2,0.15,0.186,0.131,0.75,,
4649,和田操拓,41,0.195,0.146,0.183,0.129,0.75,,
4497,桑原悠,41,0.244,0.146,0.216,0.129,0.6,,
4482,守屋美穂,41,0.171,0.146,0.167,0.129,0.857,,
4256,渡辺浩司,41,0.171,0.146,0.167,0.129,0.857,,
4821,妻鳥晋也,41,0.146,0.146,0.15,0.129,1.0,,
4237,大峯豊,41,0.22,0.146,0.2,0.129,0.667,,
4798,浜先真範,41,0.171,0.146,0.167,0.129,0.857,,
3777,樋口亮,41,0.244,0.146,0.216,0.129,0.6,,
4487,三原司,42,0.19,0.143,0.18,0.127,0.75,,
4645,上村純一,42,0.167,0.143,0.164,0.127,0.857,,
4932,新開航,42,0.214,0.143,0.196,0.127,0.667,,
