date,race,rank,boat,regno,name,motor,exhib,course,st
2025-07-21,1,01,1,3736,岡本猛,67,7.13,1,0.12
2025-07-21,1,02,3,4234,野相弘司,41,7.18,3,0.19
2025-07-21,1,03,2,5022,伊藤尚汰,43,7.09,2,0.15
2025-07-21,1,04,5,4865,立具敬司,70,7.03,5,0.28
2025-07-21,1,05,6,4779,伊倉光,16,7.08,6,0.25
2025-07-21,1,06,4,5135,仲航太,62,7.05,4,0.19
2025-07-21,2,01,1,5029,中亮太,12,6.95,1,0.08
2025-07-21,2,02,4,5152,丸山祐也,66,7.02,4,0.17
2025-07-21,2,03,6,4085,荻野裕介,21,7.04,6,0.14
2025-07-21,2,04,5,4397,西村拓也,59,7.12,5,0.12
2025-07-21,2,05,3,3432,宮迫暢彦,55,7.03,3,0.13
2025-07-21,2,06,2,5007,近藤雄一郎,23,7.11,2,0.10
2025-07-21,3,01,2,4330,奈須啓太,49,7.04,2,0.11
2025-07-21,3,02,3,4967,中村魁生,27,6.98,3,0.11
2025-07-21,3,03,6,4413,水摩敦,36,6.96,6,0.17
2025-07-21,3,04,5,4675,井手良太,57,7.01,5,0.15
2025-07-21,3,05,4,4875,大塚康雅,20,7.07,4,0.14
2025-07-21,3,06,1,5190,大月遊雅,33,6.96,1,0.14
2025-07-21,4,01,1,5253,藤井太雅,44,6.95,1,0.18
2025-07-21,4,02,4,3940,飯山泰,29,6.94,4,0.14
2025-07-21,4,03,5,4485,楠原正剛,17,7.03,5,0.13
2025-07-21,4,04,6,5207,高山敬悟,69,6.95,6,0.14
2025-07-21,4,05,2,3161,古場輝義,38,7.12,2,0.21
2025-07-21,4,06,3,4039,村上功祐,26,7.1,3,0.18
2025-07-21,5,01,3,4083,福島勇樹,58,7.02,3,0.07
2025-07-21,5,02,1,4406,幸野史明,52,6.99,1,0.09
2025-07-21,5,03,4,4311,岡村仁,34,6.99,4,0.20
2025-07-21,5,04,5,4551,三川昂暁,13,7.0,5,0.38
2025-07-21,5,05,6,5054,佐々木大河,73,7.02,6,0.29
2025-07-21,5,06,2,5359,佐藤世那,68,7.0,2,0.11
2025-07-21,6,01,2,4256,渡辺浩司,32,7.08,2,0.15
2025-07-21,6,02,4,4093,吉田宗弘,56,7.04,4,0.11
2025-07-21,6,03,5,4384,鶴本崇文,60,7.08,5,0.13
2025-07-21,6,04,6,5382,山下心一,45,6.95,6,0.13
2025-07-21,6,05,1,2878,富山弘幸,18,7.11,1,0.08
2025-07-21,6,06,3,4779,伊倉光,16,7.06,3,0.14
2025-07-21,7,01,3,3590,濱野谷憲吾,15,7.07,3,0.07
2025-07-21,7,02,2,3736,岡本猛,67,7.09,2,0.10
2025-07-21,7,03,1,4180,上野秀和,30,7.05,1,0.09
2025-07-21,7,04,6,4393,田中孝明,75,7.18,6,0.15
2025-07-21,7,05,5,5007,近藤雄一郎,23,6.91,5,0.13
2025-07-21,7,S1,4,5004,河野主樹,72,6.99,4,0.21
2025-07-21,8,01,2,4082,濱崎誠,54,7.14,2,0.13
2025-07-21,8,02,1,5135,仲航太,62,6.96,1,0.06
2025-07-21,8,03,5,4085,荻野裕介,21,7.04,5,0.18
2025-07-21,8,04,3,4424,松尾昂明,10,6.96,3,0.10
2025-07-21,8,05,6,4967,中村魁生,27,7.02,6,0.10
2025-07-21,8,06,4,4100,松田隆司,61,7.02,4,0.17
2025-07-21,9,01,4,5029,中亮太,12,6.79,4,0.08
2025-07-21,9,02,2,4234,野相弘司,41,6.93,2,0.12
2025-07-21,9,03,5,4598,加藤政彦,63,6.92,5,0.06
2025-07-21,9,04,1,3161,古場輝義,38,7.0,1,0.12
2025-07-21,9,05,6,4675,井手良太,57,6.91,6,0.09
2025-07-21,9,06,3,4059,入澤友治,74,7.02,3,0.11
2025-07-21,10,01,1,4330,奈須啓太,49,6.94,1,0.08
2025-07-21,10,02,5,5022,伊藤尚汰,43,6.88,5,0.16
2025-07-21,10,03,6,4401,小林泰,35,6.94,6,0.17
2025-07-21,10,04,2,4083,福島勇樹,58,6.93,2,0.05
2025-07-21,10,05,3,3915,繁野谷圭介,53,7.06,3,0.10
2025-07-21,10,06,4,4039,村上功祐,26,7.0,4,0.11
2025-07-21,11,01,1,4384,鶴本崇文,60,7.03,1,0.08
2025-07-21,11,02,5,4875,大塚康雅,20,7.11,5,0.16
2025-07-21,11,03,3,4485,楠原正剛,17,7.02,3,0.08
2025-07-21,11,04,6,3872,岡田憲行,64,7.03,6,0.32
2025-07-21,11,05,2,4906,鈴木雅希,31,7.0,2,0.13
2025-07-21,11,06,4,4551,三川昂暁,13,7.07,4,0.12
2025-07-21,12,01,1,3590,濱野谷憲吾,15,6.91,1,0.12
2025-07-21,12,02,4,4397,西村拓也,59,6.92,4,0.27
2025-07-21,12,03,2,4311,岡村仁,34,6.94,2,0.15
2025-07-21,12,04,3,4413,水摩敦,36,7.0,3,0.20
2025-07-21,12,05,5,4256,渡辺浩司,32,7.06,5,0.25
2025-07-21,12,06,6,3940,飯山泰,29,6.89,6,0.25
2025-07-22,1,01,3,4598,加藤政彦,63,6.99,3,0.25
2025-07-22,1,02,6,4082,濱崎誠,54,7.1,6,0.26
2025-07-22,1,03,2,5054,佐々木大河,73,6.95,2,0.22
2025-07-22,1,04,1,5207,高山敬悟,69,6.9,1,0.25
2025-07-22,1,05,5,4093,吉田宗弘,56,6.93,5,0.23
2025-07-22,1,06,4,4393,田中孝明,75,6.95,4,0.31
2025-07-22,2,01,1,5152,丸山祐也,66,6.86,1,0.24
2025-07-22,2,02,3,4311,岡村仁,34,6.89,3,0.16
2025-07-22,2,03,6,4100,松田隆司,61,7.01,6,0.18
2025-07-22,2,04,4,4401,小林泰,35,6.97,4,0.19
2025-07-22,2,05,2,4875,大塚康雅,20,6.93,2,0.17
2025-07-22,2,06,5,2878,富山弘幸,18,7.01,5,0.18
2025-07-22,3,01,1,4039,村上功祐,26,6.99,1,0.15
2025-07-22,3,02,2,4413,水摩敦,36,7.02,2,0.17
2025-07-22,3,03,3,4180,上野秀和,30,7.02,3,0.13
2025-07-22,3,04,6,5190,大月遊雅,33,6.87,6,0.14
2025-07-22,3,05,4,4059,入澤友治,74,7.02,4,0.11
2025-07-22,3,06,5,3872,岡田憲行,64,6.94,5,0.18
2025-07-22,4,01,3,4406,幸野史明,52,6.97,3,0.16
2025-07-22,4,02,1,5022,伊藤尚汰,43,6.99,1,0.12
2025-07-22,4,03,2,3940,飯山泰,29,6.96,2,0.14
2025-07-22,4,04,4,4906,鈴木雅希,31,7.0,4,0.13
2025-07-22,4,05,6,3432,宮迫暢彦,55,6.97,6,0.19
