motor,n,二連率,三連率,展示偏差,判定,暫定
60,219,50.2,69.4,-0.005,高●,
34,204,47.1,66.2,-0.018,高●,
55,212,45.3,62.7,0.007,高●,
44,201,44.3,63.2,-0.017,高●,
54,197,43.1,54.8,-0.005,高●,
25,196,42.9,59.7,-0.01,高●,
17,203,41.4,59.1,-0.017,高●,
41,203,39.4,55.7,0.009,高●,
68,198,38.9,56.6,0.006,高●,
29,185,37.8,54.1,-0.035,高●,
73,196,37.8,58.2,0.005,高●,
72,203,37.4,58.6,-0.01,高●,
27,201,37.3,52.7,-0.018,高●,
43,197,37.1,59.4,-0.002,,
71,199,36.2,58.3,-0.02,,
37,204,35.8,48.5,-0.002,,
14,196,35.7,51.0,-0.006,,
22,165,35.2,49.7,-0.005,,
32,37,35.1,40.5,0.02,,
47,140,35.0,46.4,0.011,,
66,201,34.8,46.3,-0.01,,
24,189,34.4,58.2,-0.012,,
19,186,34.4,49.5,0.025,,
57,197,34.0,47.7,0.003,,
36,192,33.9,51.0,-0.007,,
67,207,33.8,49.8,0.009,,
59,195,33.8,49.7,-0.001,,
45,196,33.7,53.6,-0.02,,
40,167,33.5,53.3,-0.016,,
53,186,33.3,47.8,0.019,,
23,205,33.2,49.3,0.003,,
62,185,33.0,47.0,-0.018,,
33,138,32.6,50.7,0.005,,
31,125,32.0,50.4,-0.007,,
56,203,31.5,51.7,-0.012,,
38,172,31.4,48.3,0.015,,
28,176,30.7,48.3,-0.003,,
58,173,30.6,43.9,0.018,,
63,198,30.3,47.0,-0.002,,
74,124,29.8,42.7,0.023,,
39,151,29.8,54.3,0.0,,
49,182,29.7,45.6,0.01,,
61,162,29.6,47.5,-0.005,,
46,183,29.5,47.5,0.006,,
70,119,28.6,42.9,0.014,,
75,199,28.6,46.7,0.011,,
12,166,28.3,45.2,-0.002,,
20,160,28.1,44.4,0.005,,
65,129,27.9,46.5,0.022,,
10,152,27.0,44.7,-0.012,,
26,118,26.3,43.2,0.022,,
64,127,25.2,42.5,0.001,低▲,
13,72,25.0,36.1,0.031,低▲,
18,126,24.6,35.7,0.023,低▲,
52,72,23.6,37.5,0.006,低▲,
50,116,23.3,32.8,0.01,低▲,
51,120,22.5,36.7,0.005,低▲,
21,71,21.1,36.6,-0.005,低▲,
48,99,18.2,29.3,0.029,低▲,
69,71,16.9,32.4,-0.007,低▲,
11,60,15.0,23.3,-0.005,低▲,
15,44,13.6,31.8,0.016,低▲,暫定
16,67,13.4,23.9,0.054,低▲,
30,52,11.5,28.8,0.013,低▲,
35,53,7.5,28.3,0.032,低▲,
