date,race,rname,day_n,wdir,wspd,wave,kimarite,combo,payout,win_boat,win_course,exp,inwin,resid
2025-07-21,1,予選,1,南,4,3,逃げ,1-3-2,3950,1,1,0.6082156636802575,1,0.3917843363197425
2025-07-21,2,予選,1,南,5,3,逃げ,1-4-6,11420,1,1,0.6954921777484917,1,0.3045078222515083
2025-07-21,3,予選,1,南,5,3,まくり,2-3-6,1540,2,2,0.4470779017012085,0,-0.4470779017012085
2025-07-21,4,予選,1,南,5,3,逃げ,1-4-5,2710,1,1,0.38674065369825555,1,0.6132593463017444
2025-07-21,5,予選,1,南,5,3,抜き,3-1-4,2180,3,3,0.5224763696510437,0,-0.5224763696510437
2025-07-21,6,予選,1,南,5,3,差し,2-4-5,2970,2,2,0.46532690111458486,0,-0.46532690111458486
2025-07-21,7,予選,1,南,5,3,抜き,3-2-1,2380,3,3,0.5959415435508831,0,-0.5959415435508831
2025-07-21,8,予選,1,南,5,3,差し,2-1-5,9290,2,2,0.5421857671973885,0,-0.5421857671973885
2025-07-21,9,予選特賞,1,南,6,3,差し,4-2-5,5040,4,4,0.3390885761543915,0,-0.3390885761543915
2025-07-21,10,予選特賞,1,南,5,3,逃げ,1-5-6,5300,1,1,0.6210448524946353,1,0.37895514750536474
2025-07-21,11,予選特選,1,南,4,3,逃げ,1-5-3,4490,1,1,0.6232332501902068,1,0.3767667498097932
2025-07-21,12,東京ベイＤＲ,1,南,5,3,逃げ,1-4-2,1440,1,1,0.6498620033080741,1,0.3501379966919259
2025-07-22,1,予選,2,南,4,3,差し,3-6-2,8520,3,3,0.5672691963417816,0,-0.5672691963417816
2025-07-22,2,予選,2,南,3,3,逃げ,1-3-6,11300,1,1,0.3586912888370749,1,0.6413087111629251
2025-07-22,3,予選,2,南,5,3,逃げ,1-2-3,1860,1,1,0.4831493377440987,1,0.5168506622559013
2025-07-22,4,予選,2,南,6,3,抜き,3-1-2,10270,3,3,0.4099733401191262,0,-0.4099733401191262
2025-07-22,5,予選,2,南,7,3,差し,2-3-6,4960,2,2,0.4470779017012085,0,-0.4470779017012085
2025-07-22,6,予選,2,南,6,3,逃げ,1-3-2,8540,1,1,0.4283085777296648,1,0.5716914222703352
2025-07-22,7,予選,2,南,4,3,まくり,4-2-1,7740,4,4,0.6907083684481077,0,-0.6907083684481077
2025-07-22,8,予選,2,南,4,3,逃げ,1-2-6,3840,1,1,0.4767532348407065,1,0.5232467651592936
2025-07-22,9,予選特賞,2,南,3,3,抜き,1-4-3,2930,1,1,0.7359577814534156,1,0.2640422185465844
2025-07-22,10,予選特賞,2,南,3,3,まくり差し,4-3-6,34880,4,4,0.6714770188753123,0,-0.6714770188753123
2025-07-22,11,予選特選,2,南,4,3,差し,2-4-1,34520,2,2,0.5661320513812762,0,-0.5661320513812762
2025-07-22,12,記者選抜,2,南,5,3,抜き,6-4-3,118180,6,6,0.717807182880076,0,-0.717807182880076
2025-07-23,1,予選,3,南,5,3,抜き,3-1-4,2920,3,3,0.5597792052929185,0,-0.5597792052929185
2025-07-23,2,予選,3,南,5,3,逃げ,1-6-2,22380,1,1,0.48957061764583515,1,0.5104293823541648
2025-07-23,3,予選,3,南,5,3,逃げ,1-2-4,2940,1,1,0.4903577408423759,1,0.5096422591576242
