date,race,rname,day_n,title,weather,wdir,wspd,wave,kimarite,combo,payout,c1_regno,c1_rank,win_boat,win_course,n_fins
2025-07-21,1,予選,1,トランスワードトロフィー東京大阪福岡三都市対抗戦,晴,南,4,3,逃げ,1-3-2,3950,3736,01,1,1,6
2025-07-21,2,予選,1,トランスワードトロフィー東京大阪福岡三都市対抗戦,晴,南,5,3,逃げ,1-4-6,11420,5029,01,1,1,6
2025-07-21,3,予選,1,トランスワードトロフィー東京大阪福岡三都市対抗戦,晴,南,5,3,まくり,2-3-6,1540,5190,06,2,2,6
2025-07-21,4,予選,1,トランスワードトロフィー東京大阪福岡三都市対抗戦,晴,南,5,3,逃げ,1-4-5,2710,5253,01,1,1,6
2025-07-21,5,予選,1,トランスワードトロフィー東京大阪福岡三都市対抗戦,晴,南,5,3,抜き,3-1-4,2180,4406,02,3,3,6
2025-07-21,6,予選,1,トランスワードトロフィー東京大阪福岡三都市対抗戦,晴,南,5,3,差し,2-4-5,2970,2878,05,2,2,6
2025-07-21,7,予選,1,トランスワードトロフィー東京大阪福岡三都市対抗戦,晴,南,5,3,抜き,3-2-1,2380,4180,03,3,3,6
2025-07-21,8,予選,1,トランスワードトロフィー東京大阪福岡三都市対抗戦,晴,南,5,3,差し,2-1-5,9290,5135,02,2,2,6
2025-07-21,9,予選特賞,1,トランスワードトロフィー東京大阪福岡三都市対抗戦,晴,南,6,3,差し,4-2-5,5040,3161,04,4,4,6
2025-07-21,10,予選特賞,1,トランスワードトロフィー東京大阪福岡三都市対抗戦,晴,南,5,3,逃げ,1-5-6,5300,4330,01,1,1,6
2025-07-21,11,予選特選,1,トランスワードトロフィー東京大阪福岡三都市対抗戦,晴,南,4,3,逃げ,1-5-3,4490,4384,01,1,1,6
2025-07-21,12,東京ベイＤＲ,1,トランスワードトロフィー東京大阪福岡三都市対抗戦,曇り,南,5,3,逃げ,1-4-2,1440,3590,01,1,1,6
2025-07-22,1,予選,2,トランスワードトロフィー東京大阪福岡三都市対抗戦,晴,南,4,3,差し,3-6-2,8520,5207,04,3,3,6
2025-07-22,2,予選,2,トランスワードトロフィー東京大阪福岡三都市対抗戦,晴,南,3,3,逃げ,1-3-6,11300,5152,01,1,1,6
2025-07-22,3,予選,2,トランスワードトロフィー東京大阪福岡三都市対抗戦,晴,南,5,3,逃げ,1-2-3,1860,4039,01,1,1,6
