regno,選手名,全国スローn,全国スローST,当地スローn,当地スローST,採用スローST,スロー源,スロー遅れ,スロー巧者,全国ダッシュn,全国ダッシュST,当地ダッシュn,当地ダッシュST,採用ダッシュST,ダッシュ源,ダッシュ遅れ,ダッシュ巧者
2538,高橋二朗,98,0.21,11,0.16,0.16,当地,,,80,0.21,7,0.176,0.21,全国,●,
2878,富山弘幸,117,0.169,6,0.145,0.169,全国,,,92,0.176,3,0.14,0.176,全国,,
3024,西島義則,214,0.164,0,,0.164,全国,,,3,0.137,0,,0.137,全国,,
3054,北川幸典,81,0.176,0,,0.176,全国,,,82,0.183,0,,0.183,全国,●,
3070,山室展弘,94,0.162,0,,0.162,全国,,,30,0.133,0,,0.133,全国,,
3072,西田靖,191,0.162,24,0.151,0.151,当地,,,0,,0,,,,,
3075,中村裕将,109,0.128,6,0.097,0.128,全国,,●,101,0.13,3,0.11,0.13,全国,,●
3081,岡本慎治,58,0.166,0,,0.166,全国,,,61,0.172,0,,0.172,全国,,
3105,内山文典,94,0.175,0,,0.175,全国,,,85,0.173,0,,0.173,全国,,
3107,平岡重典,72,0.175,6,0.198,0.175,全国,,,67,0.176,3,0.11,0.176,全国,,
3156,金子良昭,123,0.167,5,0.182,0.167,全国,,,54,0.185,4,0.165,0.185,全国,●,
3158,島川光男,120,0.145,9,0.122,0.145,全国,,,111,0.149,9,0.171,0.149,全国,,
3159,江口晃生,167,0.156,18,0.135,0.135,当地,,,0,,0,,,,,
3161,古場輝義,137,0.188,13,0.171,0.171,当地,,,71,0.169,4,0.153,0.169,全国,,
3175,渡辺千草,89,0.16,5,0.14,0.16,全国,,,90,0.152,4,0.18,0.152,全国,,
3176,長谷川巌,64,0.177,5,0.136,0.177,全国,,,59,0.207,4,0.217,0.207,全国,●,
3202,三品隆浩,109,0.186,9,0.157,0.186,全国,●,,100,0.212,7,0.184,0.212,全国,●,
3207,田村美和,84,0.196,14,0.164,0.164,当地,,,75,0.154,12,0.127,0.127,当地,,●
3211,北川敏弘,92,0.179,0,,0.179,全国,,,90,0.169,0,,0.169,全国,,
3212,亀本勇樹,113,0.169,0,,0.169,全国,,,72,0.158,0,,0.158,全国,,
3224,栗山繁洋,96,0.195,0,,0.195,全国,●,,95,0.196,0,,0.196,全国,●,
3226,浦田信義,110,0.179,8,0.19,0.179,全国,,,97,0.188,6,0.19,0.188,全国,●,
3232,山川美由紀,92,0.152,6,0.155,0.152,全国,,,83,0.163,4,0.163,0.163,全国,,
3233,小畑実成,103,0.16,5,0.128,0.16,全国,,,99,0.173,4,0.158,0.173,全国,,
3246,星野政彦,43,0.178,3,0.223,0.178,全国,,,35,0.154,3,0.097,0.154,全国,,
3251,平石和男,158,0.186,0,,0.186,全国,●,,130,0.195,0,,0.195,全国,●,
3256,三角哲男,128,0.133,15,0.108,0.108,当地,,●,99,0.16,9,0.136,0.16,全国,,
3257,田頭実,198,0.137,0,,0.137,全国,,,4,0.168,0,,0.168,全国,,
3265,今村暢孝,181,0.143,0,,0.143,全国,,,0,,0,,,,,
