regno,選手名,n2,nige,exp,壁力,負けn,自分勝ち率,まくり決着率,壁,弱タイプ
4561,藤山翔大,52,0.3269,0.5814,-25.4,35,0.343,0.914,壁弱●,素通し型
3024,西島義則,107,0.3364,0.5565,-22.0,71,0.394,0.817,壁弱●,素通し型
5150,坂本雄紀,40,0.35,0.5659,-21.6,26,0.423,0.846,壁弱●,食う型
4441,末永由楽,40,0.375,0.5851,-21.0,25,0.36,0.68,壁弱●,素通し型
4544,松田大志郎,42,0.4048,0.6099,-20.5,25,0.52,0.68,壁弱●,食う型
4686,丸野一樹,45,0.4667,0.6508,-18.4,24,0.333,0.792,壁弱●,素通し型
5196,鰐部太空海,42,0.4048,0.5882,-18.3,25,0.68,0.4,壁弱●,食う型
4848,仲谷颯仁,40,0.475,0.6574,-18.2,21,0.476,0.571,壁弱●,食う型
4874,池田奈津美,88,0.3523,0.5327,-18.0,57,0.175,0.86,壁弱●,素通し型
4824,松井洪弥,41,0.3902,0.5681,-17.8,25,0.48,0.56,壁弱●,食う型
4083,福島勇樹,48,0.4167,0.594,-17.7,28,0.607,0.643,壁弱●,食う型
3257,田頭実,135,0.3704,0.5467,-17.6,85,0.365,0.882,壁弱●,素通し型
3920,正木聖賢,63,0.381,0.5549,-17.4,39,0.103,0.923,壁弱●,素通し型
3849,中岡正彦,54,0.4074,0.5788,-17.1,32,0.5,0.906,壁弱●,食う型
4500,山田康二,44,0.4545,0.624,-16.9,24,0.417,0.708,壁弱●,食う型
4811,向井田佑紀,43,0.3953,0.5616,-16.6,26,0.154,0.885,壁弱●,素通し型
4286,平田さやか,46,0.3478,0.514,-16.6,30,0.233,0.767,壁弱●,素通し型
4514,上條嘉嗣,52,0.4038,0.5648,-16.1,31,0.419,0.581,壁弱●,食う型
3159,江口晃生,109,0.4037,0.5614,-15.8,65,0.277,0.831,壁弱●,素通し型
4388,是澤孝宏,45,0.4444,0.5982,-15.4,25,0.28,0.72,壁弱●,素通し型
3473,石川真二,159,0.4214,0.5739,-15.3,92,0.261,0.793,壁弱●,素通し型
4077,品田直樹,45,0.3778,0.53,-15.2,28,0.357,0.75,壁弱●,素通し型
3582,吉川昭男,85,0.4118,0.5629,-15.1,50,0.34,0.74,壁弱●,素通し型
5136,濱野斗馬,42,0.4286,0.5781,-15.0,24,0.375,0.708,壁弱●,素通し型
4012,中村有裕,40,0.4,0.5485,-14.9,24,0.5,0.625,壁弱●,食う型
5088,高憧四季,45,0.4222,0.5671,-14.5,26,0.692,0.769,壁弱●,食う型
4958,溝口海義也,51,0.4314,0.5752,-14.4,29,0.414,0.69,壁弱●,食う型
4437,中田元泰,45,0.4444,0.5859,-14.1,25,0.24,0.84,壁弱●,素通し型
3415,松井繁,56,0.5357,0.6763,-14.1,26,0.423,0.654,壁弱●,食う型
4590,渡邉優美,41,0.4634,0.601,-13.8,22,0.591,0.5,壁弱●,食う型
4370,山口達也,40,0.475,0.612,-13.7,21,0.476,0.762,壁弱●,食う型
4851,関浩哉,42,0.5238,0.6566,-13.3,20,0.45,0.6,壁弱●,食う型
4269,杉山裕也,42,0.4524,0.5858,-13.3,23,0.391,0.739,壁弱●,素通し型
5160,藤森陸斗,43,0.4419,0.5722,-13.0,24,0.25,0.792,壁弱●,素通し型
4243,西村歩,42,0.4286,0.5584,-13.0,24,0.375,0.667,壁弱●,素通し型
4028,田村隆信,47,0.4894,0.618,-12.9,24,0.25,0.792,壁弱●,素通し型
4458,抹香雄三,44,0.4091,0.5357,-12.7,26,0.231,0.769,壁弱●,素通し型
3933,山地正樹,97,0.4227,0.5486,-12.6,56,0.268,0.732,壁弱●,素通し型
4403,木下大將,41,0.4634,0.5894,-12.6,22,0.5,0.591,壁弱●,食う型
3814,金子貴志,41,0.439,0.5639,-12.5,23,0.174,0.87,,
4786,佐藤博亮,44,0.4545,0.5763,-12.2,24,0.708,0.5,,
3918,深井利寿,45,0.4667,0.5861,-11.9,24,0.333,0.833,,
4369,丹下将,44,0.4318,0.5484,-11.7,25,0.2,0.8,,
5051,松本純平,45,0.4667,0.5812,-11.5,24,0.375,0.792,,
4737,竹井貴史,43,0.4651,0.5783,-11.3,23,0.739,0.522,,
5058,前原大道,50,0.48,0.5907,-11.1,26,0.462,0.577,,
3708,岡部貴司,42,0.4524,0.5622,-11.0,23,0.174,0.913,,
4497,桑原悠,41,0.5122,0.6214,-10.9,20,0.5,0.6,,
3590,濱野谷憲吾,40,0.55,0.6586,-10.9,18,0.5,0.722,,
3532,柴田光,61,0.459,0.5668,-10.8,33,0.455,0.758,,
5132,中野希一,45,0.4667,0.5739,-10.7,24,0.583,0.5,,
4324,海野康志郎,72,0.5139,0.6193,-10.5,35,0.486,0.6,,
4886,入海馨,47,0.5319,0.6356,-10.4,22,0.318,0.773,,
5045,平川香織,47,0.4468,0.5493,-10.3,26,0.462,0.808,,
4939,宮之原輝紀,42,0.5,0.6026,-10.3,21,0.286,0.714,,
3422,服部幸男,40,0.525,0.6243,-9.9,19,0.368,0.842,,
4932,新開航,41,0.5366,0.6353,-9.9,19,0.474,0.684,,
3430,角浜修,44,0.4773,0.5754,-9.8,23,0.304,0.826,,
5087,佐藤航,40,0.475,0.5722,-9.7,21,0.429,0.524,,
4239,竹田辰也,44,0.5,0.5961,-9.6,22,0.5,0.591,,
3541,三嶌誠司,43,0.5116,0.6078,-9.6,21,0.238,0.762,,
4516,野口勝弘,47,0.4255,0.5197,-9.4,27,0.37,0.815,,
4983,前田篤哉,47,0.4894,0.5827,-9.3,24,0.542,0.542,,
4931,木谷賢太,44,0.5,0.5924,-9.2,22,0.364,0.682,,
3072,西田靖,132,0.4318,0.5239,-9.2,75,0.08,0.96,,
3542,清水紀克,132,0.4394,0.5314,-9.2,74,0.081,0.959,,
5280,廣瀬凜,50,0.5,0.5918,-9.2,25,0.6,0.48,,
3550,都築正治,45,0.5111,0.6027,-9.2,22,0.364,0.864,,
4381,田路朋史,40,0.5,0.5909,-9.1,20,0.4,0.85,,
4245,高橋直哉,40,0.45,0.5403,-9.0,22,0.318,0.636,,
4196,田中太一郎,41,0.439,0.529,-9.0,23,0.13,0.783,,
4151,下河誉史,40,0.45,0.5397,-9.0,22,0.273,0.727,,
5216,長谷川晴哉,40,0.45,0.5389,-8.9,22,0.364,0.773,,
5267,石本裕武,40,0.5,0.5894,-8.9,20,0.55,0.5,,
4193,郷原章平,51,0.4706,0.5583,-8.8,27,0.481,0.63,,
4483,北野輝季,41,0.5122,0.5993,-8.7,20,0.5,0.6,,
4289,落合直子,43,0.4419,0.5285,-8.7,24,0.5,0.667,,
4253,西川真人,41,0.439,0.5257,-8.7,23,0.087,0.913,,
5145,島川海輝,41,0.4878,0.5742,-8.6,21,0.429,0.81,,
4793,金子萌,45,0.4889,0.5731,-8.4,23,0.522,0.478,,
3251,平石和男,47,0.4894,0.5699,-8.1,24,0.417,0.667,,
3362,間嶋仁志,86,0.4535,0.5338,-8.0,47,0.255,0.851,,
3268,森竜也,46,0.4565,0.5361,-8.0,25,0.2,0.8,,
5191,飛田江己,51,0.5294,0.6099,-8.0,24,0.375,0.833,,
3412,鈴木博,41,0.4634,0.5428,-7.9,22,0.182,0.909,,
5224,西岡顕心,41,0.5366,0.6142,-7.8,19,0.421,0.737,,
4596,葛原大陽,42,0.4524,0.5305,-7.8,23,0.478,0.652,,
4428,有賀達也,42,0.4762,0.5535,-7.7,22,0.409,0.682,,
5221,竹間隆晟,40,0.5,0.5757,-7.6,20,0.55,0.65,,
5229,吉川晴人,45,0.4889,0.5652,-7.6,23,0.261,0.826,,
4861,田中宏樹,40,0.475,0.5498,-7.5,21,0.286,0.714,,
3623,深川真二,138,0.5145,0.5896,-7.5,67,0.403,0.672,,
4159,向後龍一,45,0.4889,0.5627,-7.4,23,0.304,0.783,,
4199,北川潤二,89,0.4944,0.5659,-7.2,45,0.289,0.844,,
4237,大峯豊,41,0.561,0.6331,-7.2,18,0.5,0.667,,
4448,青木玄太,41,0.5366,0.608,-7.1,19,0.474,0.684,,
5275,松田淳平,44,0.5,0.5703,-7.0,22,0.636,0.545,,
3613,角谷健吾,41,0.4634,0.5333,-7.0,22,0.409,0.636,,
5279,石渡翔一郎,40,0.45,0.5188,-6.9,22,0.455,0.591,,
3956,横澤剛治,42,0.5,0.5668,-6.7,21,0.429,0.905,,
4856,豊田健士郎,48,0.5625,0.629,-6.6,21,0.524,0.762,,
5158,宮脇遼太,41,0.5122,0.5779,-6.6,20,0.5,0.8,,
4364,池永太,40,0.55,0.6162,-6.6,18,0.5,0.667,,
4539,金子賢志,41,0.5366,0.6026,-6.6,19,0.474,0.684,,
4251,川崎誠志,48,0.4792,0.5442,-6.5,25,0.32,0.72,,
3265,今村暢孝,105,0.5048,0.5687,-6.4,52,0.231,0.827,,
