regno,選手名,全国外n,全国外3着率,当地外n,当地外3着率,採用外3着率,外3着源,n1c,負け,残し率,残し有効,型,n6,6コ2着率,6コ3着率,6残し有効,艇番5乗艇,艇番5_3連対率,艇番6乗艇,艇番6_3連対率,6ヒモ外し候補,艇番5低率
2538,高橋二朗,80,0.125,7,0.286,0.125,全国,24,22,0.182,,,19,0.0,0.053,,28,0.214,20,0.1,●,●
2878,富山弘幸,92,0.152,3,0.0,0.152,全国,39,22,0.227,,,14,0.143,0.071,,35,0.4,29,0.31,,
3024,西島義則,3,0.0,0,,0.0,全国,94,49,0.327,●,飛ぶ型,1,0.0,0.0,,29,0.552,36,0.694,,
3054,北川幸典,85,0.224,0,,0.224,全国,25,14,0.214,,,27,0.037,0.185,,24,0.458,36,0.222,●,
3070,山室展弘,30,0.233,0,,0.233,全国,19,8,0.625,,,,,,,21,0.476,15,0.4,,
3072,西田靖,0,,0,,,,43,30,0.367,●,飛ぶ型,,,,,31,0.226,23,0.391,,●
3075,中村裕将,101,0.178,3,0.0,0.178,全国,32,21,0.095,,,27,0.074,0.074,,32,0.438,30,0.233,●,
3081,岡本慎治,61,0.164,0,,0.164,全国,19,13,0.231,,,21,0.0,0.143,,21,0.333,23,0.217,●,
3105,内山文典,85,0.247,0,,0.247,全国,27,17,0.412,,,29,0.0,0.241,,32,0.406,28,0.25,,
3107,平岡重典,67,0.134,3,0.333,0.134,全国,19,15,0.067,,,15,0.067,0.2,,24,0.125,17,0.235,●,●
3156,金子良昭,54,0.13,4,0.25,0.13,全国,28,23,0.435,,,13,0.0,0.077,,28,0.214,25,0.08,●,●
3158,島川光男,111,0.207,9,0.111,0.207,全国,48,20,0.55,●,,30,0.1,0.133,,29,0.448,34,0.294,,
3159,江口晃生,0,,0,,,,57,27,0.519,●,,,,,,22,0.773,22,0.545,,
3161,古場輝義,71,0.211,4,0.25,0.211,全国,40,30,0.4,●,,,,,,36,0.444,27,0.593,,
3175,渡辺千草,90,0.156,4,0.75,0.156,全国,23,21,0.238,,,25,0.04,0.12,,30,0.233,26,0.115,●,●
3176,長谷川巌,59,0.153,4,0.0,0.153,全国,21,14,0.357,,,21,0.0,0.048,,19,0.263,24,0.083,●,
3202,三品隆浩,100,0.1,7,0.143,0.1,全国,36,26,0.346,,,32,0.094,0.062,,34,0.176,33,0.182,●,●
3207,田村美和,75,0.08,12,0.083,0.08,全国,27,24,0.208,,,22,0.0,0.091,,25,0.12,20,0.1,●,●
3211,北川敏弘,90,0.089,0,,0.089,全国,27,21,0.238,,,28,0.071,0.071,,29,0.138,30,0.2,●,●
3212,亀本勇樹,72,0.153,0,,0.153,全国,29,20,0.35,,,10,0.0,0.1,,25,0.24,30,0.267,,●
3224,栗山繁洋,96,0.167,0,,0.167,全国,23,18,0.278,,,16,0.0,0.062,,36,0.25,23,0.13,●,
3226,浦田信義,97,0.206,6,0.333,0.206,全国,36,22,0.409,,,28,0.071,0.071,,37,0.378,29,0.207,●,
3232,山川美由紀,83,0.289,4,0.5,0.289,全国,32,13,0.462,,,24,0.042,0.292,,29,0.31,26,0.462,,
3233,小畑実成,99,0.192,4,0.25,0.192,全国,30,19,0.211,,,28,0.0,0.143,,30,0.2,31,0.129,●,●
3246,星野政彦,38,0.079,3,0.0,0.079,全国,10,7,0.143,,,6,0.0,0.0,,15,0.267,13,0.0,,
3251,平石和男,130,0.238,0,,0.238,全国,55,31,0.419,●,,39,0.077,0.333,,46,0.37,43,0.419,,
3256,三角哲男,100,0.23,9,0.444,0.23,全国,43,19,0.579,,,29,0.069,0.345,,35,0.4,35,0.429,,
3257,田頭実,5,0.2,0,,0.2,全国,49,13,0.615,,,,,,,27,0.704,40,0.6,,
3265,今村暢孝,0,,0,,,,61,34,0.441,●,,,,,,24,0.542,28,0.607,,
3268,森竜也,83,0.108,5,0.0,0.108,全国,30,15,0.533,,,5,0.0,0.0,,35,0.171,28,0.25,,●
3273,石田豪,6,0.167,0,,0.167,全国,1,0,,,,2,0.0,0.0,,3,0.0,3,0.333,,
3277,齋藤勇,96,0.125,0,,0.125,全国,32,22,0.227,,,25,0.04,0.12,,38,0.263,27,0.148,●,
3282,池本輝明,95,0.168,0,,0.168,全国,28,15,0.333,,,20,0.0,0.2,,36,0.194,22,0.227,●,●
3284,渡邊伸太郎,84,0.202,0,,0.202,全国,28,12,0.333,,,11,0.0,0.273,,36,0.361,26,0.308,,
3286,坂東満,64,0.156,3,0.0,0.156,全国,22,13,0.462,,,24,0.0,0.125,,21,0.333,24,0.125,●,
3289,高橋淳美,56,0.018,4,0.25,0.018,全国,22,20,0.15,,,14,0.0,0.0,,22,0.0,16,0.0,●,●
3293,宮内由紀英,90,0.211,4,0.25,0.211,全国,26,23,0.174,,,27,0.074,0.111,,32,0.219,27,0.259,,●
3294,野中義生,90,0.189,4,0.75,0.189,全国,26,20,0.35,,,37,0.108,0.216,,28,0.357,34,0.353,,
3297,藤丸光一,39,0.103,2,0.0,0.103,全国,27,22,0.182,,,1,0.0,0.0,,27,0.296,21,0.286,,
