regno,boat,san,n
5145,6,11,43
5145,5,18,37
4645,5,17,39
4645,6,18,41
5226,5,10,25
5226,6,9,25
4788,6,12,34
4788,5,28,46
4470,6,20,39
4470,5,15,30
5034,5,20,42
5034,6,13,40
4804,5,16,31
4804,6,10,38
5161,6,10,32
5161,5,13,31
3978,6,15,44
3978,5,20,41
5060,5,11,37
5060,6,10,31
4933,6,11,33
4933,5,16,34
4189,5,12,37
4189,6,21,40
4914,6,17,37
4914,5,18,44
5055,5,16,34
5055,6,10,39
4579,5,19,36
4579,6,13,34
4961,6,18,40
4961,5,20,38
4477,5,16,39
4477,6,18,37
4278,6,19,41
4278,5,13,40
3876,6,14,31
3876,5,16,24
4930,5,22,43
4930,6,9,34
4985,5,20,42
4985,6,12,38
4075,6,11,40
4075,5,18,37
4824,6,12,42
4824,5,20,38
3867,5,4,34
3867,6,3,24
5417,6,9,74
5417,5,6,39
3273,6,1,3
3273,5,0,3
3953,5,3,25
3953,6,0,20
3776,5,10,33
3776,6,0,29
3715,6,6,20
3715,5,10,28
4448,5,19,39
4448,6,20,33
4588,6,9,40
4588,5,13,42
4213,6,18,50
4213,5,16,40
5348,5,16,41
5348,6,17,63
4948,6,11,29
4948,5,9,35
3922,5,11,47
3922,6,3,25
4871,6,6,30
4871,5,12,33
5309,6,1,28
5309,5,4,33
5312,5,3,33
5312,6,5,35
4292,6,14,35
4292,5,20,37
5041,5,9,34
5041,6,7,33
3663,6,13,36
3663,5,11,37
4253,5,9,42
4253,6,2,25
4640,6,14,39
4640,5,25,51
4475,5,14,34
4475,6,15,42
3704,5,3,27
3704,6,1,23
5335,6,4,42
5335,5,3,30
4556,6,12,27
4556,5,14,25
5327,5,0,35
5327,6,0,34
3357,5,6,33
3357,6,1,26
5264,6,12,38
5264,5,13,41
4447,6,9,36
4447,5,15,39
4765,5,12,31
4765,6,4,26
4123,6,16,35
4123,5,23,41
5193,5,16,36
5193,6,15,37
5163,5,15,28
5163,6,15,36
5340,6,9,54
5340,5,15,54
3551,5,5,27
3551,6,1,19
4317,5,6,35
4317,6,3,26
4936,6,14,37
4936,5,14,26
4456,6,17,36
4456,5,12,30
3518,5,5,29
3518,6,3,20
4240,5,14,33
4240,6,9,37
4627,6,11,30
4627,5,12,28
4190,5,11,24
4190,6,10,20
3845,6,6,26
3845,5,8,23
3579,6,2,23
3579,5,9,29
4045,5,6,32
4045,6,3,20
4498,5,8,21
4498,6,5,18
5412,6,2,84
5412,5,2,51
4004,6,6,28
4004,5,13,36
4592,5,10,38
4592,6,3,23
5084,6,18,36
5084,5,9,31
4906,5,16,39
4906,6,10,31
3736,5,2,3
3736,6,1,3
4220,6,6,28
4220,5,6,30
5063,5,8,32
5063,6,5,31
5361,6,4,39
5361,5,6,42
5314,6,0,32
5314,5,2,33
4632,6,5,21
4632,5,7,27
4925,5,14,34
4925,6,9,36
3277,5,10,38
3277,6,4,27
3617,6,0,22
3617,5,3,29
4551,6,18,44
4551,5,17,36
3982,5,6,34
3982,6,1,25
4994,5,17,35
4994,6,15,39
4728,6,4,28
4728,5,6,32
4451,6,19,43
4451,5,14,39
4214,5,10,35
4214,6,13,36
4082,6,10,37
4082,5,16,41
4834,5,13,37
4834,6,8,37
3807,5,6,35
3807,6,4,29
4121,6,12,42
4121,5,13,30
4367,5,10,30
4367,6,5,26
3467,6,5,26
3467,5,5,25
4734,6,19,44
4734,5,18,31
5397,5,1,55
5397,6,1,101
3554,5,35,48
3554,6,20,44
5367,6,1,54
5367,5,2,36
4596,6,20,43
4596,5,23,39
4302,5,19,39
4302,6,19,30
4005,5,1,3
4005,6,0,2
3434,6,5,31
3434,5,14,39
4890,5,16,40
4890,6,11,32
5373,6,3,34
5373,5,7,39
4251,6,7,31
4251,5,12,45
4693,5,10,41
4693,6,8,23
4853,5,4,19
4853,6,2,22
5218,6,18,38
5218,5,19,40
4425,5,12,30
4425,6,6,28
5066,5,24,39
5066,6,15,30
4951,6,9,37
4951,5,13,32
5015,5,12,28
5015,6,16,30
4009,6,8,32
4009,5,11,31
3741,5,5,34
3741,6,1,24
5315,6,2,36
5315,5,5,34
5230,5,8,29
5230,6,3,30
5173,6,3,31
5173,5,12,37
5241,5,10,33
5241,6,8,30
5106,6,6,28
5106,5,16,36
3662,5,16,32
3662,6,12,45
4446,6,19,46
4446,5,25,38
4055,6,17,41
4055,5,29,49
3784,5,10,30
3784,6,4,27
3983,6,14,41
3983,5,23,40
5003,5,9,40
5003,6,4,25
5071,6,7,31
5071,5,5,33
3327,6,20,34
3327,5,16,28
4270,5,8,33
4270,6,5,25
5165,6,7,33
5165,5,11,37
3484,5,11,37
3484,6,7,35
4509,5,15,34
4509,6,14,40
3349,6,18,34
3349,5,11,32
4015,5,16,37
4015,6,11,40
3333,6,18,40
3333,5,19,40
3909,5,21,37
3909,6,17,36
4704,6,13,42
4704,5,23,40
3853,5,6,38
3853,6,9,43
4979,6,9,28
4979,5,14,37
3207,6,2,20
3207,5,3,25
5295,5,12,33
5295,6,8,34
4103,6,3,28
4103,5,3,28
5311,5,18,40
5311,6,5,26
3435,6,12,32
3435,5,16,36
4720,5,7,32
4720,6,5,28
4411,5,19,40
4411,6,10,41
3684,6,7,38
3684,5,13,30
3999,6,17,39
3999,5,16,44
5362,5,4,36
5362,6,2,50
3804,6,8,28
3804,5,8,39
3710,5,13,40
3710,6,8,32
3334,5,10,37
3334,6,9,38
5326,6,10,54
5326,5,12,52
4837,5,13,34
4837,6,5,26
4515,6,13,42
4515,5,19,44
4938,5,19,40
4938,6,16,34
4844,6,7,29
4844,5,8,41
4784,5,3,25
4784,6,3,23
4224,6,11,37
4224,5,13,37
5125,6,12,31
5125,5,14,30
4939,5,17,37
4939,6,20,38
4404,6,2,31
4404,5,9,35
5375,5,4,47
5375,6,8,61
4264,5,22,32
4264,6,23,39
5403,6,6,83
5403,5,4,54
4600,6,15,40
4600,5,16,33
5166,5,24,38
5166,6,15,38
3931,5,11,30
3931,6,15,35
5404,6,7,91
5404,5,4,44
4983,5,20,40
4983,6,24,43
3282,5,7,36
3282,6,5,22
4346,6,5,34
4346,5,11,40
4066,6,21,41
4066,5,22,38
5336,5,3,25
5336,6,0,18
3849,6,25,38
3849,5,22,33
4544,5,32,42
4544,6,32,45
5014,6,2,27
5014,5,10,31
3792,5,14,33
3792,6,13,34
5243,6,10,36
5243,5,11,31
4079,6,12,42
4079,5,13,39
3072,5,7,31
3072,6,9,23
4732,5,27,48
4732,6,18,45
4583,6,9,41
4583,5,15,40
3889,5,8,33
3889,6,2,26
3891,6,1,27
3891,5,7,41
3459,6,2,22
3459,5,4,31
4866,5,7,28
4866,6,2,25
3455,6,9,37
3455,5,12,32
5263,5,13,39
5263,6,1,26
3256,6,15,35
3256,5,14,35
4744,5,9,27
4744,6,3,22
4886,5,20,34
4886,6,18,38
5380,6,0,62
5380,5,0,42
4188,6,25,39
4188,5,25,38
5324,5,0,25
5324,6,0,24
3576,6,25,41
3576,5,24,31
5153,5,6,36
5153,6,9,30
5045,5,25,44
5045,6,16,38
5322,6,3,28
5322,5,6,36
4117,6,16,31
4117,5,15,33
3989,5,4,27
3989,6,5,26
3313,5,8,33
3313,6,3,27
4661,6,6,28
4661,5,17,36
3584,5,14,38
3584,6,11,28
5033,6,6,27
5033,5,4,29
4247,5,13,37
4247,6,6,29
3503,6,1,26
3503,5,7,33
4565,5,14,36
4565,6,5,30
4905,6,5,26
4905,5,5,35
3888,5,14,39
3888,6,15,40
4483,6,17,41
4483,5,24,42
4907,6,25,48
4907,5,20,35
4040,5,20,37
4040,6,8,42
4269,6,16,41
4269,5,23,41
4644,5,19,32
4644,6,13,28
4402,5,15,33
4402,6,10,37
3381,6,6,24
3381,5,15,34
3653,5,7,20
3653,6,5,20
3848,6,11,35
3848,5,15,35
4467,6,18,38
4467,5,17,44
4653,5,16,31
4653,6,16,36
4863,6,6,25
4863,5,7,24
4062,5,7,36
4062,6,5,36
3075,6,7,30
3075,5,14,32
3406,5,7,37
3406,6,14,36
5009,6,6,39
5009,5,18,38
5051,5,22,39
5051,6,16,40
4638,6,7,27
4638,5,14,36
4031,5,9,37
4031,6,5,29
4417,6,5,23
4417,5,15,33
4877,5,14,35
4877,6,11,36
5169,6,1,18
5169,5,5,24
3542,5,9,32
3542,6,3,27
5383,6,1,73
5383,5,6,54
3643,5,13,35
3643,6,2,31
4740,6,2,29
4740,5,12,40
4116,5,18,37
4116,6,3,36
5405,6,2,66
5405,5,5,51
4466,5,13,42
4466,6,9,33
4252,6,2,28
4252,5,11,36
3743,6,20,38
3743,5,17,37
3718,5,9,37
3718,6,3,29
5419,6,7,88
5419,5,4,40
3826,5,17,34
3826,6,13,33
3911,6,6,34
3911,5,17,49
4496,5,23,41
4496,6,24,45
4332,6,4,25
4332,5,6,30
4122,6,13,40
4122,5,16,43
5240,5,6,25
5240,6,7,34
4297,5,21,41
4297,6,15,37
4109,6,17,45
4109,5,13,40
4519,5,8,23
4519,6,2,18
4918,6,8,28
4918,5,9,34
3790,5,12,33
3790,6,5,29
3422,6,19,46
3422,5,17,35
3482,5,20,45
3482,6,11,41
5085,6,6,28
5085,5,19,40
4562,6,7,32
4562,5,12,40
4956,5,5,17
4956,6,2,12
3874,6,17,44
3874,5,17,33
4940,5,2,13
4940,6,2,15
4144,5,22,41
4144,6,13,35
5415,6,1,83
5415,5,0,37
3968,6,14,42
3968,5,16,32
5347,5,2,46
5347,6,1,53
4460,5,22,40
4460,6,17,43
3827,6,2,26
3827,5,12,34
4067,5,24,41
4067,6,17,37
4678,6,4,23
4678,5,10,36
3929,5,10,36
3929,6,7,28
5316,6,12,39
5316,5,15,37
4293,6,10,42
4293,5,15,36
3620,5,7,31
3620,6,3,25
4358,5,5,30
4358,6,2,26
4043,6,11,36
4043,5,17,37
4872,6,8,39
4872,5,11,39
3538,5,5,21
3538,6,3,17
4434,5,17,36
4434,6,11,32
3583,6,4,25
3583,5,5,25
