regno,n2c,win2c,sashi_win
5055,42,11,7
4352,26,8,3
4961,41,8,4
4985,40,11,6
4531,44,5,2
4294,44,7,3
3744,40,7,6
4649,41,8,6
3946,134,13,8
5224,43,10,6
4931,44,8,7
4816,33,7,1
3922,50,1,1
4292,42,7,4
4978,46,4,2
4296,25,4,2
5041,30,4,2
3663,42,3,2
4471,47,12,4
3975,36,12,6
3964,36,2,2
4873,42,6,4
4448,41,9,5
4812,37,12,5
5195,38,6,2
5317,41,1,1
5250,35,1,1
4317,37,4,2
5078,37,1,1
4525,35,4,0
4484,34,4,2
3704,34,0,0
5272,33,3,1
4530,37,11,3
3845,32,6,5
4225,30,5,5
5138,18,1,1
3277,35,2,1
3982,36,3,2
4943,28,4,3
4506,38,8,7
4994,42,10,4
4731,34,5,5
5084,34,8,7
5063,33,3,3
3736,3,0,0
4347,41,4,3
4361,39,14,8
4143,35,0,0
4981,30,1,1
5066,37,11,3
4853,19,1,0
5146,35,5,2
4367,30,1,1
3863,36,2,0
3807,43,4,2
5189,42,7,5
4596,43,12,7
3805,34,3,1
3554,58,7,3
3839,34,1,1
3587,39,1,0
3484,39,9,5
3175,37,4,2
3233,37,2,0
4015,50,8,6
3741,35,1,1
3662,39,6,3
3784,32,4,3
3907,39,3,3
4623,44,6,4
5026,42,8,8
3430,44,5,3
3355,17,0,0
4053,31,7,4
4775,28,1,0
5125,33,4,2
4938,48,13,5
4465,26,2,1
4408,28,0,0
4103,31,1,1
5088,45,18,5
3470,35,4,3
3679,39,7,4
3722,32,1,0
4934,37,6,3
5047,31,6,5
3955,29,5,3
4079,39,8,7
4404,36,2,1
4839,37,8,4
4600,40,9,5
4983,48,13,10
4080,13,1,0
3072,136,6,2
4790,37,8,3
3313,35,4,2
4254,24,3,1
5121,46,11,6
5045,48,13,4
3989,33,2,0
4188,32,6,4
5263,41,4,3
4866,26,1,0
3889,31,2,1
4886,47,7,5
4521,38,6,4
4504,43,3,1
4863,19,1,0
5276,36,4,3
4638,37,5,4
4653,35,7,3
4565,33,1,1
4574,38,3,2
4808,43,5,1
4757,40,6,2
4610,38,8,3
4369,44,5,4
3772,29,1,0
3888,45,4,1
4332,30,1,0
4252,38,2,1
3542,132,6,3
3911,46,6,6
4496,53,5,0
4297,42,4,1
3743,55,9,4
5211,34,0,0
4116,37,4,1
5169,21,3,2
3643,38,1,0
3981,40,3,2
3305,31,1,0
4067,45,11,3
4042,45,10,7
4293,43,4,3
3414,7,0,0
3993,34,5,4
4918,38,6,4
3462,7,0,0
5085,35,4,3
3422,40,7,3
4519,28,6,2
4437,45,6,4
4429,36,2,2
4137,50,7,4
4630,26,3,3
4761,38,5,4
4405,32,0,0
5212,36,7,3
5107,28,2,1
4872,47,3,2
4434,41,9,5
3860,39,3,2
5053,26,2,1
5161,30,3,3
4497,41,10,6
4278,49,14,12
4477,43,4,3
4804,39,7,3
5064,41,4,3
5134,36,6,3
4579,38,2,2
4441,41,9,7
4825,35,7,5
4948,40,4,0
5330,41,10,2
3953,26,0,0
3715,31,4,3
4064,39,3,2
4650,21,5,3
4007,32,4,3
3273,1,0,0
4111,38,6,2
4604,48,9,4
4475,43,3,2
4765,28,3,3
3551,34,3,3
3579,30,3,2
3994,33,1,1
4045,34,5,2
4627,33,11,8
5296,34,4,2
4349,34,3,1
4556,29,11,5
4874,95,11,5
5310,27,0,0
3773,35,0,0
3156,49,2,1
5198,36,6,4
3265,120,17,9
3226,42,0,0
5249,35,4,4
3775,40,3,1
3796,34,4,4
3304,50,5,5
4899,39,5,1
5143,40,1,1
5259,27,1,1
5291,38,2,2
4813,31,2,0
4734,32,7,7
3831,32,3,1
3467,29,2,1
3574,125,22,13
4302,64,11,8
5015,38,9,8
4890,40,4,2
4666,24,1,1
3618,43,9,0
4939,42,6,5
4844,50,3,1
4979,36,3,2
3334,39,3,2
4136,36,6,5
4784,24,5,3
3804,45,5,5
4224,44,6,5
5222,45,6,3
5334,33,1,1
4271,36,1,0
3477,32,1,0
4564,30,1,0
