regno,course,n,r1,r2,r3
5017,1,48,39,3,2
5017,4,39,7,8,6
5017,6,34,0,3,4
5017,3,36,9,12,3
5017,5,41,7,10,5
5017,2,40,8,12,5
5055,2,42,11,14,5
5055,5,35,4,5,8
5055,1,44,26,6,7
5055,6,39,2,2,5
5055,3,43,7,5,10
5055,4,47,6,6,9
5145,5,41,3,4,9
5145,3,49,8,14,6
5145,6,35,2,3,3
5145,2,41,9,11,5
5145,1,49,35,6,5
5145,4,36,7,9,9
4189,3,55,13,9,14
4189,5,36,3,1,5
4189,4,56,9,12,14
4189,1,53,37,5,7
4189,2,57,7,17,14
4189,6,22,0,2,6
4533,6,29,0,2,3
4533,3,22,1,2,6
4533,5,23,1,1,4
4533,1,18,9,1,0
4533,2,19,1,4,2
4533,4,23,2,7,7
4645,4,36,7,5,2
4645,3,40,7,11,6
4645,5,38,4,6,6
4645,2,42,7,15,10
4645,1,51,39,8,1
4645,6,43,4,5,11
4352,2,26,8,6,6
4352,3,35,3,17,3
4352,6,34,2,6,6
4352,1,47,35,5,1
4352,4,30,5,2,7
4352,5,28,6,7,6
4930,1,37,20,9,5
4930,6,40,2,2,6
4930,4,39,8,5,7
4930,2,41,7,13,9
4930,3,35,3,8,8
4930,5,44,3,5,15
5226,5,28,2,4,6
5226,4,21,5,3,2
5226,3,25,2,11,5
5226,6,22,0,2,5
5226,1,29,21,0,2
5226,2,27,4,10,5
4788,6,27,0,2,5
4788,1,54,33,7,4
4788,3,46,7,9,9
4788,5,51,3,7,23
4788,2,50,7,17,9
4788,4,39,3,8,7
4816,4,40,7,6,6
4816,2,33,7,10,6
4816,5,36,2,2,7
4816,3,31,1,8,7
4816,1,38,23,4,6
4816,6,32,1,2,6
4931,3,39,7,16,6
4931,2,44,8,13,11
4931,6,40,3,6,12
4931,1,58,42,6,5
4931,5,45,5,7,17
4931,4,41,4,9,14
4298,1,55,31,14,6
4298,4,48,5,8,17
4298,3,41,5,13,11
4298,5,42,1,5,13
4298,2,50,5,22,13
4298,6,27,0,4,7
3721,4,47,8,7,8
3721,3,46,8,13,9
3721,1,48,38,6,3
3721,6,18,0,0,2
3721,2,39,8,14,3
3721,5,37,3,5,8
4470,6,34,0,5,12
4470,1,47,32,6,4
4470,2,39,8,14,6
4470,5,31,1,9,7
4470,4,31,2,13,7
4470,3,45,4,9,14
4961,2,41,8,9,6
4961,5,38,2,10,6
4961,4,41,2,12,5
4961,3,39,11,7,6
4961,1,55,36,10,2
4961,6,36,3,4,9
5034,5,37,2,8,9
5034,3,54,19,13,7
5034,1,63,44,11,1
5034,2,48,7,16,4
5034,6,34,1,3,6
5034,4,38,9,5,9
4072,3,32,14,6,6
4072,1,55,44,3,2
4072,5,42,2,18,4
4072,4,41,7,10,8
4072,2,30,9,8,4
4072,6,24,3,1,5
4985,2,40,11,12,5
4985,5,40,4,9,8
4985,6,34,0,3,6
4985,3,56,12,14,12
4985,1,66,49,7,6
4985,4,44,5,13,7
4804,5,33,7,5,5
4804,1,52,34,7,5
4804,2,39,7,13,8
4804,3,36,12,9,6
4804,6,34,2,2,4
4804,4,43,11,6,9
4441,1,52,30,11,5
4441,6,39,1,2,12
4441,2,41,9,11,5
4441,4,43,1,8,17
4441,5,39,5,6,7
4441,3,41,10,7,9
5038,3,30,7,8,2
5038,4,34,6,7,9
5038,5,33,3,5,6
5038,2,44,7,15,7
5038,1,41,28,8,3
5038,6,32,3,2,5
3908,4,36,5,7,12
3908,1,67,46,7,4
3908,3,40,6,10,8
3908,6,47,3,2,9
3908,5,40,10,9,5
3908,2,45,8,13,6
5161,6,38,0,5,6
5161,2,30,3,7,6
5161,5,30,3,10,4
5161,3,41,3,11,8
5161,1,36,28,6,0
5161,4,42,8,11,7
5224,1,61,47,8,2
5224,2,43,10,14,5
5224,5,41,4,5,10
5224,3,42,8,17,11
5224,6,42,1,7,13
5224,4,33,3,12,8
4553,4,41,4,6,9
4553,1,37,28,2,1
4553,2,32,7,12,2
4553,5,38,0,12,9
4553,3,38,3,7,14
4553,6,23,1,1,4
3978,6,42,0,4,9
3978,5,45,3,8,11
3978,1,52,37,3,5
3978,4,40,5,6,7
3978,2,34,7,12,6
3978,3,48,7,9,10
4531,2,44,5,14,10
4531,6,40,3,1,10
4531,4,38,2,4,10
4531,5,41,5,9,13
4531,1,46,35,7,1
4531,3,41,8,15,6
4787,3,45,16,13,7
4787,1,61,45,8,2
4787,6,38,2,7,8
4787,4,40,6,12,7
4787,5,41,6,8,11
4787,2,40,15,11,6
5060,5,35,1,4,6
5060,1,36,21,2,4
5060,3,37,7,10,7
5060,4,37,4,12,6
5060,2,41,7,12,10
5060,6,32,2,1,6
4497,1,50,37,5,3
4497,2,41,10,10,4
4497,4,32,6,3,7
4497,5,32,2,7,6
4497,6,27,2,5,8
4497,3,36,11,4,6
4294,2,44,7,16,9
4294,3,45,11,14,4
4294,5,41,3,9,9
4294,6,34,5,3,6
4294,1,48,33,6,3
4294,4,47,14,7,11
4075,4,44,5,9,9
4075,6,40,2,5,4
4075,3,43,6,11,7
4075,5,37,4,4,9
4075,1,50,30,13,3
4075,2,37,8,10,8
4824,3,47,9,18,5
4824,6,39,2,2,7
4824,4,47,8,11,7
4824,2,41,12,10,5
4824,5,39,4,5,8
4824,1,49,29,9,3
4933,6,32,0,3,8
4933,5,37,4,6,8
4933,1,41,32,5,1
4933,2,36,4,12,9
4933,3,28,5,7,3
4933,4,32,5,6,10
5064,1,45,29,7,4
5064,4,44,6,10,11
5064,2,41,4,17,7
5064,6,35,2,1,8
5064,5,39,4,12,7
5064,3,35,6,9,3
3744,2,40,7,9,11
3744,3,47,11,10,10
3744,6,19,1,1,0
3744,5,41,9,4,5
3744,1,64,47,6,2
3744,4,67,7,17,11
5141,3,38,10,12,7
5141,4,32,8,9,4
5141,5,39,6,6,8
5141,1,48,30,9,3
5141,2,35,6,11,6
5141,6,22,1,3,5
4914,6,37,3,9,3
4914,5,43,5,9,4
4914,1,42,37,2,0
4914,4,47,10,10,7
4914,3,37,5,15,8
4914,2,39,7,13,8
5134,1,42,27,4,6
5134,3,37,5,10,7
5134,2,36,6,9,5
5134,6,36,0,6,8
5134,5,29,3,4,3
5134,4,33,1,7,8
4579,4,45,6,5,8
4579,2,38,2,9,12
4579,5,41,5,9,9
4579,6,25,0,2,3
4579,1,52,36,5,4
4579,3,45,5,10,18
4649,2,41,8,8,7
4649,5,37,2,2,8
4649,6,43,0,1,7
4649,1,46,23,11,3
4649,3,51,8,7,9
4649,4,48,9,7,6
4977,4,36,7,6,7
4977,1,39,22,8,1
4977,6,26,0,4,4
4977,3,40,6,10,8
4977,2,36,5,10,8
4977,5,36,2,5,12
4477,5,36,3,7,6
4477,2,43,4,14,13
4477,6,36,0,6,9
4477,3,42,4,9,13
4477,1,52,40,5,3
4477,4,39,7,14,10
4278,6,32,0,9,4
4278,2,49,14,11,17
4278,4,41,5,13,11
4278,3,47,9,15,10
4278,1,66,54,9,1
4278,5,50,7,6,7
3946,2,134,13,56,29
3946,1,68,44,13,6
3946,3,57,9,12,15
3946,4,28,4,2,8
3946,6,4,0,2,0
3946,5,7,0,1,1
4825,1,47,33,6,2
4825,6,24,0,7,4
4825,2,35,7,7,10
4825,5,42,5,5,13
4825,3,36,9,7,7
4825,4,34,6,10,7
3779,4,50,8,9,11
3779,3,47,10,7,9
3779,2,36,4,7,8
3779,1,57,40,5,0
3779,6,32,0,4,6
3779,5,31,5,2,2
3876,5,26,10,6,3
3876,3,32,14,5,3
3876,4,23,8,4,4
3876,1,43,32,5,0
3876,2,24,4,10,5
3876,6,29,3,3,5
3606,1,47,17,17,6
3606,4,42,2,6,8
3606,3,44,7,13,7
3606,5,39,2,4,9
3606,6,30,0,0,4
3606,2,33,8,12,6
3964,3,38,2,7,6
3964,2,36,2,7,10
3964,5,35,1,1,6
3964,1,25,7,6,5
3964,6,26,0,1,2
3964,4,32,0,1,6
3922,2,50,1,8,9
3922,5,49,1,2,8
3922,4,40,3,6,4
3922,1,30,8,7,4
3922,3,40,2,5,4
3922,6,20,0,0,1
4213,4,25,4,2,1
4213,5,37,5,3,6
4213,6,70,10,8,5
4213,2,23,2,5,2
4213,1,16,5,5,1
4213,3,16,0,4,1
3867,5,36,1,1,3
3867,1,24,8,5,2
3867,6,25,0,1,1
3867,2,36,2,8,2
3867,4,38,2,3,6
3867,3,37,2,6,6
5417,6,93,0,3,8
5417,5,27,0,3,3
5417,4,19,2,0,8
5417,3,8,1,1,2
4812,1,49,41,3,2
4812,2,37,12,15,2
4812,5,39,6,12,5
4812,4,38,8,6,10
4812,3,36,7,12,8
4812,6,28,1,5,8
4871,3,37,2,8,8
4871,5,33,0,3,9
4871,4,29,4,4,4
4871,2,34,2,10,3
4871,1,28,12,5,2
4871,6,29,1,0,4
4292,2,42,7,11,10
4292,6,25,1,4,3
4292,1,54,34,8,6
4292,4,39,5,7,13
4292,5,46,9,3,14
4292,3,40,7,8,10
3273,6,2,0,0,0
3273,5,4,0,0,1
3273,2,1,0,0,0
3273,3,1,0,0,0
3273,1,1,1,0,0
3953,5,24,0,1,1
3953,1,19,7,3,1
3953,2,26,0,2,4
3953,6,24,0,0,0
3953,4,25,1,1,4
3953,3,19,0,3,2
5312,4,35,0,2,4
5312,5,37,1,1,1
5312,6,33,0,0,4
5312,2,34,4,2,5
5312,1,22,8,2,3
5312,3,38,2,2,3
4640,3,54,11,13,13
4640,6,37,0,5,8
4640,1,58,33,17,5
4640,4,44,7,12,7
4640,2,44,3,11,15
4640,5,55,5,6,16
4879,1,30,8,11,4
4879,3,34,3,11,3
4879,4,35,6,3,3
4879,5,32,2,4,7
4879,2,34,4,6,5
4879,6,42,0,4,5
3776,5,34,0,4,7
3776,4,35,0,0,3
3776,1,23,1,2,3
3776,2,36,1,7,4
3776,3,32,1,4,5
3776,6,31,0,0,0
3715,6,21,1,2,3
3715,2,31,4,12,7
3715,1,28,10,6,6
3715,4,33,1,6,13
3715,3,29,3,11,7
3715,5,28,0,5,5
4978,2,46,4,8,11
4978,1,36,16,6,2
4978,5,43,3,2,8
4978,6,37,0,4,4
4978,3,40,1,7,10
4978,4,39,5,3,11
4007,4,28,1,4,6
4007,1,24,11,5,4
4007,5,31,0,1,11
4007,2,32,4,5,5
4007,3,30,3,6,6
4007,6,29,0,0,3
4111,1,30,16,8,4
4111,3,45,7,13,7
4111,5,37,3,4,5
4111,2,38,6,6,11
4111,6,27,0,1,4
4111,4,37,1,8,7
4448,5,43,6,8,8
4448,2,41,9,14,4
4448,3,41,12,14,6
4448,1,48,37,7,2
4448,6,31,0,8,9
4448,4,40,6,12,11
4296,2,25,4,8,6
4296,3,25,6,5,7
4296,4,27,1,10,7
4296,5,33,3,5,9
4296,1,40,29,7,1
4296,6,20,1,4,4
4588,6,39,1,1,4
4588,3,42,7,6,15
4588,1,48,27,10,2
4588,2,44,7,19,9
4588,4,52,6,12,8
4588,5,46,3,3,11
4035,3,51,5,8,6
4035,5,51,2,5,5
4035,1,30,9,4,5
