regno,course,st_avg,n
5017,1,0.1156,48
5017,4,0.1379,39
5017,6,0.1306,34
5017,3,0.1381,36
5017,5,0.1295,41
5017,2,0.118,40
5055,2,0.15,42
5055,5,0.1462,34
5055,1,0.1448,44
5055,6,0.1564,39
5055,3,0.144,43
5055,4,0.163,47
5145,5,0.1615,41
5145,3,0.1588,49
5145,6,0.1674,35
5145,2,0.1551,41
5145,1,0.1416,49
5145,4,0.1469,36
4189,3,0.1682,55
4189,5,0.1603,35
4189,4,0.1604,56
4189,1,0.1638,53
4189,2,0.1505,57
4189,6,0.1964,22
4533,6,0.2041,29
4533,3,0.1895,22
4533,5,0.1678,23
4533,1,0.1711,18
4533,2,0.2361,18
4533,4,0.1765,23
4645,4,0.1391,35
4645,3,0.1273,40
4645,5,0.1179,38
4645,2,0.129,42
4645,1,0.139,51
4645,6,0.1416,43
4352,2,0.1454,26
4352,3,0.136,35
4352,6,0.1726,34
4352,1,0.1368,44
4352,4,0.1413,30
4352,5,0.1354,28
4930,1,0.1238,37
4930,6,0.1795,40
4930,4,0.1361,38
4930,2,0.1545,40
4930,3,0.1674,35
4930,5,0.1625,44
5226,5,0.1418,28
5226,4,0.1595,21
5226,3,0.1408,25
5226,6,0.185,22
5226,1,0.1524,29
5226,2,0.1652,27
4788,6,0.1767,27
4788,1,0.1439,54
4788,3,0.1437,46
4788,5,0.1469,51
4788,2,0.1512,50
4788,4,0.1679,39
4816,4,0.1383,40
4816,2,0.1403,32
4816,5,0.1703,36
4816,3,0.1445,31
4816,1,0.1592,38
4816,6,0.1797,32
4931,3,0.1495,39
4931,2,0.1523,44
4931,6,0.1815,40
4931,1,0.1062,58
4931,5,0.1573,45
4931,4,0.1493,41
4298,1,0.164,55
4298,4,0.1733,48
4298,3,0.1568,41
4298,5,0.1702,42
4298,2,0.1552,50
4298,6,0.1933,27
3721,4,0.1064,47
3721,3,0.1327,45
3721,1,0.1165,48
3721,6,0.1456,18
3721,2,0.1269,39
3721,5,0.1241,37
4470,6,0.18,34
4470,1,0.1283,47
4470,2,0.1397,39
4470,5,0.1726,31
4470,4,0.1316,31
4470,3,0.1248,44
4961,2,0.13,41
4961,5,0.1684,38
4961,4,0.151,41
4961,3,0.1477,39
4961,1,0.127,54
4961,6,0.1669,36
5034,5,0.1681,37
5034,3,0.1328,54
5034,1,0.1137,63
5034,2,0.1379,48
5034,6,0.1579,34
5034,4,0.1111,38
4072,3,0.1322,32
4072,1,0.1395,55
4072,5,0.144,42
4072,4,0.1227,41
4072,2,0.1213,30
4072,6,0.1383,24
4985,2,0.144,40
4985,5,0.1392,40
4985,6,0.1465,34
4985,3,0.1323,56
4985,1,0.1305,66
4985,4,0.1559,44
4804,5,0.163,33
4804,1,0.1828,50
4804,2,0.2233,39
4804,3,0.1692,36
4804,6,0.2068,34
4804,4,0.17,43
4441,1,0.1127,52
4441,6,0.1526,39
4441,2,0.1344,41
4441,4,0.1298,43
4441,5,0.1485,39
4441,3,0.1461,41
5038,3,0.1493,30
5038,4,0.1224,34
5038,5,0.1555,33
5038,2,0.1661,44
5038,1,0.1541,41
5038,6,0.1825,32
3908,4,0.1222,36
3908,1,0.1452,66
3908,3,0.1465,40
3908,6,0.1391,47
3908,5,0.137,40
3908,2,0.1698,45
5161,6,0.1461,38
5161,2,0.1647,30
5161,5,0.1447,30
5161,3,0.1388,41
5161,1,0.1239,36
5161,4,0.1337,41
5224,1,0.1456,61
5224,2,0.1309,43
5224,5,0.1578,41
5224,3,0.1412,42
5224,6,0.1638,42
5224,4,0.1345,33
4553,4,0.1644,41
4553,1,0.1362,37
4553,2,0.1419,32
4553,5,0.1621,38
4553,3,0.1613,38
4553,6,0.1643,23
3978,6,0.1986,42
3978,5,0.1602,45
3978,1,0.1324,50
3978,4,0.151,40
3978,2,0.1448,33
3978,3,0.1329,48
4531,2,0.1673,44
4531,6,0.1537,40
4531,4,0.1745,38
4531,5,0.1644,41
4531,1,0.1326,46
4531,3,0.1534,41
4787,3,0.1313,45
4787,1,0.1328,60
4787,6,0.1478,37
4787,4,0.1385,40
4787,5,0.139,41
4787,2,0.137,40
5060,5,0.1649,35
5060,1,0.1567,36
5060,3,0.1508,37
5060,4,0.1732,37
5060,2,0.1654,41
5060,6,0.1937,32
4497,1,0.1372,50
4497,2,0.1354,41
4497,4,0.1459,32
4497,5,0.1472,32
