c2_regno,c1_regno,c1_won,win_course,kimarite
5055,5017,1,1,逃げ
4352,4930,0,2,差し
4961,4298,1,1,逃げ
4985,4441,0,2,差し
4531,5224,1,1,逃げ
4294,4497,1,1,逃げ
3744,5064,1,1,逃げ
4649,5134,1,1,逃げ
3946,4804,0,4,まくり
5224,4825,1,1,逃げ
4931,4787,0,5,まくり差し
4816,3908,1,1,逃げ
3922,3606,1,1,逃げ
4292,4812,1,1,逃げ
4978,4879,0,3,まくり差し
4296,4111,1,1,逃げ
5041,4650,1,1,逃げ
3663,3953,0,3,まくり差し
4471,4007,1,1,逃げ
3975,3867,1,1,逃げ
3964,4978,0,3,まくり
4873,4315,0,3,差し
4448,3527,0,2,差し
4812,4604,1,1,逃げ
5195,4627,1,1,逃げ
5317,5296,0,3,まくり
5250,3579,1,1,逃げ
4317,5281,0,2,まくり
5078,4014,0,6,まくり差し
4525,4045,1,1,逃げ
4484,3845,1,1,逃げ
3704,4478,0,4,まくり
5272,4773,1,1,逃げ
4530,4556,1,1,抜き
3845,5193,1,1,逃げ
4225,4447,0,2,差し
5138,5140,0,2,差し
3277,4529,1,1,逃げ
3982,4728,1,1,抜き
4506,4472,0,3,まくり差し
4994,5162,0,2,差し
4731,4451,1,1,逃げ
5084,4241,1,1,抜き
5063,4906,1,1,逃げ
3736,4220,1,1,逃げ
4347,4925,0,4,差し
4361,3783,1,1,逃げ
4143,4890,1,1,逃げ
4981,4425,1,1,逃げ
5066,3315,0,4,まくり差し
4853,3574,0,2,抜き
5146,4335,1,1,逃げ
4367,3939,0,2,差し
3807,5015,1,3,まくり
5189,3611,1,1,抜き
4596,5087,0,4,抜き
3805,4302,1,1,逃げ
3554,3952,0,3,まくり差し
3839,3349,1,1,逃げ
3587,4509,1,1,逃げ
3484,4566,1,1,逃げ
3175,3333,1,1,逃げ
3233,5277,1,1,逃げ
4015,5230,0,4,まくり差し
3741,5241,0,3,まくり
3662,5315,0,2,差し
3784,4409,1,1,逃げ
3907,4055,0,3,まくり差し
4623,4446,1,1,逃げ
5026,4044,0,5,差し
3430,4411,0,2,まくり
3355,4784,1,1,逃げ
4053,3710,0,3,まくり
4775,4963,1,1,逃げ
5125,4837,1,1,逃げ
4938,4011,1,1,逃げ
4465,3430,1,1,逃げ
4408,5295,0,3,まくり
4103,3853,0,4,まくり
5088,3509,0,5,まくり
3470,3618,1,1,逃げ
3679,4398,1,1,逃げ
3722,4145,1,1,抜き
4934,3072,0,4,差し
5047,4329,0,3,まくり差し
3955,4544,1,1,逃げ
4079,4732,0,3,まくり差し
4404,3963,0,3,まくり差し
4839,3615,0,2,差し
4600,4973,0,2,差し
4983,3788,1,1,逃げ
4080,4522,1,1,逃げ
3072,4953,1,1,逃げ
4790,4264,1,1,逃げ
3313,4568,1,1,逃げ
4254,3822,1,1,逃げ
5121,3562,1,1,逃げ
5045,4247,0,3,まくり差し
3989,5033,1,1,逃げ
4188,4661,0,2,差し
5263,3503,0,5,差し
4866,3921,1,1,逃げ
3889,3455,0,4,まくり
4886,3256,0,4,抜き
4521,4237,1,1,逃げ
4504,4188,0,2,まくり
4863,4798,0,3,差し
5276,4840,0,3,まくり差し
4638,3772,1,1,逃げ
4653,3703,0,2,差し
4565,4835,0,4,まくり
4574,4601,0,4,差し
4808,5276,0,5,まくり差し
4757,4040,1,1,逃げ
4610,4483,1,1,逃げ
4369,5044,0,2,差し
3772,4703,0,5,まくり差し
3888,4757,1,1,逃げ
4332,3718,1,1,逃げ
4252,3880,1,1,逃げ
3542,5240,0,2,まくり
3911,5068,1,1,逃げ
4496,4676,0,5,まくり差し
4297,3708,0,2,差し
3743,3463,0,2,抜き
5211,4114,0,4,まくり
4116,4431,0,4,まくり
5169,4150,1,1,逃げ
3643,4877,0,3,まくり
3743,4207,1,1,逃げ
3981,4893,0,5,まくり
3305,3346,0,2,まくり
4067,3652,0,5,まくり
4042,3748,1,1,逃げ
4293,4491,1,1,逃げ
3414,4358,0,5,抜き
3993,4992,1,1,逃げ
4918,3951,1,1,逃げ
3462,4076,0,5,まくり差し
5085,4903,1,1,逃げ
3422,4144,1,1,逃げ
4519,4460,1,1,逃げ
4437,5100,0,2,まくり
4429,3619,1,1,逃げ
4137,5223,1,1,逃げ
4630,3699,1,1,逃げ
4761,4022,0,4,抜き
4405,3412,1,1,逃げ
5212,3251,1,1,逃げ
5107,4131,1,1,逃げ
4872,4651,1,1,逃げ
4434,5012,1,1,逃げ
3860,4630,0,4,まくり差し
5053,4512,1,1,逃げ
5161,4553,0,4,抜き
4497,5060,0,4,差し
