regno,n1c,lose,p2_when_lose
5017,48,9,3
4930,37,17,9
4298,52,24,14
4441,51,22,11
5224,59,14,8
4497,50,13,5
5064,42,16,7
5134,42,15,4
4804,52,18,7
4825,46,13,6
4787,61,16,8
3908,67,21,7
3606,45,29,16
4812,45,7,3
4879,30,22,11
4111,30,14,8
4650,18,7,1
3953,18,11,3
4007,24,13,5
3867,24,16,5
4978,35,19,6
4315,25,14,3
3527,39,24,12
4604,61,7,3
4627,36,16,4
5296,18,13,4
3579,21,10,5
5281,43,12,2
4014,43,17,7
4045,29,17,8
3845,25,13,6
4478,46,20,7
4773,53,21,8
4556,46,11,8
5193,56,18,8
4447,38,24,9
5140,26,18,7
4529,38,13,3
4728,28,13,5
4472,50,13,7
5162,12,10,3
4451,62,21,13
4241,42,17,7
4906,34,20,10
4220,28,8,2
4925,40,19,6
3783,55,28,13
4890,35,14,3
4425,24,11,1
3315,22,17,2
3574,56,19,7
4335,61,12,5
3939,11,6,4
5015,50,5,3
3611,46,22,10
5087,51,17,8
4302,62,15,5
3952,60,26,13
3349,49,24,13
4509,43,20,8
4566,46,10,4
3333,59,22,14
5277,29,15,7
5230,22,13,4
5241,23,15,6
5315,18,16,4
4409,50,11,5
4055,58,19,12
4446,59,10,5
4044,51,17,10
4411,45,17,9
4784,19,12,4
3710,30,19,8
4963,47,12,7
4837,27,16,11
4011,37,12,5
3430,30,16,6
5295,18,11,1
3853,43,12,9
3509,21,17,7
3618,57,20,9
4398,68,15,9
4145,25,22,4
3072,43,30,11
4329,29,19,11
4544,82,20,9
4732,57,16,10
3963,42,21,6
3615,31,19,11
4973,39,19,4
3788,23,11,3
4522,51,10,3
4953,46,8,1
4264,65,19,10
4568,37,13,4
3822,59,17,6
3562,53,24,7
4247,32,22,8
5033,23,15,6
4661,27,16,8
3503,27,20,6
3921,13,8,1
3455,35,18,5
3256,43,19,11
4237,61,19,10
4188,56,11,4
4798,54,14,9
4840,29,19,9
3772,29,17,10
3703,48,24,10
4835,29,15,5
4601,55,22,14
5276,28,18,6
4040,48,17,8
4483,53,13,6
5044,34,13,2
4703,51,21,8
4757,59,15,7
3718,30,10,3
3880,31,21,6
5240,25,13,4
5068,53,12,6
4676,34,18,5
3708,32,17,10
3463,32,26,7
4114,22,14,3
4431,25,12,2
4150,40,15,7
4877,52,19,13
4207,50,18,7
4893,27,17,6
3346,11,10,3
3652,22,14,8
3748,25,21,4
4491,27,17,2
4358,27,20,8
4992,29,11,6
3951,42,25,10
4076,47,22,11
4903,56,14,4
4144,42,14,8
4460,50,23,8
5100,24,17,5
3619,36,22,8
5223,27,18,2
3699,19,17,6
4022,24,15,2
3412,59,19,10
3251,55,31,13
4131,35,11,6
4651,20,14,2
5012,37,20,8
4630,43,20,10
4512,66,9,4
4553,35,8,1
5060,36,15,2
4977,39,17,8
4470,47,15,6
4072,54,10,3
4788,53,21,7
5034,63,19,11
3721,48,10,6
3978,52,15,3
4914,41,5,2
5141,48,18,9
4292,53,20,8
4640,55,23,15
4471,67,9,6
3776,23,22,2
4475,53,19,10
5199,26,14,4
3663,39,20,13
3964,24,18,6
5041,24,12,6
3715,27,18,6
4588,48,21,10
4772,51,14,9
4433,66,14,6
3518,19,17,6
4349,20,14,6
3357,30,24,8
4190,30,7,2
4456,57,12,6
4240,41,17,7
3551,21,15,5
4936,37,11,4
5163,45,14,8
4530,58,13,10
4536,47,18,9
4336,36,12,4
3557,76,29,22
3304,54,20,9
3773,28,17,9
3920,30,19,8
3629,42,13,6
4538,34,20,6
4118,56,23,16
3265,61,34,15
4005,3,3,1
4251,29,19,8
3434,32,15,3
3467,25,21,3
4951,36,17,6
4121,39,17,11
3554,78,25,15
5218,49,14,3
4009,43,17,7
4734,54,16,9
5222,43,14,2
4510,15,13,2
4465,22,13,2
4938,55,15,10
4776,65,13,7
3207,27,24,5
3998,29,18,12
5334,22,19,3
3684,39,16,9
4720,22,15,2
3679,47,11,6
3999,61,21,13
4036,54,18,11
3935,21,13,7
4691,23,12,4
3934,36,23,6
3546,30,24,5
3612,70,30,17
3224,23,18,5
4917,24,17,2
3746,53,20,8
4260,40,15,9
4543,53,17,10
4762,62,12,6
4511,28,18,6
3812,33,22,4
3757,24,14,2
3523,22,17,10
3714,27,13,4
4594,44,13,7
4828,49,19,8
3731,34,20,10
4303,35,18,9
3833,73,19,10
5043,47,17,9
4656,27,15,7
4615,21,14,5
3955,20,12,7
3849,58,11,7
4710,56,16,7
5166,46,18,6
5047,30,16,5
4600,45,12,3
4718,44,16,7
4079,49,20,9
