date,rno,chaku,teiban,touban,name,motor,tenji,shinnyu,st
2025-07-08,1,01,2,5086,本村大,22,6.88,2,0.18
2025-07-08,1,02,3,4636,赤池修平,51,6.9,3,0.14
2025-07-08,1,03,6,3528,笠野友紀恵,60,6.9,6,0.15
2025-07-08,1,04,5,4449,中嶋達也,76,6.93,5,0.10
2025-07-08,1,05,4,4382,高山智至,64,6.81,4,0.14
2025-07-08,1,06,1,4926,吉川貴仁,24,6.79,1,0.17
2025-07-08,2,01,2,4980,佐々木完太,79,6.94,2,0.21
2025-07-08,2,02,1,4098,赤澤文香,12,6.86,1,0.25
2025-07-08,2,03,6,4077,品田直樹,28,6.84,6,0.16
2025-07-08,2,04,4,4049,荒川健太,35,6.85,4,0.18
2025-07-08,2,05,3,3444,香月大介,31,6.81,3,0.18
2025-07-08,2,06,5,4173,岡谷健吾,11,6.86,5,0.17
2025-07-08,3,01,1,4302,西野翔太,58,6.8,1,0.11
2025-07-08,3,02,3,5257,西丸侑太朗,63,6.78,3,0.12
2025-07-08,3,03,5,5287,滝沢織寧,37,6.76,5,0.17
2025-07-08,3,04,2,4919,吉田翔悟,32,6.82,2,0.12
2025-07-08,3,05,4,3467,森弘行,16,6.81,4,0.19
2025-07-08,3,06,6,4393,田中孝明,36,6.83,6,0.19
2025-07-08,4,01,4,4306,畔柳俊吾,59,6.9,4,0.10
2025-07-08,4,02,5,5015,高橋竜矢,50,6.79,5,0.13
2025-07-08,4,03,1,3841,佐々木和伸,56,6.74,1,0.22
2025-07-08,4,04,3,4942,柴田朋哉,15,6.79,3,0.13
2025-07-08,4,05,2,4896,花本剛,72,6.87,2,0.21
2025-07-08,4,06,6,5170,佐藤太亮,55,6.84,6,0.17
2025-07-08,5,01,1,4183,宇野弥生,19,6.79,1,0.12
2025-07-08,5,02,6,4482,守屋美穂,53,6.76,6,0.22
2025-07-08,5,03,2,4385,鈴木祐美子,26,6.84,2,0.32
2025-07-08,5,04,3,5151,山下奈緒,34,6.9,3,0.27
2025-07-08,5,05,5,4965,福岡泉水,30,6.85,5,0.30
2025-07-08,5,06,4,4900,中田夕貴,52,6.81,4,0.24
2025-07-08,6,01,4,4377,濱本優一,17,6.78,4,0.01
2025-07-08,6,02,6,4382,高山智至,64,6.77,6,0.10
