date,rno,rname,nichime,wdir,wspd,kimarite,santan,payout,win_teiban,c1_touban,c1_win
2025-07-08,1,とるならなる,1,北西,1,抜き,2-3-6,124790,2,4926,0
2025-07-08,2,どーなるなる,1,東,1,差し,2-1-6,7530,2,4098,0
2025-07-08,3,どきどきなる,1,南東,2,逃げ,1-3-5,2120,1,4302,1
2025-07-08,4,とにかくなる,1,南東,2,まくり,4-5-1,2690,4,3841,0
2025-07-08,5,予選,1,東,2,逃げ,1-6-2,2090,1,4183,1
2025-07-08,6,予選,1,東,2,まくり差し,4-6-1,9160,4,3812,0
2025-07-08,7,予選,1,南東,2,抜き,5-1-2,6490,5,4251,0
2025-07-08,8,予選,1,南東,3,逃げ,1-3-2,4130,1,4449,1
2025-07-08,9,特賞,1,南東,3,逃げ,1-6-4,9440,1,3284,1
2025-07-08,10,特賞,1,南東,4,まくり差し,3-1-5,4320,3,4173,0
2025-07-08,11,特選,1,南東,3,逃げ,1-3-4,740,1,4377,1
2025-07-08,12,ドリーム戦,1,南東,3,まくり,4-6-3,20300,4,3743,0
2025-07-09,1,とるならなる,2,南東,2,逃げ,1-2-5,1200,1,4596,1
2025-07-09,2,どーなるなる,2,南東,3,まくり,4-1-5,4500,4,4393,0
2025-07-09,3,どきどきなる,2,南東,4,まくり,3-5-2,19320,3,4381,0
2025-07-09,4,とにかくなる,2,東,3,差し,2-1-5,5050,2,4218,0
2025-07-09,5,予選,2,東,3,差し,2-3-4,12260,2,4463,0
2025-07-09,6,予選,2,南東,4,差し,2-6-1,1900,2,4896,0
2025-07-09,7,予選,2,東,3,差し,6-2-3,65670,6,3444,0
2025-07-09,8,予選,2,南東,5,まくり,5-3-2,2680,5,4636,0
2025-07-09,9,特賞,2,南東,3,抜き,6-3-5,3270,6,4382,0
2025-07-09,10,特賞,2,東,4,まくり,4-5-1,3500,4,3528,0
2025-07-09,11,特選,2,東,4,逃げ,1-2-5,810,1,4049,1
2025-07-09,12,特選,2,南東,2,まくり差し,4-1-5,40300,4,4482,0
2025-07-10,1,とるならなる,3,南東,1,逃げ,1-3-5,1060,1,5257,1
2025-07-10,2,どーなるなる,3,南東,1,逃げ,1-6-4,1920,1,4739,1
2025-07-10,3,どきどきなる,3,北西,2,まくり,3-2-5,5790,3,4900,0
2025-07-10,4,とにかくなる,3,北,1,差し,2-1-5,12520,2,4980,0
2025-07-10,5,予選,3,北西,1,逃げ,1-5-3,4030,1,4248,1
2025-07-10,6,予選,3,北西,1,抜き,2-4-3,1730,2,5151,0
2025-07-10,7,予選,3,無,0,まくり差し,5-1-6,29520,5,3467,0
2025-07-10,8,予選,3,南東,2,まくり差し,3-2-4,5600,3,5170,0
2025-07-10,9,特賞,3,北西,1,まくり,2-4-5,2770,2,5287,0
2025-07-10,10,特賞,3,南東,1,まくり差し,6-3-4,3340,6,4965,0
2025-07-10,11,特選,3,東,2,逃げ,1-4-6,5400,1,4967,1
2025-07-10,12,特選,3,東,3,逃げ,1-3-4,630,1,5015,1
2025-07-11,1,とるならなる,4,東,1,逃げ,1-4-5,3830,1,3743,1
2025-07-11,2,どーなるなる,4,南東,1,逃げ,1-3-2,4690,1,4081,1
2025-07-11,3,どきどきなる,4,南東,2,逃げ,1-2-3,720,1,4482,1
2025-07-11,4,とにかくなる,4,東,1,恵まれ,3-2-5,3550,3,4557,0
