ym,touban,slow_n,slow_sum,dash_n,dash_sum
2025-07,2538,7,1.47,4,1.0
2025-07,2878,12,1.94,6,0.86
2025-07,3024,25,3.58,0,0.0
2025-07,3054,12,1.71,9,1.52
2025-07,3070,9,1.69,4,0.44
2025-07,3072,21,3.58,0,0.0
2025-07,3075,7,0.88,10,1.52
2025-07,3081,6,1.23,8,1.1
2025-07,3105,9,1.26,6,1.31
2025-07,3107,12,2.05,10,1.61
2025-07,3156,15,2.14,4,0.55
2025-07,3158,12,2.03,9,1.52
2025-07,3159,8,1.3,0,0.0
2025-07,3161,12,2.37,4,0.67
2025-07,3175,5,0.66,4,0.65
2025-07,3176,8,1.45,9,1.56
2025-07,3202,14,3.0,12,2.6
2025-07,3207,5,0.86,4,0.43
2025-07,3211,14,2.5,11,2.06
2025-07,3212,5,0.95,3,0.36
2025-07,3224,10,1.89,13,2.18
2025-07,3226,10,1.85,11,2.16
2025-07,3232,12,2.0,8,1.3
2025-07,3233,12,2.32,8,1.79
2025-07,3246,4,0.78,5,0.94
2025-07,3251,13,2.79,11,1.87
2025-07,3256,11,1.58,7,1.37
2025-07,3257,26,4.11,0,0.0
2025-07,3265,18,2.59,0,0.0
2025-07,3268,11,1.81,8,1.69
2025-07,3273,9,1.64,10,1.75
2025-07,3277,9,1.69,9,1.38
2025-07,3282,6,1.59,11,2.69
2025-07,3284,10,2.08,8,1.67
2025-07,3286,12,1.51,9,1.59
2025-07,3289,1,0.15,0,0.0
2025-07,3293,9,1.51,9,1.88
2025-07,3294,7,1.29,7,0.67
2025-07,3297,5,0.93,2,0.41
2025-07,3300,10,1.2,8,1.15
2025-07,3302,6,1.12,7,1.21
2025-07,3304,8,1.68,11,2.03
2025-07,3305,12,2.25,13,2.38
2025-07,3306,5,0.96,4,0.74
2025-07,3313,8,1.23,10,2.16
2025-07,3315,8,1.15,6,1.23
2025-07,3319,5,1.04,5,0.73
2025-07,3327,7,0.74,7,1.57
2025-07,3333,10,1.39,10,1.39
2025-07,3334,6,1.42,5,1.02
2025-07,3339,10,1.87,9,1.53
2025-07,3340,5,0.94,4,1.3
2025-07,3346,4,0.92,6,0.93
2025-07,3349,12,2.08,4,0.83
2025-07,3350,13,2.02,10,1.8
2025-07,3352,0,0.0,13,3.07
2025-07,3353,4,0.78,5,0.97
2025-07,3355,5,1.38,5,1.32
2025-07,3357,5,1.34,5,1.35
2025-07,3361,4,0.67,5,0.69
2025-07,3362,17,3.39,3,0.5
2025-07,3370,8,1.17,6,1.11
2025-07,3372,5,1.09,6,1.27
2025-07,3377,5,0.96,6,1.4
2025-07,3381,12,1.61,9,1.17
2025-07,3385,9,1.47,8,1.27
2025-07,3388,3,0.51,2,0.41
2025-07,3392,8,1.4,11,1.84
2025-07,3401,5,0.83,4,1.04
2025-07,3406,11,2.05,11,2.09
2025-07,3411,7,1.53,8,1.5
2025-07,3412,14,2.63,14,2.18
2025-07,3414,8,1.54,6,0.78
2025-07,3415,6,0.89,3,0.44
2025-07,3422,13,2.03,15,2.3
2025-07,3430,11,2.02,11,1.8
2025-07,3432,8,0.94,11,1.93
2025-07,3434,8,1.1,11,2.05
2025-07,3435,19,3.0,12,1.87
2025-07,3436,11,0.97,6,0.62
2025-07,3439,9,1.43,12,1.9
2025-07,3441,7,1.36,10,2.12
2025-07,3442,11,1.49,10,1.88
2025-07,3444,9,1.81,10,1.92
