ym,touban,t5n,t5top3,t6n,t6top3
2025-07,2538,2,0,1,0
2025-07,2878,3,1,2,1
2025-07,3024,3,1,1,0
2025-07,3054,4,1,3,1
2025-07,3070,3,1,1,1
2025-07,3072,3,1,1,0
2025-07,3075,1,0,4,1
2025-07,3081,2,2,3,0
2025-07,3105,2,1,2,0
2025-07,3107,5,0,2,0
2025-07,3156,3,1,3,0
2025-07,3158,2,0,4,0
2025-07,3159,1,1,2,2
2025-07,3161,2,0,2,1
2025-07,3175,2,1,1,0
2025-07,3176,3,0,2,0
2025-07,3202,5,2,1,0
2025-07,3207,2,0,1,0
2025-07,3211,4,0,4,1
2025-07,3212,1,0,1,0
2025-07,3224,3,2,3,0
2025-07,3226,5,1,2,1
2025-07,3232,3,2,1,1
2025-07,3233,3,0,3,1
2025-07,3246,2,0,1,0
2025-07,3251,3,1,4,2
2025-07,3256,3,2,3,2
2025-07,3257,3,3,5,2
2025-07,3265,1,1,4,3
2025-07,3268,4,3,1,0
2025-07,3273,5,0,4,1
2025-07,3277,4,0,3,2
2025-07,3282,4,2,4,2
2025-07,3284,3,3,4,1
2025-07,3286,4,0,4,1
2025-07,3293,3,0,4,0
2025-07,3294,3,0,3,1
2025-07,3297,1,0,2,0
2025-07,3300,1,0,4,2
2025-07,3302,2,0,3,0
2025-07,3304,3,2,3,1
2025-07,3305,4,1,3,0
2025-07,3306,2,0,0,0
2025-07,3313,3,0,4,0
2025-07,3315,3,0,2,0
2025-07,3319,1,0,2,2
2025-07,3327,1,0,4,3
2025-07,3333,3,0,4,2
2025-07,3334,2,1,2,0
2025-07,3339,4,3,3,0
2025-07,3340,1,0,3,1
2025-07,3346,1,0,2,0
2025-07,3349,2,0,3,0
2025-07,3350,5,1,3,0
2025-07,3352,3,0,10,4
2025-07,3353,1,0,2,0
2025-07,3355,1,0,1,0
2025-07,3357,2,0,1,0
2025-07,3361,2,0,1,0
2025-07,3362,2,2,3,1
2025-07,3370,3,0,0,0
2025-07,3372,2,0,1,0
2025-07,3377,2,0,2,0
2025-07,3381,2,1,3,0
2025-07,3385,2,2,4,1
2025-07,3388,0,0,1,0
2025-07,3392,5,2,2,1
2025-07,3401,1,0,2,1
2025-07,3406,4,1,3,1
2025-07,3411,2,0,2,0
2025-07,3412,6,3,4,4
2025-07,3414,2,0,3,0
2025-07,3415,1,1,1,0
2025-07,3422,4,3,5,1
2025-07,3430,4,0,3,0
2025-07,3432,3,0,4,0
2025-07,3434,4,3,3,0
2025-07,3435,4,3,1,1
2025-07,3436,2,0,1,0
2025-07,3439,1,0,5,2
2025-07,3441,2,0,4,0
2025-07,3442,4,2,4,2
2025-07,3444,5,2,3,0
2025-07,3445,2,0,1,1
2025-07,3448,2,0,1,0
2025-07,3454,2,1,3,0
2025-07,3455,3,1,4,2
