date,race,combo,odds
2025-09-18,1,1-2-3,41.9
2025-09-18,1,1-2-4,19.8
2025-09-18,1,1-2-5,39.3
2025-09-18,1,1-2-6,125.4
2025-09-18,1,1-3-2,45.4
2025-09-18,1,1-3-4,25.4
2025-09-18,1,1-3-5,48.0
2025-09-18,1,1-3-6,135.8
2025-09-18,1,1-4-2,16.7
2025-09-18,1,1-4-3,24.3
2025-09-18,1,1-4-5,18.3
2025-09-18,1,1-4-6,55.9
2025-09-18,1,1-5-2,61.8
2025-09-18,1,1-5-3,83.9
2025-09-18,1,1-5-4,40.5
2025-09-18,1,1-5-6,125.3
2025-09-18,1,1-6-2,317.0
2025-09-18,1,1-6-3,348.1
2025-09-18,1,1-6-4,203.8
2025-09-18,1,1-6-5,276.9
2025-09-18,1,2-1-3,90.1
2025-09-18,1,2-1-4,42.9
2025-09-18,1,2-1-5,83.2
2025-09-18,1,2-1-6,232.3
2025-09-18,1,2-3-1,164.4
2025-09-18,1,2-3-4,120.2
2025-09-18,1,2-3-5,228.2
2025-09-18,1,2-3-6,462.1
2025-09-18,1,2-4-1,53.9
2025-09-18,1,2-4-3,107.5
2025-09-18,1,2-4-5,71.0
2025-09-18,1,2-4-6,170.2
2025-09-18,1,2-5-1,161.4
2025-09-18,1,2-5-3,294.9
2025-09-18,1,2-5-4,131.6
2025-09-18,1,2-5-6,482.5
2025-09-18,1,2-6-1,558.5
2025-09-18,1,2-6-3,1025.0
2025-09-18,1,2-6-4,431.7
2025-09-18,1,2-6-5,781.3
2025-09-18,1,3-1-2,104.5
2025-09-18,1,3-1-4,50.6
2025-09-18,1,3-1-5,83.1
2025-09-18,1,3-1-6,191.3
2025-09-18,1,3-2-1,177.6
2025-09-18,1,3-2-4,115.6
2025-09-18,1,3-2-5,204.1
2025-09-18,1,3-2-6,343.6
2025-09-18,1,3-4-1,49.3
2025-09-18,1,3-4-2,79.2
2025-09-18,1,3-4-5,52.4
2025-09-18,1,3-4-6,107.1
2025-09-18,1,3-5-1,125.7
2025-09-18,1,3-5-2,192.1
2025-09-18,1,3-5-4,93.4
2025-09-18,1,3-5-6,225.9
2025-09-18,1,3-6-1,457.3
2025-09-18,1,3-6-2,580.8
2025-09-18,1,3-6-4,292.3
2025-09-18,1,3-6-5,437.5
2025-09-18,1,4-1-2,25.3
2025-09-18,1,4-1-3,41.9
2025-09-18,1,4-1-5,20.6
2025-09-18,1,4-1-6,45.4
2025-09-18,1,4-2-1,39.9
2025-09-18,1,4-2-3,83.9
2025-09-18,1,4-2-5,42.6
2025-09-18,1,4-2-6,82.2
2025-09-18,1,4-3-1,49.6
2025-09-18,1,4-3-2,76.1
