touban,n1c,win1c
2538,24,2
2878,39,15
3024,78,36
3054,23,9
3070,18,10
3072,43,13
3075,31,9
3081,14,4
3105,32,14
3107,21,5
3156,28,4
3158,52,33
3159,50,28
3161,35,7
3175,26,2
3176,14,3
3202,35,9
3207,24,3
3211,30,7
3212,32,10
3224,25,8
3226,35,13
3232,36,22
3233,28,9
3246,8,3
3251,55,22
3256,51,26
3257,48,37
3265,59,24
3268,33,18
3277,33,10
3282,33,13
3284,34,20
3286,23,10
3289,18,2
3293,28,3
3294,27,5
3297,32,7
3300,51,32
3302,25,11
3303,49,19
3304,58,38
3305,29,13
3306,32,4
3313,29,10
3315,22,5
3319,39,17
3327,51,32
3333,61,40
3334,55,31
3339,29,7
3340,34,12
3346,7,1
3349,51,30
3350,34,21
3353,13,2
3355,11,1
3357,30,8
3361,28,7
3362,41,17
3370,23,6
3372,17,4
3377,28,1
3381,32,12
3385,39,18
3388,40,29
3391,4,0
3392,34,11
3401,28,15
3406,44,24
3411,23,5
3412,58,41
3414,2,0
3415,52,39
3419,11,1
3422,56,36
3430,30,14
3432,22,6
3434,34,15
3435,53,35
3436,38,21
3439,51,28
3441,31,9
3442,24,10
3444,13,6
3445,31,13
3448,20,7
3454,38,11
3455,37,18
3458,25,7
3459,20,0
3461,13,5
3463,35,9
3467,27,4
3470,27,8
3471,26,5
3473,100,48
3474,32,11
3475,42,21
3477,27,6
3478,32,20
3482,46,18
3484,54,31
3489,55,40
3497,30,18
3499,46,33
3502,39,18
3503,27,7
3505,45,26
3507,26,8
3508,34,21
3509,20,4
3514,52,33
3516,32,7
3517,29,14
3518,21,3
3519,24,5
3523,23,7
3527,38,16
3528,29,6
3532,32,20
3535,26,10
3538,13,2
3539,30,8
3541,53,30
3542,34,10
3543,24,13
3544,27,4
3546,30,7
3548,55,33
3550,41,21
3551,20,5
3554,79,52
3556,65,50
3557,70,40
3558,31,13
3562,56,31
3563,45,21
3564,29,9
3566,31,14
3567,21,7
3568,29,12
3569,31,4
3572,44,20
3574,58,37
3576,58,33
3577,27,9
3578,17,3
3579,20,6
3580,29,7
3581,36,16
3582,52,33
3583,21,3
3584,33,9
3587,28,8
3589,24,13
3590,58,39
3591,19,5
3596,19,9
3602,27,5
3604,28,13
3605,27,11
3606,43,13
3611,44,25
3612,72,42
3613,53,34
3614,30,6
3615,31,11
3616,26,11
3617,25,11
3618,60,36
3619,33,11
3620,26,8
3621,23,9
3623,75,50
3627,38,18
3629,42,27
3630,20,2
3631,10,1
3635,34,18
3637,24,6
3641,47,31
3642,18,6
3643,34,19
3645,12,4
3647,28,5
3652,21,10
3653,19,4
3654,48,32
3655,49,24
3656,29,9
3659,33,19
3660,22,5
3661,46,21
3662,39,18
3663,42,23
3664,30,12
3679,48,36
3680,31,5
3681,25,12
3684,37,19
3685,28,14
3686,48,31
3687,32,19
3690,34,10
3692,39,16
3696,28,9
3699,20,3
3701,19,4
3703,49,25
3704,17,5
3708,35,15
3710,29,10
3711,55,27
3712,30,18
3713,38,22
3714,26,13
3715,30,11
3716,51,31
3717,30,16
3718,31,19
3719,45,33
3721,51,39
3722,22,3
3726,23,2
3730,31,15
3731,32,8
3737,56,41
3740,56,32
3741,24,9
3742,27,11
3743,57,31
3744,64,50
3745,26,13
3746,56,34
3747,32,18
3748,20,5
3752,26,6
3757,33,16
3761,29,17
3769,39,18
3771,36,21
3772,33,13
3773,27,10
3775,28,6
3776,23,0
3777,49,28
3778,17,2
3779,50,35
3783,54,25
3784,28,11
3787,20,6
3788,21,12
3790,28,8
3792,34,18
3793,25,8
3796,28,11
3797,29,5
3800,32,13
3801,23,10
3804,33,14
3805,34,11
3807,34,12
3808,24,7
3809,13,5
3811,57,37
3812,30,8
3813,53,37
3814,29,9
3820,11,1
3822,50,33
3825,25,9
3826,45,24
3827,28,6
3828,28,11
3831,32,13
3832,12,1
3833,66,48
3834,26,9
3837,42,32
3838,30,12
3839,27,3
3841,52,31
3842,30,14
3843,31,13
3845,28,15
3848,34,13
3849,50,39
3850,33,18
3851,9,1
3852,29,15
3853,49,37
