date,race,rank,boat,regno,name,motor,boatno,exhib,course,st
2025-09-19,1,01,1,5063,大塚雅治,38,54,6.91,1,0.27
2025-09-19,1,02,2,4603,谷川将太,14,29,6.93,2,0.28
2025-09-19,1,03,3,5276,大島隆乃介,76,39,6.96,3,0.26
2025-09-19,1,04,4,3951,石川吉鎬,49,34,6.98,4,0.26
2025-09-19,1,05,6,5337,出畑孝成,41,73,6.95,5,0.26
2025-09-19,1,06,5,5395,日高龍之介,28,76,6.91,6,0.35
2025-09-19,2,01,1,3892,草場康幸,59,61,6.93,1,0.09
2025-09-19,2,02,2,4254,川島圭司,69,70,6.94,2,0.16
2025-09-19,2,03,3,4434,田中辰彦,64,35,6.96,3,0.16
2025-09-19,2,04,4,4252,松下哲也,73,13,7.01,4,0.22
2025-09-19,2,05,6,3568,木村光宏,13,59,6.96,6,0.25
2025-09-19,2,06,5,5035,櫻井優,61,46,6.95,5,0.28
2025-09-19,3,01,1,4904,松本一毅,23,57,6.91,1,0.12
2025-09-19,3,02,2,4513,河野真也,37,60,6.94,2,0.26
2025-09-19,3,03,5,4903,吉田凌太朗,15,11,6.92,5,0.17
2025-09-19,3,04,4,4978,山田和佐,18,38,6.92,4,0.18
2025-09-19,3,05,6,3478,嶋田貴支,68,41,7.0,6,0.22
2025-09-19,3,06,3,4253,西川真人,16,22,6.97,3,0.24
2025-09-19,4,01,1,3882,新田智彰,50,68,7.0,1,0.13
2025-09-19,4,02,3,4095,福来剛,67,30,6.92,3,0.13
2025-09-19,4,03,2,5214,田中宏典,36,48,6.93,2,0.15
2025-09-19,4,04,4,3811,石田章央,63,31,6.97,4,0.13
2025-09-19,4,05,5,3775,泉啓文,52,43,6.9,5,0.13
2025-09-19,4,06,6,5375,庄島潤成,35,65,6.91,6,0.13
2025-09-19,5,01,5,4762,藤原啓史朗,19,37,6.87,5,0.19
2025-09-19,5,02,1,4015,前野竜一,75,64,6.9,1,0.25
2025-09-19,5,03,4,4632,長尾京志郎,24,58,6.9,4,0.22
2025-09-19,5,04,3,2878,富山弘幸,25,26,6.89,3,0.29
2025-09-19,5,05,2,4511,中岡健人,70,53,6.98,2,0.27
2025-09-19,5,06,6,5348,小林甘寧,47,44,6.89,6,0.18
2025-09-19,6,01,1,3567,吉岡誠,53,77,6.89,1,0.18
2025-09-19,6,02,2,4737,竹井貴史,74,50,6.88,2,0.21
2025-09-19,6,03,3,4089,妹尾忠幸,22,18,6.9,3,0.17
2025-09-19,6,04,5,4572,渡部悟,71,16,6.98,5,0.23
2025-09-19,6,05,6,3807,岡部哲,40,49,6.92,6,0.26
2025-09-19,6,06,4,5337,出畑孝成,41,73,6.9,4,0.18
2025-09-19,7,01,5,4301,関裕也,34,51,6.93,5,0.11
2025-09-19,7,02,1,4171,榎幸司,17,67,6.93,1,0.17
2025-09-19,7,03,2,4308,河村了,56,72,6.9,2,0.17
2025-09-19,7,04,4,3568,木村光宏,13,59,6.93,4,0.13
2025-09-19,7,05,3,3507,藤井徹,51,45,6.95,3,0.17
2025-09-19,7,06,6,5395,日高龍之介,28,76,6.88,6,0.16
2025-09-19,8,01,1,4264,長尾章平,27,33,6.92,1,0.12
2025-09-19,8,02,3,4904,松本一毅,23,57,6.88,3,0.15
2025-09-19,8,03,2,4323,山田佑樹,31,74,6.92,2,0.18
2025-09-19,8,04,6,4241,大串重幸,33,55,6.95,6,0.17
2025-09-19,8,05,4,5063,大塚雅治,38,54,6.94,4,0.23
2025-09-19,8,06,5,4252,松下哲也,73,13,6.98,5,0.17
2025-09-19,9,01,4,4109,谷津幸宏,45,69,6.97,4,0.12
2025-09-19,9,02,6,4216,星栄爾,57,56,6.92,6,0.19
2025-09-19,9,03,1,3951,石川吉鎬,49,34,6.97,1,0.25
2025-09-19,9,04,5,3892,草場康幸,59,61,6.94,5,0.16
2025-09-19,9,05,2,3775,泉啓文,52,43,6.91,2,0.21
2025-09-19,9,06,3,4978,山田和佐,18,38,6.92,3,0.24
2025-09-19,10,01,2,2878,富山弘幸,25,26,6.9,2,0.09
2025-09-19,10,02,1,3811,石田章央,63,31,6.92,1,0.13
2025-09-19,10,03,4,4172,森定晃史,72,62,6.92,4,0.15
2025-09-19,10,04,5,5276,大島隆乃介,76,39,6.9,5,0.13
