motor,n,二連率,三連率,展示偏差,判定,暫定
41,75,52.0,70.7,-0.022,高●,
44,81,50.6,69.1,-0.016,高●,
37,74,47.3,64.9,-0.028,高●,
20,72,47.2,59.7,-0.021,高●,
45,80,46.2,68.8,-0.005,高●,
57,72,45.8,66.7,-0.029,高●,
16,80,45.0,60.0,-0.019,高●,
63,70,44.3,67.1,-0.023,高●,
38,76,43.4,64.5,-0.041,高●,
24,71,42.3,59.2,-0.022,高●,
65,81,42.0,55.6,-0.006,高●,
70,72,41.7,52.8,0.006,高●,
59,60,41.7,56.7,-0.013,高●,
17,73,41.1,64.4,-0.004,高●,
81,80,40.0,61.3,-0.003,,
29,78,39.7,55.1,-0.006,,
34,78,39.7,55.1,0.01,,
47,73,38.4,56.2,-0.021,,
13,66,37.9,53.0,-0.003,,
61,74,37.8,48.6,0.007,,
55,78,37.2,51.3,0.012,,
54,73,37.0,52.1,0.007,,
53,69,36.2,43.5,0.007,,
48,75,36.0,48.0,0.006,,
74,78,35.9,47.4,-0.003,,
19,81,35.8,58.0,-0.001,,
58,67,35.8,46.3,-0.016,,
23,79,35.4,54.4,0.001,,
52,78,34.6,48.7,0.01,,
31,64,34.4,48.4,-0.001,,
33,71,33.8,56.3,0.018,,
49,71,33.8,56.3,-0.002,,
43,71,33.8,50.7,0.009,,
56,75,33.3,64.0,-0.004,,
68,72,33.3,40.3,0.014,,
76,72,33.3,50.0,-0.0,,
28,68,32.4,48.5,0.029,,
26,71,32.4,49.3,-0.008,,
36,74,32.4,54.1,0.0,,
46,75,32.0,40.0,-0.019,,
62,79,31.6,53.2,-0.034,,
27,73,31.5,37.0,-0.005,,
73,74,31.1,39.2,-0.0,,
25,75,30.7,49.3,0.015,,
60,75,30.7,44.0,-0.002,,
78,73,30.1,47.9,0.012,,
14,80,30.0,57.5,0.01,,
40,75,29.3,45.3,0.016,,
12,79,29.1,44.3,-0.011,,
80,67,28.4,50.7,0.006,,
22,75,28.0,50.7,0.005,,
71,61,27.9,42.6,0.032,,
69,83,27.7,45.8,0.001,,
75,73,27.4,41.1,0.005,,
79,66,27.3,42.4,0.021,,
77,79,26.6,39.2,0.01,低▲,
39,69,26.1,44.9,-0.014,低▲,
32,66,25.8,42.4,-0.003,低▲,
66,71,25.4,45.1,0.008,低▲,
51,68,25.0,39.7,0.013,低▲,
72,67,23.9,41.8,0.009,低▲,
64,67,23.9,41.8,0.003,低▲,
50,67,22.4,34.3,0.03,低▲,
18,68,20.6,33.8,0.023,低▲,
30,69,20.3,34.8,-0.002,低▲,
21,68,19.1,36.8,0.02,低▲,
15,71,16.9,29.6,0.016,低▲,
67,66,16.7,37.9,0.007,低▲,
35,65,15.4,35.4,0.026,低▲,
11,68,14.7,30.9,0.008,低▲,
