motor,n,二連率,三連率,展示偏差,判定,暫定
11,167,53.3,68.9,-0.041,高●,
29,159,50.3,70.4,-0.015,高●,
34,170,47.1,62.9,-0.029,高●,
20,163,44.2,62.6,-0.018,高●,
62,157,43.3,58.6,-0.004,高●,
21,161,42.9,62.1,-0.031,高●,
74,176,41.5,58.0,0.005,高●,
43,162,41.4,66.0,-0.013,高●,
48,155,40.6,52.9,-0.03,高●,
63,165,40.0,50.9,-0.004,高●,
23,159,39.6,57.9,-0.031,高●,
38,172,39.5,52.3,-0.019,高●,
59,183,39.3,53.0,-0.011,高●,
13,161,38.5,53.4,-0.025,,
57,123,38.2,52.8,0.007,,
24,152,37.5,58.6,-0.013,,
65,163,37.4,59.5,-0.025,,
36,157,36.3,56.7,-0.013,,
58,146,36.3,54.8,0.005,,
22,161,36.0,56.5,-0.003,,
60,164,36.0,51.2,0.009,,
33,173,35.8,57.8,-0.009,,
64,163,35.6,53.4,0.013,,
32,163,35.6,52.8,0.003,,
45,105,35.2,45.7,0.012,,
46,167,34.7,55.1,-0.003,,
53,170,34.1,51.2,-0.001,,
17,156,34.0,48.1,0.013,,
30,159,32.7,50.3,0.002,,
70,108,32.4,50.9,0.001,,
72,111,32.4,46.8,0.02,,
39,141,31.9,44.7,0.018,,
25,161,31.7,57.1,-0.005,,
27,155,31.6,43.9,0.008,,
76,127,31.5,44.9,0.015,,
73,162,31.5,46.9,0.008,,
51,105,31.4,44.8,0.033,,
67,125,31.2,40.8,0.027,,
71,176,31.2,51.7,0.01,,
15,164,31.1,43.3,-0.0,,
44,161,30.4,47.2,-0.021,,
49,163,29.4,47.9,0.006,,
18,167,29.3,49.1,0.002,,
37,113,29.2,52.2,0.0,,
28,163,28.8,41.1,-0.005,,
52,121,28.1,38.0,0.01,,
69,174,27.6,48.3,0.021,,
66,156,27.6,41.0,0.014,,
19,106,27.4,45.3,0.012,,
14,151,27.2,40.4,0.005,,
40,178,27.0,47.2,-0.012,,
56,156,26.9,41.0,0.016,低▲,
68,97,26.8,36.1,0.008,低▲,
47,180,26.7,45.0,-0.001,低▲,
16,142,26.1,52.1,0.002,低▲,
50,173,25.4,43.4,-0.001,低▲,
26,162,25.3,37.0,0.013,低▲,
35,153,24.8,41.2,0.018,低▲,
41,168,24.4,36.3,0.01,低▲,
55,106,23.6,41.5,0.014,低▲,
75,99,23.2,41.4,0.025,低▲,
54,83,22.9,28.9,0.032,低▲,
12,139,20.9,33.1,0.024,低▲,
31,101,18.8,43.6,0.018,低▲,
61,69,11.6,27.5,0.031,低▲,
