date,race,rname,fixed,day_n,title,wdir,wspd,wave,kimarite,combo,payout,ninki,win_boat,win_course,g1,exp,inwin,resid
2025-09-19,1,予選,0,1,サンケイスポーツ杯,西,2,1,逃げ,1-2-3,750,1,1,1,B1,0.514,1,0.486
2025-09-19,2,予選,0,1,サンケイスポーツ杯,西,2,1,逃げ,1-2-3,670,1,1,1,B1,0.5615,1,0.4385
2025-09-19,3,予選,0,1,サンケイスポーツ杯,西,1,1,逃げ,1-2-5,670,1,1,1,B1,0.4456,1,0.5544
2025-09-19,4,予選,0,1,サンケイスポーツ杯,西,1,1,逃げ,1-3-2,820,2,1,1,B1,0.5015,1,0.4985
2025-09-19,5,予選,0,1,サンケイスポーツ杯,西,1,1,まくり差し,5-1-4,2850,12,5,5,A2,0.5868,0,-0.5868
2025-09-19,6,予選,0,1,サンケイスポーツ杯,西,1,1,逃げ,1-2-3,1040,4,1,1,B1,0.4269,1,0.5731
2025-09-19,7,予選,1,1,サンケイスポーツ杯,南西,1,1,まくり差し,5-1-2,18300,23,5,5,A1,0.6634,0,-0.6634
2025-09-19,8,予選,0,1,サンケイスポーツ杯,南西,1,1,逃げ,1-3-2,680,2,1,1,A1,0.6473,1,0.3527
2025-09-19,9,予選特賞,0,1,サンケイスポーツ杯,東,1,1,まくり,4-6-1,4460,17,4,4,A2,0.4574,0,-0.4574
2025-09-19,10,予選特賞,0,1,サンケイスポーツ杯,東,1,1,差し,2-1-4,4940,17,2,2,A2,0.6326,0,-0.6326
2025-09-19,11,予選特選,0,1,サンケイスポーツ杯,東,1,1,逃げ,1-3-2,830,4,1,1,A1,0.6533,1,0.3467
2025-09-19,12,発祥地選抜,0,1,サンケイスポーツ杯,南東,1,1,逃げ,1-5-3,2230,11,1,1,A1,0.7259,1,0.2741
2025-09-20,1,予選,0,2,サンケイスポーツ杯,南西,3,2,差し,2-5-3,73350,86,2,2,B1,0.5113,0,-0.5113
2025-09-20,2,予選,0,2,サンケイスポーツ杯,南西,4,3,逃げ,1-3-4,3910,16,1,1,B1,0.555,1,0.445
2025-09-20,3,予選,0,2,サンケイスポーツ杯,南西,3,2,逃げ,1-5-3,1250,2,1,1,B1,0.5897,1,0.4103
2025-09-20,4,予選,0,2,サンケイスポーツ杯,南西,3,2,逃げ,1-2-6,3730,11,1,1,A2,0.6725,1,0.3275
2025-09-20,5,予選,0,2,サンケイスポーツ杯,南西,1,1,逃げ,1-2-4,2280,7,1,1,A2,0.475,1,0.525
2025-09-20,6,予選,0,2,サンケイスポーツ杯,南,1,1,逃げ,1-5-4,8260,27,1,1,B2,0.4581,1,0.5419
2025-09-20,7,予選,1,2,サンケイスポーツ杯,南,2,1,逃げ,1-2-5,530,1,1,1,A1,0.6439,1,0.3561
2025-09-20,8,予選,0,2,サンケイスポーツ杯,南,2,1,逃げ,1-4-3,1060,3,1,1,B1,0.4683,1,0.5317
2025-09-20,9,予選特賞,0,2,サンケイスポーツ杯,北,4,3,逃げ,1-2-3,1180,3,1,1,B1,0.5016,1,0.4984
2025-09-20,10,予選特賞,0,2,サンケイスポーツ杯,北西,2,1,逃げ,1-3-5,1390,5,1,1,A2,0.5567,1,0.4433
2025-09-20,11,予選特選,0,2,サンケイスポーツ杯,北西,2,1,逃げ,1-3-4,1420,6,1,1,A1,0.5405,1,0.4595
2025-09-20,12,予選特選,0,2,サンケイスポーツ杯,北西,2,1,逃げ,1-3-4,830,2,1,1,A1,0.7296,1,0.2704
2025-09-21,1,予選,0,3,サンケイスポーツ杯,北,4,3,逃げ,1-5-2,1910,7,1,1,B1,0.4599,1,0.5401
2025-09-21,2,予選,0,3,サンケイスポーツ杯,北,4,3,逃げ,1-3-2,1450,3,1,1,B1,0.4408,1,0.5592
2025-09-21,3,予選,0,3,サンケイスポーツ杯,北,4,3,逃げ,1-3-5,1280,5,1,1,B1,0.4245,1,0.5755
2025-09-21,4,予選,0,3,サンケイスポーツ杯,北,4,3,逃げ,1-5-3,20650,41,1,1,B1,0.4323,1,0.5677
2025-09-21,5,予選,0,3,サンケイスポーツ杯,北,4,3,まくり差し,3-1-4,2280,6,3,3,B1,0.5015,0,-0.5015
2025-09-21,6,予選,0,3,サンケイスポーツ杯,北,4,3,差し,4-6-2,3620,15,4,4,B1,0.5674,0,-0.5674
2025-09-21,7,予選,1,3,サンケイスポーツ杯,北,4,3,逃げ,1-4-3,3130,10,1,1,A2,0.5346,1,0.4654
2025-09-21,8,予選,0,3,サンケイスポーツ杯,北,3,2,逃げ,1-3-2,510,1,1,1,A2,0.5931,1,0.4069
2025-09-21,9,予選特賞,0,3,サンケイスポーツ杯,北,2,1,抜き,1-6-3,1690,7,1,1,A2,0.7046,1,0.2954
2025-09-21,10,予選特賞,0,3,サンケイスポーツ杯,北,2,1,逃げ,1-3-2,540,1,1,1,A2,0.565,1,0.435
2025-09-21,11,予選特選,0,3,サンケイスポーツ杯,東,1,1,逃げ,1-2-6,1430,6,1,1,A1,0.6634,1,0.3366
2025-09-21,12,予選特選,0,3,サンケイスポーツ杯,北西,1,1,逃げ,1-3-4,590,3,1,1,A1,0.6799,1,0.3201
2025-09-22,1,予選,0,4,サンケイスポーツ杯,,0,1,差し,4-6-2,8140,34,4,4,B1,0.3633,0,-0.3633
2025-09-22,2,予選,0,4,サンケイスポーツ杯,西,1,1,まくり差し,4-5-6,26390,71,4,4,B1,0.4354,0,-0.4354
2025-09-22,3,予選,0,4,サンケイスポーツ杯,北,3,2,差し,2-1-3,3670,21,2,2,B1,0.4239,0,-0.4239
2025-09-22,4,予選,0,4,サンケイスポーツ杯,北,1,1,逃げ,1-5-2,2080,7,1,1,B1,0.3974,1,0.6026
2025-09-22,5,予選,0,4,サンケイスポーツ杯,北東,1,1,逃げ,1-4-6,980,5,1,1,A1,0.6634,1,0.3366
2025-09-22,6,予選,0,4,サンケイスポーツ杯,,0,1,まくり,3-4-1,40690,41,3,4,A1,0.7384,0,-0.7384
2025-09-22,7,予選,1,4,サンケイスポーツ杯,,0,1,逃げ,1-4-2,510,2,1,1,A2,0.6807,1,0.3193
2025-09-22,8,予選,0,4,サンケイスポーツ杯,南,1,1,逃げ,1-3-2,1170,3,1,1,B1,0.573,1,0.427
2025-09-22,9,予選特賞,0,4,サンケイスポーツ杯,南,1,1,まくり差し,3-1-4,3320,11,3,3,A2,0.6578,0,-0.6578
2025-09-22,10,予選特選,0,4,サンケイスポーツ杯,北東,1,1,まくり差し,3-2-6,47550,56,3,3,A1,0.6634,0,-0.6634
2025-09-22,11,予選特選,0,4,サンケイスポーツ杯,,0,1,逃げ,1-5-2,3840,13,1,1,A1,0.6473,1,0.3527
2025-09-22,12,一般特賞,0,4,サンケイスポーツ杯,南東,1,1,逃げ,1-4-3,970,2,1,1,A2,0.6194,1,0.3806
2025-09-23,1,一般,0,5,サンケイスポーツ杯,北西,1,1,逃げ,1-3-5,2680,4,1,1,B1,0.4269,1,0.5731
2025-09-23,2,一般,0,5,サンケイスポーツ杯,北西,2,1,逃げ,1-2-4,3280,12,1,1,B1,0.4683,1,0.5317
2025-09-23,3,一般,0,5,サンケイスポーツ杯,北西,1,1,逃げ,1-2-6,3960,13,1,1,A2,0.5725,1,0.4275
2025-09-23,4,一般,0,5,サンケイスポーツ杯,南西,2,1,抜き,1-3-4,910,3,1,1,A2,0.6807,1,0.3193
2025-09-23,5,一般,0,5,サンケイスポーツ杯,南西,1,1,抜き,6-2-5,12180,29,6,5,A1,0.6582,0,-0.6582
2025-09-23,6,一般,0,5,サンケイスポーツ杯,西,1,1,抜き,1-3-4,1310,3,1,1,A2,0.5567,1,0.4433
2025-09-23,7,一般,1,5,サンケイスポーツ杯,西,1,1,逃げ,1-3-5,1860,7,1,1,A2,0.5931,1,0.4069
2025-09-23,8,一般,0,5,サンケイスポーツ杯,南,1,1,逃げ,1-3-4,1070,4,1,1,B1,0.4323,1,0.5677
2025-09-23,9,準優勝戦,0,5,サンケイスポーツ杯,南東,1,1,逃げ,1-2-4,1030,5,1,1,A1,0.5405,1,0.4595
2025-09-23,10,準優勝戦,0,5,サンケイスポーツ杯,南西,1,1,逃げ,1-2-3,580,1,1,1,A1,0.6799,1,0.3201
2025-09-23,11,準優勝戦,0,5,サンケイスポーツ杯,南西,2,1,逃げ,1-2-3,730,3,1,1,A1,0.7259,1,0.2741
2025-09-23,12,一般,0,5,サンケイスポーツ杯,南西,2,1,逃げ,1-6-4,1140,3,1,1,A2,0.475,1,0.525
2025-09-24,1,一般,0,6,サンケイスポーツ杯,南,1,1,まくり,4-1-6,17220,40,4,4,B1,0.4615,0,-0.4615
2025-09-24,2,一般,0,6,サンケイスポーツ杯,南,2,1,逃げ,1-6-4,12270,31,1,1,B1,0.5897,1,0.4103
2025-09-24,3,一般,0,6,サンケイスポーツ杯,南西,1,1,まくり差し,5-2-1,12680,31,5,5,B1,0.5704,0,-0.5704
2025-09-24,4,一般,0,6,サンケイスポーツ杯,西,1,1,逃げ,1-4-3,930,3,1,1,A2,0.5931,1,0.4069
2025-09-24,5,一般,0,6,サンケイスポーツ杯,,0,1,逃げ,1-4-2,1970,9,1,1,A2,0.7046,1,0.2954
2025-09-24,6,一般,0,6,サンケイスポーツ杯,南,2,1,逃げ,1-4-3,1080,3,1,1,A1,0.6439,1,0.3561
2025-09-24,7,一般,1,6,サンケイスポーツ杯,南東,1,1,逃げ,1-3-4,480,1,1,1,A1,0.7296,1,0.2704
2025-09-24,8,一般,0,6,サンケイスポーツ杯,東,3,2,逃げ,1-2-3,1830,9,1,1,A1,0.6509,1,0.3491
2025-09-24,9,一般特選,0,6,サンケイスポーツ杯,東,1,1,差し,2-4-1,48070,51,2,2,A2,0.5512,0,-0.5512
2025-09-24,10,特別選抜戦,0,6,サンケイスポーツ杯,東,1,1,逃げ,1-6-2,2380,9,1,1,A2,0.6725,1,0.3275
2025-09-24,11,特別選抜戦,0,6,サンケイスポーツ杯,東,1,1,まくり差し,3-1-2,4810,15,3,3,A2,0.6995,0,-0.6995
2025-09-24,12,優勝戦,0,6,サンケイスポーツ杯,東,2,1,逃げ,1-6-5,8760,22,1,1,A1,0.7259,1,0.2741
2025-09-27,1,予選,0,1,オールレディース競走,北西,1,1,まくり,3-4-6,2210,2,3,3,B1,0.478,0,-0.478
2025-09-27,2,予選,0,1,オールレディース競走,,0,1,逃げ,1-3-4,13660,40,1,1,B1,0.4925,1,0.5075
2025-09-27,3,予選,0,1,オールレディース競走,,0,1,まくり,3-5-2,12940,40,3,3,B2,0.4508,0,-0.4508
2025-09-27,4,予選,0,1,オールレディース競走,,0,1,まくり差し,5-1-2,1260,3,5,5,B1,0.5732,0,-0.5732
2025-09-27,5,予選,0,1,オールレディース競走,南東,1,1,抜き,4-3-1,37620,81,4,4,B1,0.2905,0,-0.2905
2025-09-27,6,予選,0,1,オールレディース競走,,0,1,まくり,3-5-6,4790,17,3,3,B1,0.4328,0,-0.4328
2025-09-27,7,予選,1,1,オールレディース競走,南東,1,1,まくり差し,4-1-6,5470,20,4,4,A2,0.5726,0,-0.5726
2025-09-27,8,予選,0,1,オールレディース競走,東,1,1,まくり,3-1-5,4250,19,3,3,B1,0.4615,0,-0.4615
2025-09-27,9,予選,0,1,オールレディース競走,,0,1,逃げ,1-2-6,1070,4,1,1,A2,0.573,1,0.427
2025-09-27,10,予選特賞,0,1,オールレディース競走,,0,1,逃げ,1-3-4,530,1,1,1,A2,0.6893,1,0.3107
2025-09-27,11,予選特選,0,1,オールレディース競走,南東,1,1,逃げ,1-2-5,3110,11,1,1,A1,0.7599,1,0.2401
2025-09-27,12,発祥地ドリー,0,1,オールレディース競走,南東,1,1,差し,2-1-3,5030,20,2,2,A1,0.6753,0,-0.6753
2025-09-28,1,予選,0,2,オールレディース競走,南東,3,2,差し,2-4-1,6820,19,2,2,B1,0.4896,0,-0.4896
2025-09-28,2,予選,0,2,オールレディース競走,南西,2,1,逃げ,1-4-6,1400,4,1,1,B1,0.6415,1,0.3585
2025-09-28,3,予選,0,2,オールレディース競走,南西,3,2,まくり,2-3-5,620,1,2,2,B2,0.3534,0,-0.3534
2025-09-28,4,予選,0,2,オールレディース競走,西,3,2,まくり,2-4-1,1790,5,2,2,B1,0.3766,0,-0.3766
2025-09-28,5,予選,0,2,オールレディース競走,西,3,2,逃げ,1-2-5,1120,1,1,1,B1,0.662,1,0.338
2025-09-28,6,予選,0,2,オールレディース競走,北西,2,1,まくり差し,3-1-6,850,3,3,3,B1,0.3557,0,-0.3557
2025-09-28,7,予選,1,2,オールレディース競走,北西,2,1,逃げ,1-2-3,480,1,1,1,A2,0.6179,1,0.3821
2025-09-28,8,予選,0,2,オールレディース競走,南西,1,1,まくり差し,3-4-1,30090,64,3,3,A2,0.5959,0,-0.5959
2025-09-28,9,予選,0,2,オールレディース競走,南西,2,1,まくり差し,3-4-2,9380,26,3,3,A2,0.6533,0,-0.6533
2025-09-28,10,予選特賞,0,2,オールレディース競走,南西,1,1,逃げ,1-4-5,1140,4,1,1,A1,0.6984,1,0.3016
2025-09-28,11,予選特選,0,2,オールレディース競走,南東,1,1,逃げ,1-5-3,5520,18,1,1,A1,0.7343,1,0.2657
