date,race,rname,fixed,day_n,title,weather,wdir,wspd,wave,kimarite,combo,payout,ninki,nitan,nitan_pay,nitan_ninki,tansho_pay,c1_regno,c1_rank,win_boat,win_course,n_fins
2025-09-19,1,予選,0,1,サンケイスポーツ杯,晴,西,2,1,逃げ,1-2-3,750,1,1-2,410,2,130,5063,01,1,1,6
2025-09-19,2,予選,0,1,サンケイスポーツ杯,晴,西,2,1,逃げ,1-2-3,670,1,1-2,500,2,160,3892,01,1,1,6
2025-09-19,3,予選,0,1,サンケイスポーツ杯,晴,西,1,1,逃げ,1-2-5,670,1,1-2,440,2,120,4904,01,1,1,6
2025-09-19,4,予選,0,1,サンケイスポーツ杯,晴,西,1,1,逃げ,1-3-2,820,2,1-3,370,1,170,3882,01,1,1,6
2025-09-19,5,予選,0,1,サンケイスポーツ杯,晴,西,1,1,まくり差し,5-1-4,2850,12,5-1,630,3,150,4015,02,5,5,6
2025-09-19,6,予選,0,1,サンケイスポーツ杯,晴,西,1,1,逃げ,1-2-3,1040,4,1-2,370,1,300,3567,01,1,1,6
2025-09-19,7,予選,1,1,サンケイスポーツ杯,晴,南西,1,1,まくり差し,5-1-2,18300,23,5-1,5860,6,1400,4171,02,5,5,6
2025-09-19,8,予選,0,1,サンケイスポーツ杯,晴,南西,1,1,逃げ,1-3-2,680,2,1-3,200,1,100,4264,01,1,1,6
2025-09-19,9,予選特賞,0,1,サンケイスポーツ杯,晴,東,1,1,まくり,4-6-1,4460,17,4-6,1560,6,330,3951,03,4,4,6
2025-09-19,10,予選特賞,0,1,サンケイスポーツ杯,晴,東,1,1,差し,2-1-4,4940,17,2-1,1530,6,420,3811,02,2,2,6
2025-09-19,11,予選特選,0,1,サンケイスポーツ杯,晴,東,1,1,逃げ,1-3-2,830,4,1-3,230,1,100,4434,01,1,1,6
2025-09-19,12,発祥地選抜,0,1,サンケイスポーツ杯,晴,南東,1,1,逃げ,1-5-3,2230,11,1-5,700,4,120,4762,01,1,1,6
2025-09-20,1,予選,0,2,サンケイスポーツ杯,雨,南西,3,2,差し,2-5-3,73350,86,2-5,9710,21,600,5035,06,2,2,6
2025-09-20,2,予選,0,2,サンケイスポーツ杯,雨,南西,4,3,逃げ,1-3-4,3910,16,1-3,490,1,180,4572,01,1,1,6
2025-09-20,3,予選,0,2,サンケイスポーツ杯,曇り,南西,3,2,逃げ,1-5-3,1250,2,1-5,780,3,260,3478,01,1,1,6
2025-09-20,4,予選,0,2,サンケイスポーツ杯,雨,南西,3,2,逃げ,1-2-6,3730,11,1-2,280,1,130,4089,01,1,1,6
2025-09-20,5,予選,0,2,サンケイスポーツ杯,雨,南西,1,1,逃げ,1-2-4,2280,7,1-2,580,2,100,4154,01,1,1,6
2025-09-20,6,予選,0,2,サンケイスポーツ杯,雨,南,1,1,逃げ,1-5-4,8260,27,1-5,2500,10,540,4511,01,1,1,6
2025-09-20,7,予選,1,2,サンケイスポーツ杯,雨,南,2,1,逃げ,1-2-5,530,1,1-2,200,1,110,4109,01,1,1,6
