regno,選手名,n34,まくり系1着,率,絞りまくり,暫定
4715,村上遼,18,4,0.222,●,暫定
5055,眞鳥章太,26,4,0.154,●,
4004,山本浩輔,15,2,0.133,,暫定
4948,木場悠介,15,2,0.133,,暫定
3777,樋口亮,16,2,0.125,,暫定
4096,石橋道友,19,2,0.105,,暫定
4553,坪口竜也,24,2,0.083,,
4248,岡本大,16,1,0.062,,暫定
5129,山口真喜子,16,1,0.062,,暫定
4352,下條雄太郎,17,1,0.059,,暫定
4259,真庭明志,25,1,0.04,,
4171,榎幸司,28,1,0.036,,
4089,妹尾忠幸,15,0,0.0,,暫定
4241,大串重幸,19,0,0.0,,暫定
5250,嶋田有里,23,0,0.0,,
4695,尾崎雄二,18,0,0.0,,暫定
3944,山口裕二,15,0,0.0,,暫定
3527,中嶋誠一郎,17,0,0.0,,暫定
3906,飯山晃三,15,0,0.0,,暫定
4174,赤坂俊輔,25,0,0.0,,
