regno,選手名,全国スローn,全国スローST,当地スローn,当地スローST,採用スローST,スロー源,スロー遅れ,スロー巧者,全国ダッシュn,全国ダッシュST,当地ダッシュn,当地ダッシュST,採用ダッシュST,ダッシュ源,ダッシュ遅れ,ダッシュ巧者
2538,高橋二朗,104,0.213,5,0.24,0.213,全国,●,,87,0.21,4,0.185,0.21,全国,●,
2878,富山弘幸,112,0.168,7,0.191,0.168,全国,,,93,0.18,3,0.17,0.18,全国,,
3024,西島義則,157,0.169,11,0.135,0.135,当地,,,3,0.137,0,,0.137,全国,,
3054,北川幸典,78,0.178,5,0.194,0.178,全国,,,73,0.195,4,0.235,0.195,全国,●,
3070,山室展弘,78,0.164,0,,0.164,全国,,,22,0.133,0,,0.133,全国,,
3072,西田靖,185,0.166,0,,0.166,全国,,,1,0.18,0,,0.18,全国,,
3075,中村裕将,104,0.132,0,,0.132,全国,,,94,0.126,0,,0.126,全国,,●
3081,岡本慎治,43,0.17,0,,0.17,全国,,,46,0.185,0,,0.185,全国,●,
3105,内山文典,101,0.172,0,,0.172,全国,,,92,0.164,0,,0.164,全国,,
3107,平岡重典,71,0.178,0,,0.178,全国,,,66,0.177,0,,0.177,全国,,
3156,金子良昭,112,0.17,0,,0.17,全国,,,59,0.183,0,,0.183,全国,●,
3158,島川光男,123,0.146,0,,0.146,全国,,,112,0.141,0,,0.141,全国,,
3159,江口晃生,148,0.151,0,,0.151,全国,,,0,,0,,,,,
3161,古場輝義,123,0.188,5,0.176,0.188,全国,●,,68,0.171,3,0.197,0.171,全国,,
3175,渡辺千草,93,0.156,9,0.149,0.156,全国,,,96,0.158,9,0.147,0.158,全国,,
3176,長谷川巌,43,0.182,0,,0.182,全国,●,,39,0.215,0,,0.215,全国,●,
3202,三品隆浩,108,0.183,0,,0.183,全国,●,,94,0.216,0,,0.216,全国,●,
3207,田村美和,72,0.203,7,0.18,0.203,全国,●,,68,0.162,7,0.174,0.162,全国,,
3211,北川敏弘,93,0.175,4,0.123,0.175,全国,,,94,0.165,10,0.145,0.145,当地,,
3212,亀本勇樹,116,0.173,3,0.183,0.173,全国,,,79,0.152,4,0.197,0.152,全国,,
3224,栗山繁洋,98,0.191,4,0.22,0.191,全国,●,,90,0.19,4,0.195,0.19,全国,●,
3226,浦田信義,101,0.18,7,0.153,0.18,全国,,,90,0.184,5,0.13,0.184,全国,●,
3232,山川美由紀,91,0.15,0,,0.15,全国,,,82,0.161,0,,0.161,全国,,
3233,小畑実成,96,0.157,0,,0.157,全国,,,94,0.172,0,,0.172,全国,,
3246,星野政彦,36,0.178,0,,0.178,全国,,,28,0.149,0,,0.149,全国,,
3251,平石和男,156,0.183,3,0.183,0.183,全国,●,,129,0.199,3,0.11,0.199,全国,●,
3256,三角哲男,136,0.136,4,0.203,0.136,全国,,,110,0.158,3,0.113,0.158,全国,,
3257,田頭実,185,0.136,0,,0.136,全国,,,4,0.168,0,,0.168,全国,,
3265,今村暢孝,186,0.141,21,0.119,0.119,当地,,●,0,,0,,,,,
3268,森竜也,136,0.155,0,,0.155,全国,,,83,0.174,0,,0.174,全国,,
3277,齋藤勇,110,0.172,5,0.132,0.172,全国,,,93,0.183,5,0.152,0.183,全国,●,
3282,池本輝明,114,0.175,12,0.178,0.178,当地,,,101,0.214,14,0.231,0.231,当地,●,
3284,渡邊伸太郎,110,0.175,16,0.158,0.158,当地,,,89,0.225,11,0.224,0.224,当地,●,
3286,坂東満,72,0.152,0,,0.152,全国,,,66,0.185,0,,0.185,全国,●,
3289,高橋淳美,55,0.177,3,0.197,0.177,全国,,,47,0.196,3,0.187,0.196,全国,●,
3293,宮内由紀英,91,0.186,0,,0.186,全国,●,,90,0.197,0,,0.197,全国,●,
