regno,選手名,n2,nige,exp,壁力,負けn,自分勝ち率,まくり決着率,壁,弱タイプ
3952,中澤和志,43,0.3256,0.5966,-27.1,29,0.414,0.552,壁弱●,素通し型
4561,藤山翔大,44,0.3409,0.5866,-24.6,29,0.31,0.552,壁弱●,素通し型
5170,佐藤太亮,41,0.3171,0.5472,-23.0,28,0.107,0.821,壁弱●,素通し型
4832,権藤俊光,43,0.3721,0.6,-22.8,27,0.519,0.519,壁弱●,食う型
5267,石本裕武,51,0.3725,0.593,-22.0,32,0.625,0.344,壁弱●,食う型
4388,是澤孝宏,47,0.383,0.6017,-21.9,29,0.276,0.586,壁弱●,素通し型
4500,山田康二,46,0.4348,0.6478,-21.3,26,0.5,0.538,壁弱●,食う型
4686,丸野一樹,43,0.4419,0.6461,-20.4,24,0.375,0.708,壁弱●,素通し型
3024,西島義則,73,0.3562,0.5589,-20.3,47,0.383,0.638,壁弱●,素通し型
4544,松田大志郎,43,0.4186,0.6126,-19.4,25,0.56,0.48,壁弱●,食う型
4369,丹下将,40,0.35,0.543,-19.3,26,0.231,0.538,壁弱●,素通し型
4083,福島勇樹,45,0.4,0.5889,-18.9,27,0.556,0.481,壁弱●,食う型
4441,末永由楽,42,0.4048,0.5941,-18.9,25,0.4,0.56,壁弱●,素通し型
4786,佐藤博亮,49,0.3878,0.5739,-18.6,30,0.6,0.4,壁弱●,食う型
4983,前田篤哉,50,0.4,0.5812,-18.1,30,0.533,0.367,壁弱●,食う型
3849,中岡正彦,51,0.3922,0.5698,-17.8,31,0.516,0.774,壁弱●,食う型
3257,田頭実,133,0.3684,0.545,-17.7,84,0.44,0.714,壁弱●,素通し型
4102,益田啓司,43,0.4186,0.5955,-17.7,25,0.64,0.48,壁弱●,食う型
5136,濱野斗馬,50,0.42,0.5934,-17.3,29,0.345,0.586,壁弱●,素通し型
4836,大谷健太,41,0.3659,0.5376,-17.2,26,0.346,0.577,壁弱●,素通し型
4370,山口達也,42,0.4286,0.5999,-17.1,24,0.5,0.542,壁弱●,食う型
