regno,選手名,全国外n,全国外3着率,当地外n,当地外3着率,採用外3着率,外3着源,n1c,負け,残し率,残し有効,型,n6,6コ2着率,6コ3着率,6残し有効,艇番5乗艇,艇番5_3連対率,艇番6乗艇,艇番6_3連対率,6ヒモ外し候補,艇番5低率
2538,高橋二朗,87,0.069,4,0.0,0.069,全国,24,22,0.136,,,25,0.0,0.04,,30,0.167,23,0.087,●,●
2878,富山弘幸,93,0.172,3,0.333,0.172,全国,39,24,0.292,,,17,0.176,0.059,,36,0.472,30,0.3,,
3024,西島義則,3,0.0,0,,0.0,全国,78,42,0.31,●,飛ぶ型,1,0.0,0.0,,21,0.571,31,0.71,,
3054,北川幸典,75,0.24,4,0.0,0.24,全国,23,14,0.357,,,27,0.037,0.111,,21,0.476,31,0.194,●,
3070,山室展弘,22,0.227,0,,0.227,全国,18,8,0.5,,,1,0.0,0.0,,19,0.526,11,0.364,,
3072,西田靖,1,1.0,0,,1.0,全国,43,30,0.267,●,飛ぶ型,,,,,32,0.375,24,0.417,,
3075,中村裕将,94,0.138,0,,0.138,全国,31,22,0.182,,,26,0.038,0.115,,31,0.323,27,0.259,,
3081,岡本慎治,46,0.109,0,,0.109,全国,14,10,0.2,,,19,0.0,0.105,,16,0.188,18,0.167,●,●
3105,内山文典,92,0.25,0,,0.25,全国,32,18,0.444,,,33,0.0,0.242,,32,0.406,32,0.281,,
3107,平岡重典,66,0.136,0,,0.136,全国,21,16,0.125,,,16,0.0,0.25,,26,0.154,16,0.188,●,●
3156,金子良昭,60,0.133,0,,0.133,全国,28,24,0.458,,,15,0.0,0.133,,27,0.185,28,0.107,●,●
3158,島川光男,112,0.196,0,,0.196,全国,52,19,0.526,,,34,0.088,0.147,,32,0.406,37,0.297,,
3159,江口晃生,0,,0,,,,50,22,0.591,●,残す型,,,,,20,0.8,19,0.579,,
3161,古場輝義,68,0.25,3,0.0,0.25,全国,35,28,0.393,,,,,,,33,0.485,25,0.48,,
3175,渡辺千草,96,0.156,9,0.111,0.156,全国,26,24,0.333,,,24,0.042,0.083,,35,0.257,27,0.111,●,
3176,長谷川巌,39,0.154,0,,0.154,全国,14,11,0.364,,,16,0.0,0.062,,11,0.364,18,0.056,●,
3202,三品隆浩,94,0.085,0,,0.085,全国,35,26,0.308,,,31,0.097,0.097,,34,0.206,30,0.233,●,●
3207,田村美和,68,0.074,7,0.143,0.074,全国,24,21,0.19,,,21,0.0,0.048,,22,0.136,18,0.056,●,●
3211,北川敏弘,94,0.096,10,0.1,0.096,全国,30,23,0.348,,,28,0.036,0.071,,28,0.107,30,0.167,●,●
3212,亀本勇樹,79,0.165,4,0.0,0.165,全国,32,22,0.273,,,13,0.077,0.077,,29,0.241,32,0.281,,●
3224,栗山繁洋,91,0.132,4,0.25,0.132,全国,25,17,0.353,,,20,0.0,0.05,,33,0.212,23,0.13,●,●
3226,浦田信義,90,0.167,5,0.0,0.167,全国,35,22,0.409,,,26,0.077,0.077,,34,0.382,27,0.222,●,
3232,山川美由紀,82,0.293,0,,0.293,全国,36,14,0.357,,,26,0.038,0.385,,29,0.241,27,0.481,,●
