登番,選手名,級別,支部,年齢,期,全国勝率,出走(13か月),攻め,ST,型,メモ,攻め手5,カド消し,まくり屋,壁(2号艇),差し巧者,まくり系ゼロ,4走,4まくり系1着率,5走,5まくり系1着率,6走,6まくり系1着率,4まくり力,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ,平均ST,F本数,L本数,F前ST,F後ST,F後ST変化,F後の走数,F慣れ候補
3557,太田和美,A1,大阪,53,69,6.23,323,,,,,○,,,壁強●,,,60,8.3,60,13.3,49,0.0,-1.9,74,43,7,12,9,2,1,0.14,0,0,0.14,,,0,
5018,竹下大樹,A1,福岡,27,121,6.87,316,,,,,○,○,,,,,54,5.6,59,6.8,36,2.8,-5.8,88,57,9,7,10,5,0,0.15,0,0,0.15,,,0,
5034,若林義人,A1,静岡,28,122,6.44,315,,,,,,,,,,,50,18.0,48,2.1,43,4.7,5.6,98,52,4,18,16,7,1,0.13,0,0,0.13,,,0,
4199,北川潤二,A1,愛知,44,91,6.29,311,,,,,,,,,,,73,9.6,7,14.3,0,,-0.9,82,50,10,17,4,1,0,0.15,0,0,0.15,,,0,
4324,海野康志,A1,山口,38,95,7.17,309,,,,,○,,,,●,,51,7.8,47,14.9,18,11.1,-3.9,110,61,16,7,21,5,0,0.13,0,0,0.13,,,0,
4856,豊田健士,A1,三重,30,115,7.23,309,,,,,○,,,,,,53,17.0,57,8.8,49,4.1,3.2,88,43,7,18,13,6,1,0.14,0,0,0.14,,,0,
3554,仲口博崇,A1,愛知,54,69,6.54,308,,,,,,,,,,,73,11.0,26,0.0,4,0.0,-1.6,80,48,8,5,11,8,0,0.18,0,0,0.18,,,0,
4743,木村仁紀,A1,滋賀,33,111,6.33,307,,,,,,,,,,,57,10.5,50,4.0,46,0.0,-0.2,69,40,7,8,11,2,1,0.14,0,0,0.14,,,0,
5088,高憧四季,A1,大阪,26,124,6.59,306,,,,,○,,,壁弱●,,,54,7.4,51,17.6,47,10.6,-2.6,109,52,8,31,10,6,2,0.15,1,0,0.15,0.16,+0.01,24,
3997,北村征嗣,A1,大阪,47,83,6.02,305,,,,,○,○,,,,,53,5.7,58,5.2,33,0.0,-5.7,78,47,11,10,9,1,0,0.16,0,0,0.16,,,0,
4760,山崎郡,A1,大阪,36,112,7.63,302,,,,,○,,○,,,,55,21.8,59,13.6,40,0.0,7.0,98,56,10,13,15,3,1,0.14,0,0,0.14,,,0,
4512,高野哲史,A1,兵庫,37,102,6.83,301,,,,,○,,,,●,,55,12.7,57,10.5,43,0.0,-0.2,98,57,10,18,7,5,1,0.15,0,0,0.15,,,0,
5136,濱野斗馬,A1,香川,26,126,6.13,300,,,,,,,,壁弱●,,,47,12.8,47,4.3,46,0.0,2.7,68,40,7,11,7,3,0,0.15,0,0,0.15,,,0,
4084,杉山正樹,A1,愛知,46,87,6.46,300,,,,,○,,,,,,44,13.6,53,7.5,48,4.2,2.2,68,41,8,9,6,3,1,0.15,0,0,0.15,,,0,
5257,西丸侑太,A1,香川,22,130,6.37,298,,,,,○,,,,,,48,14.6,57,10.5,41,0.0,2.9,74,37,9,11,12,4,1,0.15,0,0,0.15,,,0,
4704,河野大,A1,徳島,38,110,6.42,298,,,,,,,○,,,,51,25.5,40,0.0,49,2.0,12.6,78,39,8,19,7,5,0,0.13,0,0,0.13,,,0,
5191,飛田江己,A1,埼玉,25,128,7.23,297,,,,,○,,,,,,57,15.8,52,15.4,46,6.5,2.3,92,44,4,27,10,4,3,0.12,1,0,0.12,0.13,+0.01,28,
4471,新田泰章,A1,広島,39,101,6.36,297,,,,,,○,,,,,53,7.5,49,2.0,45,6.7,-4.2,90,56,7,16,3,8,0,0.15,0,0,0.15,,,0,
3489,大場敏,A2,静岡,59,67,6.02,295,,,,,○,○,,,,,67,3.0,38,5.3,44,0.0,-5.1,54,34,7,6,4,3,0,0.15,0,0,0.15,,,0,
4055,吉田俊彦,A2,兵庫,48,86,6.80,295,,,,,,○,,,●,,61,4.9,58,1.7,27,7.4,-4.7,71,35,16,7,8,4,1,0.16,0,0,0.16,,,0,
3946,赤岩善生,A1,愛知,50,82,7.19,294,,,,,,,,,,,29,10.3,9,11.1,5,0.0,-3.3,81,47,14,5,9,4,2,0.15,2,0,0.14,0.16,+0.02,59,
5145,島川海輝,A2,山口,23,126,6.20,294,,,,,○,,,,,,44,15.9,47,8.5,44,2.3,5.0,75,43,5,16,9,2,0,0.15,0,0,0.15,,,0,
4472,尾嶋一広,A1,兵庫,39,101,6.61,293,,,,,○,,,,●,,54,13.0,56,5.4,33,0.0,1.7,72,36,14,9,5,8,0,0.15,0,0,0.15,,,0,
4786,佐藤博亮,A1,愛知,38,113,6.55,293,,,,,○,○,,,●,,52,5.8,47,8.5,46,4.3,-5.6,87,43,15,14,9,5,1,0.13,1,0,0.13,0.15,+0.01,13,
4278,藤岡俊介,A1,兵庫,43,94,7.02,292,,,,,○,,,,●,,46,13.0,55,9.1,38,5.3,0.1,91,50,18,4,12,6,1,0.12,0,0,0.12,,,0,
4286,平田さや,A2,東京,42,94,6.06,292,,,,,,,,壁弱●,,,55,14.5,53,1.9,41,0.0,4.2,48,23,8,3,7,7,0,0.15,0,0,0.15,,,0,
4366,前沢丈史,A1,東京,40,97,6.43,292,,,,,○,,,,,,48,14.6,60,11.7,37,0.0,1.3,76,45,10,6,12,2,1,0.14,1,0,0.14,0.17,+0.03,39,
4000,松本博昭,A2,広島,49,84,5.99,290,,,,,,,,,,,49,8.2,56,0.0,43,2.3,-0.8,56,34,4,10,3,5,0,0.17,0,0,0.17,,,0,
5216,長谷川晴,A1,群馬,26,129,5.91,289,,,,,○,,,,,,52,7.7,47,8.5,37,0.0,-1.2,66,34,7,11,11,2,1,0.16,1,0,0.16,0.17,+0.01,26,
3612,馬袋義則,A1,兵庫,53,71,6.74,289,,,,,,,,,,,64,18.8,37,2.7,14,0.0,4.7,72,42,4,11,8,7,0,0.14,0,0,0.14,,,0,
4295,小坂尚哉,A1,兵庫,39,94,7.31,289,,,,,○,○,,,,,42,9.5,53,7.5,39,2.6,-4.2,84,47,7,15,8,7,0,0.14,0,0,0.14,,,0,
4713,白神優,A1,岡山,36,110,6.35,288,,,,,○,,,,,,40,10.0,62,11.3,48,0.0,-2.1,81,48,12,7,8,6,0,0.13,1,0,0.13,0.15,+0.02,21,
3940,飯山泰,A1,東京,48,81,6.43,288,,,,,○,,,,,,51,17.6,48,10.4,45,4.4,5.3,75,38,4,25,4,4,0,0.14,0,0,0.14,,,0,
4640,山ノ内雅,A2,福岡,35,107,5.84,288,,,,,○,,,壁強●,,,46,13.0,58,5.2,43,0.0,2.9,56,30,5,3,15,3,0,0.14,0,0,0.14,,,0,
4413,水摩敦,A2,福岡,40,99,5.97,288,,,,,,,,,,,48,8.3,41,0.0,40,5.0,-0.7,55,31,7,12,2,2,1,0.17,0,0,0.17,,,0,
4931,木谷賢太,A1,香川,30,118,6.78,287,,,,,○,○,,,,,48,6.2,51,9.8,44,4.5,-5.1,75,44,9,6,12,4,0,0.15,0,0,0.15,,,0,
4388,是澤孝宏,A2,滋賀,41,98,6.09,287,,,,,○,○,,壁弱●,,,51,3.9,56,7.1,46,2.2,-4.1,53,27,8,4,8,5,1,0.17,0,0,0.17,,,0,
4118,宇佐見淳,A2,愛知,45,88,5.87,287,,,,,○,,,,,,57,10.5,47,6.4,47,4.3,-0.2,57,34,7,8,5,2,1,0.15,1,0,0.15,0.11,-0.04,1,
3984,坂口周,A1,三重,48,83,6.27,286,,,,,○,,,,,,52,5.8,49,10.2,38,0.0,-3.9,68,44,7,5,10,2,0,0.16,0,0,0.16,,,0,
4189,川上剛,A1,福岡,45,91,5.63,286,,,,,○,,,,,,59,11.9,42,9.5,26,0.0,2.1,74,36,9,15,7,6,1,0.17,1,0,0.16,0.19,+0.03,81,
3251,平石和男,A2,埼玉,60,58,5.89,286,,,,,,,,,,,46,8.7,52,3.8,41,0.0,-0.4,45,19,11,1,6,8,0,0.19,0,0,0.19,,,0,
4738,清埜翔子,A2,埼玉,35,111,5.93,285,,,,,,,,,,,49,4.1,50,2.0,49,0.0,-3.9,66,40,10,12,2,2,0,0.16,1,0,0.16,0.16,+0.00,36,候補
4288,永田啓二,A1,福岡,41,94,7.65,285,,,,,○,,○,,●,,49,26.5,46,15.2,39,10.3,8.6,103,53,11,25,9,4,1,0.12,0,1,0.11,0.12,+0.01,141,
5114,小林孝彰,B1,福井,26,125,5.88,284,,,,,,,,,,,46,8.7,43,2.3,54,0.0,-0.4,57,32,9,6,6,3,1,0.16,0,0,0.16,,,0,
3744,徳増秀樹,A1,静岡,51,75,6.16,284,,,,,○,○,,,,,77,3.9,48,12.5,19,5.3,-4.4,81,47,11,5,11,5,2,0.13,0,0,0.13,,,0,
4776,竹田和哉,A1,香川,32,112,7.30,284,,,,,○,○,,,,,47,4.3,52,13.5,42,0.0,-6.6,86,54,8,11,6,5,2,0.15,0,0,0.15,,,0,
3412,鈴木博,A1,埼玉,56,64,6.50,284,,,,,○,,,,,,53,9.4,49,6.1,48,4.2,-1.0,67,38,4,8,14,2,1,0.16,0,0,0.16,,,0,
4852,川原祐明,A1,香川,31,115,7.20,284,,,,,○,,,,,,48,16.7,51,19.6,45,4.4,1.1,107,53,10,13,24,7,0,0.15,1,0,0.15,0.15,+0.00,10,候補
4193,郷原章平,A2,福岡,45,91,6.06,284,,,,,,,,,,,56,12.5,47,2.1,37,2.7,2.6,73,33,13,17,5,4,1,0.15,0,0,0.15,,,0,
4236,松村敏,A1,福岡,42,92,7.49,284,,,,,○,○,,,,,50,14.0,52,9.6,35,5.7,-4.4,96,62,7,15,10,1,1,0.12,1,0,0.11,0.14,+0.03,38,
5234,塚越海斗,A1,群馬,28,130,6.72,284,,,,,○,,○,,,,52,21.2,44,11.4,46,0.0,6.4,76,38,13,18,6,1,0,0.15,0,0,0.15,,,0,
3711,江本真治,A2,山口,52,74,6.03,283,,,,,○,,,壁強●,,,43,9.3,52,5.8,45,2.2,-1.1,53,29,6,7,8,3,0,0.15,1,0,0.15,0.17,+0.02,60,
3746,岡瀬正人,A2,岡山,51,75,5.74,283,,,,,,○,,,,,54,1.9,47,2.1,44,0.0,-5.7,45,32,6,1,2,4,0,0.17,0,0,0.17,,,0,
4351,里岡右貴,A1,福岡,40,96,7.00,283,,,,,,,,,,,43,11.6,39,2.6,50,2.0,-1.0,90,48,13,13,8,6,2,0.13,1,0,0.13,0.11,-0.01,35,候補
5220,青木蓮,A2,埼玉,25,129,6.59,282,,,,,○,,○,,,,51,21.6,51,13.7,36,2.8,8.4,77,37,3,20,10,6,1,0.12,1,0,0.12,0.14,+0.02,16,
4531,武富智亮,A2,佐賀,37,103,6.31,282,,,,,○,○,,,,,43,4.7,47,10.6,45,6.7,-4.5,65,38,4,13,8,2,0,0.16,0,0,0.16,,,0,
4174,赤坂俊輔,A1,長崎,43,90,6.38,282,,,,,○,,,,,,53,13.2,59,5.1,12,0.0,1.9,69,43,7,7,7,4,1,0.15,0,0,0.15,,,0,
4659,木下翔太,A1,大阪,35,108,7.61,282,,,,,○,,,,,,52,11.5,51,7.8,34,2.9,-1.1,79,44,12,5,12,6,0,0.15,0,0,0.15,,,0,
4397,西村拓也,A1,大阪,39,98,7.38,282,,,,,○,,,,,,54,11.1,52,9.6,29,0.0,-1.4,77,48,8,6,9,5,1,0.13,0,0,0.13,,,0,
4958,溝口海義,A1,福岡,31,119,6.25,282,,,,,,,,壁弱●,,,53,13.2,54,1.9,46,0.0,1.9,63,32,12,8,5,4,2,0.14,0,0,0.14,,,0,
4496,内堀学,A1,東京,39,102,6.60,281,,,,,○,,○,,,,54,24.1,39,15.4,31,12.9,8.7,88,45,2,27,8,6,0,0.15,1,0,0.15,0.17,+0.02,30,
4061,萩原秀人,A1,福井,47,86,7.55,281,,,,,○,○,,,,,45,4.4,51,13.7,50,6.0,-4.7,80,44,10,8,15,2,1,0.13,0,0,0.13,,,0,
