term,min,max,n
100,4424,4456,33
40,2764,2796,29
41,2798,2810,12
42,2811,2848,33
43,2849,2878,29
44,2880,2904,24
45,2905,2927,19
46,2928,2947,16
47,2948,2966,16
48,2968,2998,23
49,3001,3025,18
50,3030,3055,14
51,3056,3081,22
52,3083,3108,20
53,3109,3131,18
54,3135,3159,17
55,3160,3183,21
56,3184,3209,20
57,3210,3234,22
58,3235,3258,20
59,3259,3286,24
60,3287,3307,18
61,3308,3335,26
62,3336,3362,24
63,3363,3388,21
64,3389,3422,30
65,3424,3456,29
66,3457,3485,29
67,3486,3510,24
68,3513,3535,22
69,3536,3558,23
70,3559,3590,32
71,3591,3623,32
72,3624,3659,36
73,3660,3686,26
74,3687,3721,35
75,3722,3749,28
76,3750,3784,35
77,3785,3817,33
78,3818,3849,32
79,3850,3878,29
80,3879,3908,30
81,3909,3944,36
82,3945,3967,23
83,3968,3999,32
84,4000,4022,23
85,4023,4052,30
86,4053,4075,23
87,4076,4098,23
88,4099,4124,26
89,4125,4151,27
90,4152,4184,33
91,4185,4216,32
92,4217,4244,28
93,4245,4269,25
94,4270,4296,27
95,4297,4324,28
96,4325,4353,29
97,4354,4373,20
98,4374,4400,27
99,4401,4423,23
101,4457,4484,28
102,4485,4515,31
103,4516,4539,24
104,4540,4561,22
105,4562,4590,29
106,4591,4612,22
107,4613,4643,31
108,4644,4661,18
109,4662,4690,29
110,4691,4720,30
111,4721,4746,26
112,4747,4776,30
113,4777,4804,28
114,4805,4831,27
115,4832,4857,26
116,4858,4886,29
117,4887,4915,29
118,4916,4940,25
119,4941,4967,27
120,4968,4994,27
121,4995,5019,25
122,5020,5045,26
123,5046,5069,24
124,5070,5094,25
125,5095,5122,28
126,5123,5146,24
127,5147,5175,29
128,5176,5203,28
129,5204,5231,28
130,5232,5258,27
131,5259,5283,25
132,5284,5310,27
133,5311,5337,27
134,5338,5362,25
135,5363,5391,29
136,5392,5420,29
137,5421,5444,24
138,5445,5472,28
28,2342,2380,27
29,2382,2430,32
30,2432,2471,32
31,2473,2507,26
32,2509,2549,29
33,2552,2586,22
34,2589,2625,28
35,2627,2663,32
36,2664,2699,27
37,2700,2719,17
38,2723,2738,13
39,2739,2763,19
