ym,touban,tot_n,tot_top3,c1n,c1w,c4n,c4w,c4mk,c4st_sum,c4st_n,c6n,c6w2,c6w3,c6st_sum,c6st_n,t4n,t4mk,t6n,t6_23
2025-07,2878,9,5,1,0,2,1,1,0.24,2,0,0,0,0,0,0,0,0,0
2025-07,3024,10,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3054,10,6,2,2,3,1,1,0.37,3,1,0,1,0.23,1,0,0,0,0
2025-07,3070,9,6,2,1,3,0,0,0.29,3,0,0,0,0,0,0,0,0,0
2025-07,3072,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3081,10,3,2,1,2,0,0,0.4,2,2,0,0,0.23,2,0,0,0,0
2025-07,3105,8,4,2,0,1,0,0,0.18,1,1,0,0,0.23,1,0,0,0,0
2025-07,3107,10,1,1,0,2,0,0,0.43,2,1,0,0,0.13,1,0,0,0,0
2025-07,3156,10,3,0,0,1,0,0,0.11,1,1,0,0,0.18,1,0,0,0,0
2025-07,3158,5,3,2,2,1,0,0,0.09,1,1,0,0,0.24,1,0,0,0,0
2025-07,3161,9,4,1,0,1,0,0,0.16,1,0,0,0,0,0,0,0,0,0
2025-07,3175,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3176,5,3,0,0,1,0,0,0.18,1,1,0,0,0.23,1,0,0,0,0
2025-07,3202,11,6,2,0,4,0,0,0.91,4,0,0,0,0,0,0,0,0,0
2025-07,3207,2,0,0,0,1,0,0,0.17,1,0,0,0,0,0,0,0,0,0
2025-07,3211,9,6,1,0,0,0,0,0,0,1,1,0,0.17,1,0,0,0,0
2025-07,3212,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2025-07,3224,12,6,1,0,3,0,0,0.71,3,1,0,0,0.15,1,0,0,0,0
2025-07,3226,8,3,1,0,2,0,0,0.48,2,1,0,1,0.2,1,0,0,0,0
2025-07,3232,9,8,1,1,2,0,0,0.53,2,0,0,0,0,0,0,0,0,0
2025-07,3233,9,3,2,0,1,0,0,0.24,1,1,0,0,0.24,1,0,0,0,0
2025-07,3251,11,9,3,1,2,0,0,0.41,2,3,0,2,0.54,3,0,0,0,0
2025-07,3256,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3257,12,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3265,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3268,10,4,1,0,3,0,0,0.54,3,0,0,0,0,0,0,0,0,0
2025-07,3273,4,1,1,1,0,0,0,0,0,1,0,0,0.24,1,0,0,0,0
2025-07,3277,10,5,2,0,1,0,0,0.11,1,3,0,2,0.4,3,0,0,0,0
2025-07,3282,6,3,0,0,2,0,0,0.35,2,0,0,0,0,0,0,0,0,0
2025-07,3284,10,7,0,0,1,0,0,0.21,1,1,0,1,0.15,1,0,0,0,0
2025-07,3286,7,1,1,0,0,0,0,0,0,1,0,0,0.13,1,0,0,0,0
2025-07,3289,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3293,10,4,2,1,1,0,0,0.19,1,2,0,0,0.37,2,0,0,0,0
2025-07,3300,9,6,2,2,1,0,0,0.21,1,3,1,0,0.37,3,0,0,0,0
2025-07,3302,7,2,1,0,1,0,0,0.14,1,0,0,0,0,0,1,0,0,0
2025-07,3304,6,4,1,0,2,1,0,0.3,2,0,0,0,0,0,0,0,0,0
2025-07,3305,9,4,1,1,2,0,0,0.35,2,0,0,0,0,0,0,0,0,0
2025-07,3313,8,1,0,0,1,0,0,0.28,1,2,0,0,0.41,2,0,0,0,0
2025-07,3315,5,2,1,1,1,0,0,0.31,1,0,0,0,0,0,0,0,0,0
2025-07,3319,10,6,2,0,3,0,0,0.41,3,1,0,1,0.12,1,0,0,0,0
2025-07,3327,6,3,2,0,2,0,0,0.5,2,0,0,0,0,0,0,0,0,0
2025-07,3333,11,6,2,1,2,1,1,0.24,2,2,0,1,0.23,2,0,0,0,0
2025-07,3334,3,1,0,0,0,0,0,0,0,1,0,0,0.24,1,0,0,0,0
2025-07,3339,7,4,1,0,1,0,0,0.07,1,2,0,0,0.53,2,0,0,0,0
2025-07,3349,8,3,2,0,1,0,0,0.21,1,0,0,0,0,0,0,0,0,0
2025-07,3350,7,3,2,1,1,0,0,0.22,1,0,0,0,0,0,0,0,0,0
2025-07,3352,1,0,0,0,0,0,0,0,0,1,0,0,0.21,1,0,0,0,0
