登番,選手名,地力3連対,全国4走,実4まくり率,期待まくり率,まくり力,実4_1着率,全国4ST,当地4走,当地4まくり率
4538,笠置博之,58.0,36,47.2,9.1,26.9,50.0,0.144,2,100.0
4571,菅章哉,50.7,18,55.6,6.6,26.7,61.1,0.123,1,0.0
4561,藤山翔大,54.7,50,34.0,8.8,19.4,38.0,0.181,1,0.0
5126,山下大輝,67.3,45,35.6,11.0,18.4,35.6,0.148,0,
4610,佐藤大佑,57.0,39,30.8,8.8,15.8,30.8,0.143,1,0.0
5013,山下夏鈴,52.9,42,28.6,8.8,14.5,28.6,0.165,1,0.0
4438,森作雄大,43.3,48,25.0,6.5,14.1,27.1,0.11,3,0.0
5368,宮崎心之介,47.0,29,27.6,6.5,13.9,27.6,0.15,9,44.4
4188,久田敏之,76.7,40,32.5,14.6,13.0,35.0,0.126,0,
5075,中島秀治,62.5,51,25.5,9.1,12.7,29.4,0.143,0,
5077,滝沢崚,30.6,20,25.0,3.2,12.5,25.0,0.186,3,0.0
4544,松田大志郎,80.3,44,40.9,24.8,12.0,50.0,0.13,0,
4960,黒野元基,75.8,46,30.4,14.6,11.9,41.3,0.139,3,66.7
4257,古川健,42.0,32,21.9,4.7,11.7,25.0,0.148,0,
4619,伏田裕隆,48.6,34,23.5,6.6,11.7,29.4,0.15,0,
5295,田上凜,34.4,33,21.2,4.6,11.4,21.2,0.17,2,0.0
3876,中辻崇人,70.3,22,31.8,12.8,11.3,31.8,0.154,0,
3577,向所浩二,38.8,28,21.4,4.7,10.9,25.0,0.116,0,
4704,河野大,61.4,47,23.4,9.1,10.9,27.7,0.14,3,66.7
4974,安井瑞紀,57.9,37,24.3,9.1,10.9,24.3,0.179,3,33.3
5041,荒牧凪沙,46.9,25,24.0,6.5,10.9,24.0,0.174,0,
5044,渡邉健,44.2,37,21.6,6.5,10.8,21.6,0.12,2,50.0
4294,古賀繁輝,65.3,48,25.0,11.0,10.6,31.2,0.102,2,50.0
4826,井上一輝,68.2,36,27.8,12.8,10.6,30.6,0.121,0,
5158,宮脇遼太,63.2,39,25.6,11.0,10.5,33.3,0.163,0,
3912,川原正明,55.2,44,22.7,8.8,10.4,22.7,0.129,2,50.0
4207,松下一也,60.7,33,24.2,9.1,10.4,27.3,0.136,3,0.0
4928,栗城匠,65.2,44,25.0,11.0,10.4,31.8,0.132,3,66.7
5197,中野仁照,56.2,19,26.3,8.8,9.8,26.3,0.177,0,
4297,山田哲也,60.5,46,21.7,9.1,9.6,21.7,0.083,1,0.0
4845,前田紗希,69.8,39,25.6,12.8,9.3,28.2,0.148,10,40.0
4416,三宅健太,47.8,42,19.0,6.6,9.1,21.4,0.172,0,
4624,高田明,67.9,35,25.7,12.8,9.1,28.6,0.155,0,
4677,片橋幸貴,63.8,28,25.0,11.0,9.1,28.6,0.145,0,
4012,中村有裕,60.6,48,20.8,9.1,9.0,20.8,0.156,3,66.7
5029,中亮太,63.1,48,22.9,11.0,9.0,27.1,0.127,5,60.0
5098,大江純,49.8,43,18.6,6.6,8.9,25.6,0.137,2,0.0
4183,宇野弥生,44.0,37,18.9,6.5,8.8,18.9,0.134,1,0.0
4496,内堀学,69.7,45,24.4,12.8,8.8,26.7,0.151,1,0.0
3388,今垣光太郎,57.4,44,20.5,8.8,8.7,22.7,0.145,0,
3870,寺嶋雄,36.7,43,16.3,4.6,8.7,18.6,0.172,4,50.0
3965,北中元樹,63.1,49,22.4,11.0,8.7,26.5,0.164,4,25.0
5226,藤田俊祐,56.5,21,23.8,8.8,8.7,23.8,0.167,2,0.0
4483,北野輝季,68.1,36,25.0,12.8,8.6,33.3,0.134,1,0.0
4518,大須賀友,70.0,36,25.0,12.8,8.6,27.8,0.163,0,
4760,山崎郡,69.6,50,24.0,12.8,8.6,28.0,0.131,1,0.0
5161,登玉隼百,58.7,44,20.5,9.1,8.5,20.5,0.135,2,100.0
4027,松江秀徳,52.0,45,17.8,6.6,8.4,20.0,0.145,0,
4102,益田啓司,64.9,45,22.2,11.0,8.4,24.4,0.155,3,0.0
5256,中山翔太,66.2,45,22.2,11.0,8.4,31.1,0.118,0,
5269,山口晃朋,52.0,38,18.4,6.6,8.4,18.4,0.15,3,0.0
4364,池永太,64.9,40,22.5,11.0,8.3,25.0,0.14,1,0.0
5214,田中宏典,45.4,32,18.8,6.5,8.3,21.9,0.163,1,0.0
4252,松下哲也,41.9,45,15.6,4.7,8.1,20.0,0.183,2,0.0
4930,佐藤悠,58.6,40,20.0,9.1,8.0,20.0,0.141,4,25.0
3784,中島友和,52.1,40,17.5,6.6,7.9,17.5,0.147,0,
4254,川島圭司,51.9,33,18.2,6.6,7.9,21.2,0.128,3,0.0
4288,永田啓二,73.6,44,25.0,14.6,7.8,27.3,0.115,0,
4766,石井孝之,36.1,23,17.4,4.6,7.8,21.7,0.132,2,0.0
5220,青木蓮,65.3,47,21.3,11.0,7.8,23.4,0.119,12,25.0
4692,酒井俊弘,47.0,27,18.5,6.5,7.7,18.5,0.123,1,0.0
5234,塚越海斗,68.0,48,22.9,12.8,7.7,31.2,0.139,1,100.0
3849,中岡正彦,73.7,40,25.0,14.6,7.6,30.0,0.107,0,
4330,奈須啓太,60.7,41,19.5,9.1,7.6,19.5,0.137,1,0.0
4505,島田賢人,64.4,42,21.4,11.0,7.6,26.2,0.156,7,42.9
4423,坂口貴彦,52.5,48,18.8,8.8,7.5,18.8,0.151,0,
4636,赤池修平,31.0,27,14.8,3.2,7.5,14.8,0.147,0,
4925,森悠稀,56.7,42,19.0,8.8,7.5,19.0,0.131,1,0.0
5238,笹木香吾,55.7,36,19.4,8.8,7.5,19.4,0.128,3,0.0
4213,重富伸也,35.3,24,16.7,4.6,7.4,16.7,0.166,0,
4649,和田操拓,48.0,49,16.3,6.6,7.4,18.4,0.134,0,
3568,木村光宏,39.6,41,14.6,4.7,7.3,14.6,0.16,3,0.0
3740,大澤普司,62.4,36,19.4,9.1,7.3,22.2,0.158,2,50.0
4992,廣瀬篤哉,39.5,41,14.6,4.7,7.3,22.0,0.139,1,0.0
4650,中山雄太,58.6,18,22.2,9.1,7.2,22.2,0.135,1,0.0
4040,廣瀬将亨,56.8,44,18.2,8.8,7.0,20.5,0.141,0,
4587,木田峰由季,60.8,37,18.9,9.1,7.0,18.9,0.142,0,
4769,馬場剛,64.5,44,20.5,11.0,7.0,20.5,0.12,4,0.0
5038,金田智博,63.7,33,21.2,11.0,7.0,21.2,0.126,1,0.0
5132,中野希一,72.8,46,23.9,14.6,7.0,28.3,0.107,13,23.1
4832,権藤俊光,67.1,44,20.5,11.0,7.0,29.5,0.141,0,
4100,松田隆司,50.0,44,15.9,6.6,6.9,18.2,0.154,1,0.0
4402,乙藤智史,59.2,31,19.4,9.1,6.9,25.8,0.144,0,
5048,眞鳥康太,43.7,22,18.2,6.5,6.9,18.2,0.164,0,
5344,谷口丞,36.9,26,15.4,4.6,6.9,19.2,0.138,1,0.0
3699,富永正人,36.0,35,14.3,4.6,6.8,14.3,0.187,0,
4979,中野夢斗,48.8,37,16.2,6.6,6.8,16.2,0.155,2,0.0
4762,藤原啓史朗,70.2,36,22.2,12.8,6.7,22.2,0.14,0,
5020,宮村勇哉,40.3,35,14.3,4.7,6.7,14.3,0.173,3,66.7
5141,大澤風葵,66.1,34,20.6,11.0,6.6,23.5,0.108,3,66.7
3289,高橋淳美,22.8,20,15.0,3.7,6.5,15.0,0.157,0,
3562,山下和彦,60.5,45,17.8,9.1,6.5,20.0,0.144,1,0.0
