登番,選手名,地力3連対,全国6走,実6_2着率,実6_3着率,実6_2_3,期待6_2_3,残し残差,補正2着率,全国6ST,当地6走,当地6_2_3
3352,小川晃司,40.4,222,10.8,27.9,38.7,16.8,20.5,10.4,0.166,2,100.0
4002,古結宏,66.8,26,7.7,57.7,65.4,34.0,19.9,9.0,0.152,0,
4739,中村晃朋,67.2,34,14.7,44.1,58.8,34.0,17.2,13.7,0.15,1,100.0
4911,片岡大地,50.2,30,6.7,40.0,46.7,22.1,16.4,6.7,0.138,3,66.7
4287,今井貴士,58.8,45,20.0,28.9,48.9,28.6,15.2,17.2,0.16,3,33.3
5095,小原聡将,63.8,35,14.3,40.0,54.3,34.0,14.2,13.4,0.132,3,66.7
4528,黒井達矢,65.7,33,18.2,36.4,54.5,34.0,14.1,16.0,0.177,7,57.1
5321,一色颯輝,47.7,33,15.2,27.3,42.4,22.1,14.0,12.5,0.198,0,
5073,上原健次郎,50.2,39,7.7,33.3,41.0,22.1,13.7,7.4,0.181,3,33.3
4572,渡部悟,53.8,42,19.0,23.8,42.9,24.2,13.7,16.0,0.181,1,0.0
4880,澤崎雄哉,52.3,31,6.5,35.5,41.9,22.1,13.4,6.5,0.182,1,0.0
4003,表憲一,53.9,35,17.1,25.7,42.9,24.2,13.0,14.3,0.168,0,
4360,庄司孝輔,56.9,38,15.8,26.3,42.1,24.2,12.8,13.4,0.169,4,50.0
5181,森智哉,45.9,30,10.0,26.7,36.7,17.6,12.7,8.4,0.197,1,100.0
3663,木山和幸,54.4,36,11.1,30.6,41.7,24.2,12.3,10.1,0.187,0,
5134,大原祥昌,57.0,42,16.7,23.8,40.5,24.2,12.0,14.3,0.171,1,0.0
3294,野中義生,40.5,39,10.3,23.1,33.3,16.8,11.9,8.7,0.141,5,40.0
5046,松山裕基,36.5,29,6.9,24.1,31.0,13.0,11.9,5.8,0.187,2,0.0
4069,山本修一,62.3,38,21.1,23.7,44.7,28.6,11.6,17.6,0.222,0,
4748,渡邉雄朗,65.2,40,25.0,25.0,50.0,34.0,11.6,21.3,0.141,3,100.0
5350,網代良芽,42.7,42,9.5,23.8,33.3,17.6,11.6,8.4,0.148,2,0.0
4200,早川尚人,37.1,34,8.8,20.6,29.4,13.0,11.4,7.3,0.179,1,0.0
5282,中本大樹,46.5,32,9.4,25.0,34.4,17.6,11.4,8.0,0.172,1,0.0
5058,前原大道,70.3,42,16.7,35.7,52.4,37.0,11.3,15.8,0.186,1,100.0
4448,青木玄太,71.2,38,21.1,31.6,52.6,37.0,11.2,18.9,0.167,1,0.0
3699,富永正人,36.9,35,2.9,25.7,28.6,13.0,10.9,3.1,0.203,0,
3300,川崎智幸,57.6,42,16.7,26.2,42.9,28.6,10.5,14.6,0.18,3,0.0
5023,久永祥平,61.4,42,16.7,26.2,42.9,28.6,10.5,14.6,0.2,3,66.7
4320,峰竜太,77.6,24,12.5,54.2,66.7,49.7,10.4,13.7,0.128,0,
3611,岩崎芳美,56.7,36,13.9,25.0,38.9,24.2,10.3,12.0,0.157,1,100.0
5153,佐藤ほのか,30.7,31,9.7,16.1,25.8,10.6,10.2,7.4,0.135,0,
3961,谷村一哉,71.0,35,17.1,34.3,51.4,37.0,10.1,16.0,0.186,0,
4984,森下愛梨,48.1,45,15.6,20.0,35.6,22.1,10.1,13.3,0.203,2,50.0
4644,山田亮太,65.8,33,9.1,39.4,48.5,34.0,10.0,9.8,0.126,1,0.0
3107,平岡重典,26.1,17,5.9,23.5,29.4,10.7,9.9,4.8,0.202,2,0.0
3906,飯山晃三,35.4,33,15.2,12.1,27.3,13.0,9.8,11.6,0.235,0,
4305,金子拓矢,76.9,39,25.6,30.8,56.4,42.8,9.8,22.8,0.165,0,
4508,野間大樹,56.2,31,12.9,25.8,38.7,24.2,9.8,11.1,0.21,3,33.3
4575,戸塚邦好,60.1,30,20.0,23.3,43.3,28.6,9.8,16.3,0.17,0,
5441,鈴木雄登,26.8,115,10.4,11.3,21.7,10.7,9.8,9.6,0.175,9,11.1
4504,前田将太,60.7,38,18.4,23.7,42.1,28.6,9.7,15.7,0.136,0,
4743,木村仁紀,66.7,45,13.3,33.3,46.7,34.0,9.5,12.8,0.164,0,
3251,平石和男,58.6,41,9.8,31.7,41.5,28.6,9.4,9.5,0.215,4,75.0
5356,長谷川暖,46.9,43,11.6,18.6,30.2,17.6,9.4,9.9,0.187,2,0.0
3543,福田雅一,48.9,21,9.5,28.6,38.1,22.1,9.3,8.3,0.179,0,
4886,入海馨,66.0,43,14.0,32.6,46.5,34.0,9.3,13.3,0.159,0,
4444,桐生順平,64.1,34,8.8,38.2,47.1,34.0,9.1,9.6,0.152,0,
4134,杉山貴博,62.1,39,20.5,20.5,41.0,28.6,9.0,17.3,0.195,3,33.3
4215,吉島祥之,55.6,47,12.8,23.4,36.2,24.2,9.0,11.5,0.203,1,100.0
5281,井上遥妃,58.7,39,12.8,28.2,41.0,28.6,9.0,11.7,0.169,0,
4737,竹井貴史,75.2,40,27.5,27.5,55.0,42.8,8.9,24.2,0.157,1,0.0
3528,笠野友紀恵,30.7,24,4.2,20.8,25.0,10.6,8.8,3.6,0.219,0,
4096,石橋道友,65.8,32,9.4,37.5,46.9,34.0,8.8,10.0,0.151,2,0.0
4000,松本博昭,60.4,42,7.1,33.3,40.5,28.6,8.7,7.6,0.177,1,100.0
4323,山田佑樹,52.1,38,0.0,34.2,34.2,22.1,8.7,1.9,0.186,0,
5048,眞鳥康太,44.6,75,12.0,16.0,28.0,17.6,8.7,10.8,0.2,3,0.0
4228,吉田慎二郎,61.6,45,11.1,28.9,40.0,28.6,8.5,10.5,0.169,0,
4318,桑原将光,55.4,42,7.1,28.6,35.7,24.2,8.5,7.2,0.181,2,100.0
5343,小林礼央,34.9,73,12.3,11.0,23.3,13.0,8.5,10.9,0.152,3,33.3
4161,黒柳浩孝,53.0,36,16.7,19.4,36.1,24.2,8.4,14.0,0.157,2,50.0
4214,林祐介,52.1,32,9.4,25.0,34.4,22.1,8.4,8.5,0.174,2,50.0
5189,藤原早菜,54.0,39,20.5,15.4,35.9,24.2,8.4,16.9,0.209,0,
5125,高井雄基,50.6,42,4.8,28.6,33.3,22.1,8.3,5.3,0.217,2,0.0
4470,平田健之佑,65.9,35,14.3,31.4,45.7,34.0,8.2,13.4,0.179,0,
4967,中村魁生,66.9,35,17.1,28.6,45.7,34.0,8.2,15.4,0.148,0,
5224,西岡顕心,70.4,46,17.4,30.4,47.8,37.0,8.2,16.4,0.159,1,0.0
5359,佐藤世那,37.6,31,12.9,16.1,29.0,16.8,8.2,10.3,0.189,5,40.0
3576,白水勝也,73.3,31,9.7,45.2,54.8,42.8,8.1,11.5,0.19,1,0.0
3377,塚田修二,32.4,26,7.7,15.4,23.1,10.6,7.9,5.9,0.187,3,33.3
3931,黒崎竜也,57.6,46,8.7,30.4,39.1,28.6,7.9,8.7,0.148,0,
4044,湯川浩司,61.0,27,7.4,33.3,40.7,28.6,7.8,7.9,0.144,2,0.0
4114,深澤達徳,46.4,27,3.7,25.9,29.6,17.6,7.8,4.2,0.206,2,50.0
5211,高井駿弥,34.0,28,7.1,17.9,25.0,13.0,7.8,6.0,0.183,1,100.0
5255,藤原仙二,69.1,42,21.4,26.2,47.6,37.0,7.8,19.3,0.178,0,
