date,rno,rname,nichime,kimarite,wdir,wspd,santan,payout,ninki,win_course,win_teiban,zenzuke
2025-07-23,1,一般戦,5,差し,無,0,2-4-1,4540,17,2,2,0
2025-07-23,2,一般戦,5,まくり差し,南東,1,4-1-6,2210,9,4,4,0
2025-07-23,3,一般戦,5,まくり,南東,3,5-2-1,670,1,5,5,0
2025-07-23,4,一般戦,5,まくり,南東,2,3-5-4,3260,15,3,3,0
2025-07-23,5,一般戦,5,差し,南東,3,2-1-3,2230,10,2,2,0
2025-07-23,6,一般戦,5,逃げ,南東,3,1-4-3,1720,4,1,1,0
2025-07-23,7,一般戦,5,まくり,南東,1,3-4-1,6170,29,3,3,0
2025-07-23,8,一般戦,5,まくり,南,2,4-1-3,940,4,4,4,0
2025-07-23,9,一般戦,5,まくり,南,2,4-2-1,3180,16,4,4,0
2025-07-23,10,準優勝戦,5,逃げ,南東,2,1-4-3,3040,10,1,1,0
2025-07-23,11,準優勝戦,5,まくり,南東,3,3-2-1,5020,17,3,3,0
2025-07-23,12,準優勝戦,5,逃げ,南西,3,1-3-4,2020,8,1,1,0
2025-07-24,1,一般戦,6,まくり,無,0,3-1-5,3850,18,3,3,0
2025-07-24,2,一般戦,6,まくり,無,0,2-4-3,1090,2,2,2,0
2025-07-24,3,一般戦,6,逃げ,南東,2,1-4-2,1710,4,1,1,0
2025-07-24,4,一般戦,6,逃げ,南東,1,1-5-2,8240,20,1,1,0
2025-07-24,5,ウインウイン,6,まくり,南東,4,4-1-5,790,1,4,4,0
2025-07-24,6,一般戦,6,まくり,南東,2,3-4-1,920,4,3,3,0
2025-07-24,7,ウインウイン,6,逃げ,南東,4,1-4-3,1240,6,1,1,0
2025-07-24,8,一般戦,6,まくり,南西,1,2-4-1,2690,10,2,2,0
2025-07-24,9,戸田特選,6,逃げ,南東,1,1-2-3,1090,1,1,1,0
2025-07-24,10,選抜戦,6,逃げ,南西,3,1-2-3,840,1,1,1,0
2025-07-24,11,選抜戦,6,差し,南西,5,2-1-5,4310,15,2,2,0
2025-07-24,12,優勝戦,6,逃げ,南,2,1-4-3,2500,9,1,1,0
2025-08-06,1,予選,1,まくり,無,0,4-3-5,6770,39,4,4,0
2025-08-06,2,予選,1,まくり,無,0,3-1-5,1330,1,3,3,0
2025-08-06,3,予選,1,まくり,南東,3,2-6-1,2470,7,2,2,0
2025-08-06,4,予選,1,逃げ,南東,1,1-3-5,1070,3,1,1,0
2025-08-06,5,ウインウイン,1,まくり差し,無,0,3-1-4,4920,17,3,3,0
2025-08-06,6,予選,1,逃げ,南東,1,1-2-6,1610,5,1,1,0
2025-08-06,7,ウインウイン,1,逃げ,東,2,1-2-5,840,2,1,1,0
2025-08-06,8,予選,1,逃げ,南東,4,1-4-5,4590,18,1,1,0
2025-08-06,9,戸田特賞,1,抜き,北,3,1-3-2,1550,3,1,1,0
2025-08-06,10,戸田特賞,1,まくり差し,北東,3,3-2-4,6810,25,3,3,0
2025-08-06,11,記者選抜戦,1,まくり,北東,2,5-6-3,11160,42,5,5,0
2025-08-06,12,戸田選抜戦,1,抜き,東,4,5-6-3,23810,64,5,5,0
