登番,名前,級,全国3/4進入,全国まくり率,丸亀3/4進入,丸亀まくり率,採用値,絞りまくり型
5033,藤原孝斗,B1,65,0.015,4,,0.015,
3441,土屋太朗,B1,87,0.023,0,,0.023,
5325,澁川夏,B1,74,0.041,8,,0.041,
3967,鈴木茂高,B1,73,0.0,1,,0.0,
3467,森弘行,B1,63,0.0,3,,0.0,
4626,伊藤紘章,B1,67,0.06,0,,0.06,
5385,鈴木柊介,B1,35,0.0,0,,0.0,
4259,真庭明志,A2,85,0.059,4,,0.059,
4674,池田剛規,B1,88,0.091,0,,0.091,
4575,戸塚邦好,A2,73,0.151,3,,0.151,●
4962,畑竜生,A2,80,0.087,0,,0.087,
3211,北川敏弘,B1,64,0.0,2,,0.0,
5271,杉山太陽,B1,58,0.052,3,,0.052,
4560,庄司樹良々,A2,67,0.06,1,,0.06,
4161,黒柳浩孝,B1,77,0.078,0,,0.078,
5063,大塚雅治,B1,67,0.045,2,,0.045,
5311,小林京平,B1,77,0.104,4,,0.104,
3918,深井利寿,A1,87,0.184,2,,0.184,●
4067,永井源,A2,98,0.122,0,,0.122,●
3939,渡辺真至,B2,21,0.0,0,,0.0,
3990,芹澤克彦,B1,73,0.027,2,,0.027,
3539,金子順一,B1,97,0.021,4,,0.021,
4512,高野哲史,A1,94,0.191,0,,0.191,●
4835,橋本明,B1,82,0.0,4,,0.0,
4704,河野大,A1,98,0.224,8,,0.224,●
3825,宮嵜隆太郎,B1,63,0.095,5,,0.095,
5047,國分将太郎,B1,70,0.057,7,,0.057,
3833,中辻博訓,A2,102,0.069,7,,0.069,
3965,北中元樹,A1,90,0.167,0,,0.167,●
3955,眞田英二,B2,54,0.037,0,,0.037,
4007,榮田将彦,B1,59,0.068,3,,0.068,
4904,松本一毅,B1,89,0.101,0,,0.101,
3805,高橋英之,B1,71,0.113,3,,0.113,
4727,安部慎一,B1,70,0.043,0,,0.043,
4043,桐本康臣,A2,85,0.141,0,,0.141,●
4452,松尾祭,A2,77,0.065,13,,0.065,
3993,永井聖美,B1,69,0.087,0,,0.087,
4469,土山卓也,A2,76,0.092,0,,0.092,
5102,原田雄次,B1,79,0.089,5,,0.089,
4423,坂口貴彦,B1,83,0.133,4,,0.133,●
3838,伊藤啓三,B1,51,0.039,2,,0.039,
3904,森貴洋,B1,40,0.05,0,,0.05,
3747,國崎良春,A2,63,0.079,0,,0.079,
4754,松尾充,A2,81,0.111,0,,0.111,
5364,金子怜央,B1,33,0.0,0,,0.0,
5407,中岡駿,B1,21,0.0,6,,0.0,
4281,大澤大夢,B1,67,0.075,7,,0.075,
5023,久永祥平,A2,66,0.061,0,,0.061,
4047,吉永浩則,B1,64,0.031,3,,0.031,
4852,川原祐明,A1,92,0.185,12,,0.185,●
4890,石川諒,A2,72,0.083,3,,0.083,
4139,丹下健,B1,82,0.073,4,,0.073,
4019,笠原亮,A1,75,0.107,0,,0.107,
3966,作間章,A1,88,0.205,5,,0.205,●
4287,今井貴士,A2,66,0.076,3,,0.076,
3439,大平誉史明,A1,68,0.162,0,,0.162,●
5328,井上慧人,B1,52,0.038,6,,0.038,
4303,牧原崇,B1,72,0.056,5,,0.056,
3489,大場敏,A2,108,0.046,7,,0.046,
3350,藤本佳史,B1,69,0.029,0,,0.029,
3385,渡邉睦広,A2,76,0.013,0,,0.013,
5348,小林甘寧,B1,47,0.085,4,,0.085,
3910,松下知幸,B1,64,0.062,12,,0.062,
4776,竹田和哉,A1,86,0.116,16,0.062,0.062,
4574,東潤樹,A2,85,0.082,3,,0.082,
