登番,名前,級,採用元,丸亀走数,スロー平均ST,ダッシュ平均ST,スロー巧者(<=.13),スロー遅れ警戒(>.18),ダッシュ遅れ警戒(>.18)
2538,高橋二朗,B1,全国,0,0.21,0.21,,●,●
2878,富山弘幸,B1,全国,0,0.18,0.17,,,
3024,西島義則,B2,当地,15,0.157,,,,
3054,北川幸典,B1,当地,14,0.108,0.197,●,,●
3070,山室展弘,B1,全国,0,0.145,0.14,,,
3072,西田靖,B1,全国,0,0.171,,,,
3075,中村裕将,B1,全国,0,0.124,0.133,●,,
3081,岡本慎治,B1,当地,10,0.175,0.245,,,●
3105,内山文典,B1,全国,7,0.203,0.178,,●,
3107,平岡重典,B1,全国,9,0.173,0.193,,,●
3156,金子良昭,B1,全国,0,0.175,0.162,,,
3158,島川光男,A2,全国,0,0.148,0.148,,,
3159,江口晃生,A1,全国,2,0.15,,,,
3161,古場輝義,B1,当地,18,0.225,0.137,,●,
3175,渡辺千草,B1,全国,8,0.169,0.17,,,
3202,三品隆浩,B1,全国,9,0.183,0.224,,●,●
3207,田村美和,B1,全国,0,0.208,0.166,,●,
3211,北川敏弘,B1,全国,7,0.183,0.178,,●,
3212,亀本勇樹,B1,当地,17,0.187,0.15,,●,
3224,栗山繁洋,B1,当地,10,0.162,0.18,,,
3226,浦田信義,B1,全国,0,0.183,0.193,,●,●
3232,山川美由紀,A2,当地,37,0.165,0.179,,,
3233,小畑実成,B1,全国,0,0.153,0.171,,,
3246,星野政彦,B2,全国,6,0.185,0.149,,●,
3251,平石和男,A2,当地,22,0.167,0.22,,,●
3256,三角哲男,A1,全国,0,0.14,0.161,,,
3257,田頭実,A1,全国,0,0.13,0.17,●,,
3265,今村暢孝,A2,当地,18,0.186,,,●,
3268,森竜也,B1,全国,0,0.162,0.168,,,
3277,齋藤勇,B1,全国,9,0.179,0.186,,,●
3282,池本輝明,B1,全国,6,0.181,0.219,,●,●
3284,渡邊伸太郎,B1,全国,3,0.169,0.203,,,●
3286,坂東満,B2,全国,0,0.149,0.185,,,●
3289,高橋淳美,B2,全国,0,0.156,0.205,,,●
3293,宮内由紀英,B1,全国,0,0.191,0.209,,●,●
3294,野中義生,B1,全国,7,0.185,0.157,,●,
3297,藤丸光一,B1,当地,12,0.193,0.228,,●,●
3300,川崎智幸,A2,当地,13,0.119,0.182,●,,●
3302,谷川里江,B1,全国,9,0.179,0.177,,,
3303,渡辺豊,B1,当地,11,0.243,0.17,,●,
3304,烏野賢太,A1,当地,23,0.16,0.172,,,
3305,小野信樹,B1,当地,14,0.143,0.156,,,
3306,武田正紀,B1,全国,0,0.16,0.155,,,
3313,本吉正樹,B1,当地,11,0.144,0.157,,,
3315,広瀬聖仁,B1,全国,0,0.148,0.179,,,
3319,山崎義明,A2,当地,19,0.174,0.158,,,
3327,野長瀬正孝,A2,全国,7,0.156,0.181,,,●
3333,丸尾義孝,A1,全国,8,0.139,0.164,,,
3334,角ひとみ,A2,全国,7,0.203,0.203,,●,●
3339,泉具巳,B1,全国,0,0.169,0.166,,,
3340,池田雷太,B1,全国,0,0.17,0.201,,,●
3349,吉田一郎,A1,当地,17,0.166,0.152,,,
3350,藤本佳史,B1,全国,0,0.14,0.196,,,●
3352,小川晃司,B1,全国,9,,0.171,,,
3353,前田光昭,B1,全国,0,0.199,0.153,,●,
3355,橋谷田佳織,B2,全国,0,0.263,0.26,,●,●
3357,福島陽子,B1,全国,0,0.193,0.195,,●,●
3361,岡部浩,B1,当地,14,0.147,0.195,,,●
3362,間嶋仁志,B1,当地,26,0.185,0.235,,●,●
3370,坪内実,B1,全国,0,0.185,0.179,,●,
3372,加藤雅之,B2,当地,10,0.22,0.168,,●,
3377,塚田修二,B1,全国,0,0.23,0.192,,●,●
3381,滝沢芳行,B1,当地,19,0.177,0.163,,,
3385,渡邉睦広,A2,全国,0,0.166,0.156,,,
3388,今垣光太郎,A1,全国,0,0.153,0.169,,,
3391,鈴木茂正,B2,全国,0,,,,,
3392,小森信雄,B1,全国,9,0.19,0.225,,●,●
3401,上田隆章,B1,当地,34,0.184,0.247,,●,●
3406,中里英夫,B1,全国,9,0.167,0.209,,,●
3411,池上隆行,B1,全国,7,0.14,0.172,,,
3412,鈴木博,A1,当地,22,0.169,0.137,,,
3415,松井繁,A1,全国,9,0.147,0.141,,,
3419,栗原謙治,B2,全国,0,0.196,0.241,,●,●
3422,服部幸男,A2,全国,0,0.145,0.144,,,
3430,角浜修,B1,当地,18,0.153,0.159,,,
3432,宮迫暢彦,B1,全国,6,0.15,0.213,,,●
3434,松尾宣邦,B1,全国,9,0.177,0.183,,,●
3435,寺田千恵,A2,当地,31,0.172,0.152,,,
3436,柏野幸二,A2,全国,0,0.118,0.14,●,,
3439,大平誉史明,A1,全国,0,0.156,0.168,,,
3441,土屋太朗,B1,全国,0,0.181,0.184,,●,●
3442,宮武英司,B1,当地,35,0.175,0.172,,,
3444,香月大介,B1,全国,7,0.161,0.164,,,
3445,加藤高史,B1,全国,0,0.194,0.182,,●,●
3448,高山秀雄,B1,全国,0,0.184,0.197,,●,●
3454,井川大作,B1,当地,20,0.145,0.13,,,
3455,谷本幸司,B1,全国,0,0.163,0.186,,,●
3458,東健介,B1,全国,7,0.14,0.191,,,●
3459,中野和裕,B1,全国,9,0.155,0.186,,,●
3461,渡邊哲也,B1,当地,13,0.228,0.247,,●,●
