登番,名前,級,1コ進入,1コ負け,1コ負け時2着率,型,外進入(全国),外3着残し率(全国),丸亀外進入,丸亀外3着残し率,外採用値,6コ進入,6コ2着率,6コ3着率
4180,上野秀和,A2,41,18,,,109,0.367,4,,0.367,30,,
4607,鶴田勇雄,A2,54,25,0.48,中間,136,0.441,6,,0.441,44,0.045,0.182
4215,吉島祥之,A2,53,27,0.296,飛ぶ,128,0.453,6,,0.453,43,0.14,0.256
4391,松田祐季,A1,58,15,,,114,0.447,8,,0.447,34,,
4486,野村誠,A2,30,16,,,112,0.438,4,,0.438,32,,
3313,本吉正樹,B1,27,18,,,91,0.22,6,,0.22,27,,
4447,深川麻奈美,B1,40,25,0.28,飛ぶ,113,0.389,5,,0.389,35,,
4739,中村晃朋,A1,54,20,0.65,残す,114,0.553,22,,0.553,33,,
4561,藤山翔大,A2,39,16,,,88,0.443,0,,0.443,19,,
4505,島田賢人,A1,44,8,,,106,0.5,0,,0.5,31,,
5312,川辺郭人,B1,20,13,,,95,0.137,0,,0.137,29,,
3908,重成一人,A1,62,23,0.348,飛ぶ,115,0.496,16,,0.496,41,0.073,0.195
5050,木下雄介,A2,36,13,,,101,0.455,4,,0.455,30,,
4690,高石梨菜,B2,6,2,,,25,0.4,0,,0.4,7,,
3574,大神康司,A1,58,21,0.381,飛ぶ,7,,0,,,0,,
5207,高山敬悟,B1,20,7,,,87,0.333,6,,0.333,26,,
3539,金子順一,B1,30,21,,,100,0.18,3,,0.18,17,,
5466,成田華音,B2,0,0,,,48,0.062,0,,0.062,48,0.021,0.042
4526,池田雄祐,A2,37,13,,,103,0.35,4,,0.35,28,,
3516,吉原聖人,B1,33,26,,,90,0.189,15,,0.189,28,,
3848,川上聡介,B1,34,21,,,114,0.351,11,,0.351,45,0.111,0.111
4082,濱崎誠,B1,30,16,,,109,0.413,0,,0.413,36,,
4373,若狭奈美子,A1,62,24,0.583,残す,114,0.474,5,,0.474,39,,
4356,長岡良也,A2,43,12,,,108,0.454,4,,0.454,24,,
4550,石岡将太,A2,33,19,,,102,0.373,10,,0.373,25,,
5132,中野希一,A1,65,25,0.32,飛ぶ,117,0.607,9,,0.607,35,,
3297,藤丸光一,B1,32,25,,,45,0.2,4,,0.2,1,,
4106,坂井康嗣,B1,18,15,,,83,0.241,0,,0.241,16,,
5176,石倉拓美,B2,7,4,,,45,0.067,0,,0.067,16,,
5012,加倉侑征,B1,36,23,,,101,0.406,6,,0.406,41,0.098,0.22
5127,沼田大都,B1,24,18,,,93,0.323,0,,0.323,31,,
5303,土井歩夢,A2,34,15,,,108,0.463,0,,0.463,28,,
5386,米玉利大悟,B1,21,17,,,118,0.136,14,,0.136,51,0.0,0.098
5172,田村慶,B1,30,13,,,99,0.414,8,,0.414,35,,
5335,森陽多,B1,16,12,,,92,0.109,12,,0.109,44,0.045,0.023
4459,片岡雅裕,A2,49,17,,,115,0.365,19,,0.365,43,0.07,0.186
4989,石原翼,A2,38,13,,,107,0.393,4,,0.393,40,0.05,0.15
5016,宮田龍馬,A1,54,11,,,114,0.535,0,,0.535,43,0.07,0.279
4495,森晋太郎,B2,23,7,,,81,0.333,0,,0.333,25,,
4389,伊藤喜智,A2,34,20,,,100,0.4,2,,0.4,33,,
4086,寺本重宣,A2,43,18,,,112,0.438,0,,0.438,35,,
3843,上之晃弘,B1,30,17,,,100,0.26,4,,0.26,27,,
4640,山ノ内雅人,A2,56,23,0.652,残す,134,0.448,9,,0.448,41,0.098,0.244
3912,川原正明,B1,44,9,,,118,0.339,5,,0.339,34,,
4374,永田義紘,B1,28,17,,,108,0.278,5,,0.278,29,,
4581,吉村誠,A1,55,19,,,129,0.45,4,,0.45,39,,
4619,伏田裕隆,B1,23,13,,,140,0.45,4,,0.45,70,0.057,0.114
4631,新井英孝,B1,27,14,,,100,0.34,9,,0.34,27,,
4168,石野貴之,A1,59,17,,,101,0.465,0,,0.465,26,,
