regno,選手名,総出走,攻め走,一着,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくりゼロ,まくり系ゼロ
3557,太田和美,334,261,74,43,7,12,9,2,1,,
4199,北川潤二,315,249,82,50,10,17,4,1,0,,
5034,若林義人,319,246,98,52,4,18,16,7,1,,
4055,吉田俊彦,300,244,71,35,16,7,8,4,1,,
4286,平田さやか,298,241,48,23,8,3,7,7,0,,
5191,飛田江己,298,239,92,44,4,27,10,4,3,,
5114,小林孝彰,292,238,57,32,9,6,6,3,1,,
4856,豊田健士郎,302,238,88,43,7,18,13,6,1,,
4743,木村仁紀,298,237,69,40,7,8,11,2,1,,
3997,北村征嗣,305,236,78,47,11,10,9,1,0,,
4704,河野大,292,236,78,39,8,19,7,5,0,,
4512,高野哲史,303,235,98,57,10,18,7,5,1,,
5018,竹下大樹,308,235,88,57,9,7,10,5,0,,
4388,是澤孝宏,287,235,53,27,8,4,8,5,1,,
5136,濱野斗馬,293,235,68,40,7,11,7,3,0,,
5145,島川海輝,293,234,75,43,5,16,9,2,0,,
3489,大場敏,288,233,54,34,7,6,4,3,0,,
3554,仲口博崇,310,232,80,48,8,5,11,8,0,,
4760,山崎郡,299,231,98,56,10,13,15,3,1,,
5088,高憧四季,308,231,109,52,8,31,10,6,2,,
4366,前沢丈史,298,231,76,45,10,6,12,2,1,,
4786,佐藤博亮,294,231,87,43,15,14,9,5,1,,
4472,尾嶋一広,283,231,72,36,14,9,5,8,0,,
4640,山ノ内雅人,287,230,56,30,5,3,15,3,0,,
4324,海野康志郎,312,230,110,61,16,7,21,5,0,,
4084,杉山正樹,292,230,68,41,8,9,6,3,1,,
4193,郷原章平,280,229,73,33,13,17,5,4,1,,
4076,杉田篤光,276,229,38,23,5,4,4,2,0,,
4000,松本博昭,291,229,56,34,4,10,3,5,0,,
4189,川上剛,286,228,74,36,9,15,7,6,1,,
4030,森高一真,277,228,46,25,4,4,9,3,1,,
3711,江本真治,287,228,53,29,6,7,8,3,0,,
4040,廣瀬将亨,280,228,63,34,1,15,9,4,0,,
4420,津久井拓也,277,228,46,26,5,10,4,1,0,,
5075,中島秀治,279,228,59,22,6,20,10,1,0,,
4738,清埜翔子,285,227,66,40,10,12,2,2,0,,
4604,岩瀬裕亮,285,227,78,49,10,9,4,5,1,,
4376,藤田靖弘,280,227,60,31,7,7,9,6,0,,
5216,長谷川晴哉,286,227,66,34,7,11,11,2,1,,
5058,前原大道,281,226,93,47,12,8,15,10,1,,
5257,西丸侑太朗,288,226,74,37,9,11,12,4,1,,
3412,鈴木博,283,226,67,38,4,8,14,2,1,,
4581,吉村誠,283,226,70,37,10,5,13,4,1,,
4369,丹下将,279,226,58,28,6,11,10,1,2,,
4118,宇佐見淳,282,226,57,34,7,8,5,2,1,,
