登番,選手名,地力3連対,全国4走,実4まくり率,期待まくり率,まくり力,実4_1着率,全国4ST,ST偏差,当地4走,当地4まくり率
4538,笠置博之,57.0,38,47.4,9.3,27.3,50.0,0.147,-0.014,2,100.0
4571,菅章哉,50.7,18,55.6,6.7,26.7,61.1,0.14,-0.021,1,0.0
4561,藤山翔大,56.4,50,34.0,9.3,19.0,38.0,0.166,0.005,1,0.0
4544,松田大志郎,80.2,46,39.1,15.0,18.2,47.8,0.136,-0.025,0,
4610,佐藤大佑,57.1,40,32.5,9.3,16.9,32.5,0.147,-0.014,1,0.0
5126,山下大輝,66.1,45,33.3,11.0,16.7,33.3,0.147,-0.014,0,
5368,宮崎心之介,42.5,29,27.6,5.1,14.8,27.6,0.154,-0.007,9,44.4
5013,山下夏鈴,53.3,41,29.3,9.3,14.7,29.3,0.169,0.008,1,0.0
4438,森作雄大,43.3,48,25.0,6.2,14.4,27.1,0.122,-0.039,3,0.0
3876,中辻崇人,70.6,23,34.8,12.7,13.4,34.8,0.154,-0.007,0,
5041,荒牧凪沙,46.0,26,26.9,6.2,13.2,26.9,0.17,0.009,0,
4188,久田敏之,76.8,40,32.5,15.0,12.7,37.5,0.134,-0.027,0,
5197,中野仁照,58.4,20,30.0,9.1,11.9,30.0,0.165,0.004,0,
4207,松下一也,61.4,35,25.7,9.1,11.6,25.7,0.145,-0.016,3,0.0
5029,中亮太,61.6,45,24.4,9.1,11.5,28.9,0.133,-0.028,5,60.0
3577,向所浩二,39.3,26,23.1,5.1,11.4,23.1,0.132,-0.029,0,
5295,田上凜,35.3,33,21.2,4.6,11.4,21.2,0.165,0.004,1,0.0
4257,古川健,40.8,33,21.2,5.1,11.1,24.2,0.153,-0.008,0,
5044,渡邉健,46.6,37,21.6,6.2,11.0,21.6,0.128,-0.033,2,50.0
5075,中島秀治,63.2,52,25.0,11.0,10.9,28.8,0.147,-0.014,0,
4102,益田啓司,64.0,43,25.6,11.0,10.8,27.9,0.156,-0.005,2,0.0
4297,山田哲也,61.6,42,23.8,9.1,10.8,23.8,0.105,-0.056,1,0.0
4183,宇野弥生,44.7,38,21.1,6.2,10.7,21.1,0.14,-0.021,2,50.0
4677,片橋幸貴,63.6,25,28.0,11.0,10.6,32.0,0.152,-0.009,0,
4926,吉川貴仁,79.2,33,30.3,15.0,10.5,36.4,0.142,-0.019,1,0.0
4960,黒野元基,75.7,45,28.9,15.0,10.4,40.0,0.146,-0.015,3,66.7
4619,伏田裕隆,46.9,33,21.2,6.2,10.4,27.3,0.153,-0.008,0,
