登番,選手名,地力3連対,全国6走,実6_2着率,実6_3着率,実6_2_3,期待6_2_3,残し残差,補正2着率,全国6ST,当地6走,当地6_2_3
3352,小川晃司,39.0,199,8.5,29.1,37.7,16.9,19.3,8.3,0.172,0,
4911,片岡大地,52.6,22,9.1,45.5,54.5,25.0,17.6,8.5,0.152,1,0.0
4287,今井貴士,61.4,39,20.5,30.8,51.3,27.9,16.9,17.2,0.174,2,0.0
4739,中村晃朋,65.2,30,13.3,43.3,56.7,33.5,15.5,12.3,0.162,0,
5181,森智哉,47.0,26,11.5,30.8,42.3,18.0,15.4,9.4,0.193,1,100.0
4528,黒井達矢,66.7,31,16.1,38.7,54.8,33.5,14.4,14.3,0.174,7,57.1
4497,桑原悠,62.0,28,17.9,32.1,50.0,27.9,14.4,14.6,0.162,4,50.0
4984,森下愛梨,50.3,38,18.4,21.1,39.5,20.4,13.7,15.0,0.2,3,33.3
5023,久永祥平,61.8,39,17.9,28.2,46.2,27.9,13.2,15.4,0.185,3,66.7
5095,小原聡将,65.0,30,13.3,40.0,53.3,33.5,13.2,12.3,0.144,3,66.7
5321,一色颯輝,46.8,33,15.2,21.2,36.4,18.0,12.6,12.2,0.198,0,
4448,青木玄太,71.4,32,25.0,31.2,56.2,38.2,12.3,20.8,0.166,1,0.0
4737,竹井貴史,77.1,34,29.4,32.4,61.8,44.0,12.3,24.6,0.158,1,0.0
5046,松山裕基,38.7,28,10.7,25.0,35.7,16.9,12.2,8.8,0.183,2,0.0
4096,石橋道友,65.0,29,10.3,41.4,51.7,33.5,12.0,10.4,0.163,2,0.0
4743,木村仁紀,67.5,38,13.2,36.8,50.0,33.5,11.9,12.4,0.168,0,
4575,戸塚邦好,61.4,31,19.4,25.8,45.2,27.9,11.6,15.9,0.179,0,
5153,佐藤ほのか,31.1,32,12.5,15.6,28.1,11.4,11.4,9.6,0.152,0,
4360,庄司孝輔,56.4,31,12.9,29.0,41.9,25.0,11.4,11.2,0.177,4,50.0
3961,谷村一哉,71.3,33,21.2,33.3,54.5,38.2,11.2,18.3,0.184,0,
4002,古結宏,68.6,27,3.7,51.9,55.6,38.2,11.2,6.6,0.167,0,
5092,篠原晟弥,60.8,34,14.7,29.4,44.1,27.9,11.2,12.9,0.141,1,100.0
4544,松田大志郎,80.2,35,22.9,37.1,60.0,44.0,11.2,20.1,0.189,0,
3294,野中義生,38.2,37,10.8,21.6,32.4,16.9,11.0,9.2,0.153,3,33.3
4572,渡部悟,54.1,37,21.6,18.9,40.5,25.0,11.0,17.6,0.18,1,0.0
4066,東本勝利,64.5,39,12.8,35.9,48.7,33.5,11.0,12.1,0.168,4,75.0
4880,澤崎雄哉,54.6,29,6.9,34.5,41.4,25.0,10.8,7.2,0.181,1,0.0
4508,野間大樹,54.6,29,13.8,27.6,41.4,25.0,10.8,11.7,0.2,2,50.0
4200,早川尚人,34.5,32,9.4,18.8,28.1,12.5,10.6,7.6,0.177,1,0.0
4444,桐生順平,61.7,35,5.7,37.1,42.9,27.9,10.5,6.6,0.164,0,
4305,金子拓矢,77.7,34,20.6,38.2,58.8,44.0,10.3,18.5,0.165,0,
4114,深澤達徳,47.2,23,8.7,26.1,34.8,18.0,10.1,7.5,0.204,2,50.0
5246,楠将太郎,51.0,41,12.2,22.0,34.1,20.4,10.1,10.6,0.191,9,22.2
4320,峰竜太,73.7,25,8.0,52.0,60.0,44.0,10.0,10.1,0.149,0,
4003,表憲一,53.4,33,15.2,24.2,39.4,25.0,9.9,12.8,0.174,0,
4546,浜田亜理沙,64.7,22,27.3,22.7,50.0,33.5,9.8,20.4,0.17,3,66.7
3584,佐々木英樹,48.6,25,8.0,28.0,36.0,20.4,9.8,7.4,0.184,0,
5343,小林礼央,32.5,78,10.3,12.8,23.1,11.4,9.8,9.2,0.173,3,33.3
5125,高井雄基,53.9,36,8.3,30.6,38.9,25.0,9.8,8.2,0.202,2,0.0
3300,川崎智幸,58.1,44,15.9,25.0,40.9,27.9,9.7,14.1,0.175,3,0.0
4430,永田秀二,59.3,36,19.4,22.2,41.7,27.9,9.7,16.3,0.19,1,100.0
3747,國崎良春,57.8,28,17.9,25.0,42.9,27.9,9.7,14.6,0.163,0,
4000,松本博昭,59.9,39,10.3,30.8,41.0,27.9,9.5,9.8,0.179,1,100.0
5441,鈴木雄登,26.3,104,9.6,10.6,20.2,9.5,9.3,8.8,0.174,9,11.1
5356,長谷川暖,48.9,46,10.9,21.7,32.6,20.4,9.2,9.7,0.176,2,0.0
3661,柳瀬興志,50.8,36,11.1,22.2,33.3,20.4,9.2,9.7,0.176,2,50.0
3686,鳥居塚孝博,60.5,37,16.2,24.3,40.5,27.9,9.0,14.0,0.18,4,50.0
3251,平石和男,58.0,37,5.4,35.1,40.5,27.9,9.0,6.3,0.2,4,75.0
4888,金児隆太,47.2,21,14.3,19.0,33.3,18.0,8.9,10.7,0.181,3,0.0
4161,黒柳浩孝,51.8,33,12.1,21.2,33.3,20.4,8.9,10.3,0.162,2,50.0
