regno,選手名,F本数,区分
3054,北川幸典,1,F1
3081,岡本慎治,1,F1
3233,小畑実成,1,F1
3246,星野政彦,1,F1
3265,今村暢孝,1,F1
3284,渡邊伸太郎,1,F1
3289,高橋淳美,1,F1
3294,野中義生,1,F1
3300,川崎智幸,1,F1
3370,坪内実,1,F1
3388,今垣光太郎,1,F1
3411,池上隆行,1,F1
3432,宮迫暢彦,1,F1
3436,柏野幸二,1,F1
3499,市川哲也,1,F1
3519,冨田秀幸,1,F1
3532,柴田光,1,F1
3587,武田信一,1,F1
3589,西村勝,1,F1
3596,河上年昭,1,F1
3617,竹田広樹,1,F1
3621,天野晶夫,2,F2+
3627,井上恵一,1,F1
3645,淺田千亜希,1,F1
3653,品川賢次,1,F1
3655,本橋克洋,1,F1
3656,伯母芳恒,1,F1
3681,山谷央,1,F1
3685,荒井輝年,1,F1
3686,鳥居塚孝博,1,F1
3711,江本真治,1,F1
3713,伊藤誠二,1,F1
3748,小黒竜吾,1,F1
3777,樋口亮,1,F1
3779,原田幸哉,1,F1
3828,明石正之,1,F1
3854,吉川元浩,1,F1
3866,木山誠一,1,F1
3871,池田紫乃,1,F1
3880,浅見宗孝,1,F1
3900,香川素子,1,F1
3906,飯山晃三,1,F1
3944,山口裕二,1,F1
3949,今出晋二,1,F1
3951,石川吉鎬,1,F1
3967,鈴木茂高,1,F1
3978,齊藤仁,1,F1
3992,関口智久,1,F1
3995,重野哲之,1,F1
3999,大瀧明日香,1,F1
4014,片岡恵里,1,F1
4027,松江秀徳,1,F1
4042,丸岡正典,1,F1
4047,吉永浩則,1,F1
4053,芦澤望,1,F1
4059,入澤友治,2,F2+
4069,山本修一,1,F1
4082,濱崎誠,1,F1
4083,福島勇樹,1,F1
4093,吉田宗弘,1,F1
4095,福来剛,1,F1
4098,赤澤文香,1,F1
4109,谷津幸宏,1,F1
4110,小澤和也,1,F1
4112,大久保信一郎,1,F1
4116,川田正人,1,F1
4128,川口貴久,1,F1
4140,梶野学志,1,F1
4168,石野貴之,1,F1
4183,宇野弥生,2,F2+
4189,川上剛,1,F1
4207,松下一也,1,F1
4219,本岡勝利,1,F1
4224,大橋栄里佳,1,F1
4227,安達裕樹,1,F1
4228,吉田慎二郎,1,F1
4243,西村歩,1,F1
4264,長尾章平,1,F1
4289,落合直子,1,F1
4297,山田哲也,1,F1
4311,岡村仁,1,F1
4318,桑原将光,1,F1
4332,村上彰一,1,F1
4349,犬童千秋,1,F1
4351,里岡右貴,1,F1
4359,横川聖志,1,F1
4366,前沢丈史,1,F1
4373,若狭奈美子,1,F1
