regno,選手名,n2,壁力,判定,タイプ
4561,藤山翔大,53,-26.5,壁弱,素通し型
3952,中澤和志,40,-24.1,壁弱,食う型
4832,権藤俊光,41,-24.0,壁弱,食う型
3024,西島義則,107,-21.9,壁弱,素通し型
4441,末永由楽,40,-21.0,壁弱,素通し型
4848,仲谷颯仁,41,-19.9,壁弱,食う型
4544,松田大志郎,41,-19.7,壁弱,食う型
4824,松井洪弥,42,-19.3,壁弱,食う型
4083,福島勇樹,47,-19.3,壁弱,食う型
4686,丸野一樹,45,-18.7,壁弱,素通し型
5196,鰐部太空海,42,-18.5,壁弱,食う型
3257,田頭実,135,-17.8,壁弱,素通し型
3920,正木聖賢,60,-17.6,壁弱,素通し型
3849,中岡正彦,54,-17.4,壁弱,食う型
4500,山田康二,44,-17.0,壁弱,食う型
4811,向井田佑紀,43,-16.9,壁弱,素通し型
4514,上條嘉嗣,50,-16.8,壁弱,食う型
3159,江口晃生,109,-16.0,壁弱,素通し型
3582,吉川昭男,84,-15.9,壁弱,素通し型
4286,平田さやか,45,-15.9,壁弱,素通し型
4388,是澤孝宏,45,-15.7,壁弱,素通し型
3473,石川真二,159,-15.5,壁弱,素通し型
4874,池田奈津美,87,-15.5,壁弱,素通し型
4958,溝口海義也,50,-15.3,壁弱,食う型
4028,田村隆信,47,-15.2,壁弱,素通し型
4437,中田元泰,45,-14.7,壁弱,素通し型
3933,山地正樹,97,-14.5,壁弱,素通し型
5088,高憧四季,45,-14.4,壁弱,食う型
3415,松井繁,56,-14.4,壁弱,食う型
4243,西村歩,41,-14.2,壁弱,素通し型
5160,藤森陸斗,40,-14.2,壁弱,素通し型
4012,中村有裕,41,-13.9,壁弱,食う型
4851,関浩哉,42,-13.4,壁弱,食う型
4370,山口達也,41,-13.4,壁弱,食う型
4253,西川真人,40,-13.0,壁弱,素通し型
4403,木下大將,41,-12.9,壁弱,食う型
5051,松本純平,46,-12.8,,
3918,深井利寿,44,-12.7,,
3550,都築正治,44,-12.5,,
3643,米田隆弘,40,-12.4,,
4193,郷原章平,47,-12.3,,
4786,佐藤博亮,44,-12.0,,
4077,品田直樹,44,-12.0,,
3532,柴田光,60,-11.9,,
4737,竹井貴史,43,-11.8,,
4369,丹下将,44,-11.7,,
4931,木谷賢太,44,-11.6,,
5058,前原大道,50,-11.2,,
3590,濱野谷憲吾,40,-11.2,,
4497,桑原悠,41,-11.1,,
5132,中野希一,45,-11.1,,
3708,岡部貴司,40,-11.0,,
4324,海野康志郎,72,-10.8,,
4886,入海馨,47,-10.8,,
4458,抹香雄三,42,-10.6,,
5280,廣瀬凜,51,-10.5,,
4269,杉山裕也,44,-10.4,,
4932,新開航,41,-10.3,,
3422,服部幸男,40,-10.2,,
4545,岡村慶太,41,-10.2,,
3541,三嶌誠司,43,-10.0,,
