motor,n,2連率,3連率,展示偏差,判定
43,100,62.0,83.0,-0.027,高●
16,119,49.6,64.7,-0.018,高●
62,104,45.2,66.3,-0.006,高●
74,89,43.8,58.4,-0.024,高●
34,140,42.9,55.0,0.006,高●
23,115,40.9,53.9,-0.009,高●
65,110,40.9,60.9,-0.0,高●
30,86,40.7,48.8,-0.009,高●
39,94,40.4,62.8,-0.024,高●
71,90,40.0,63.3,-0.008,高●
59,125,40.0,55.2,-0.015,高●
52,108,39.8,53.7,-0.02,高●
15,131,39.7,55.0,-0.007,高●
33,126,39.7,52.4,-0.009,
56,104,39.4,57.7,-0.015,
14,112,39.3,59.8,-0.016,
68,125,39.2,54.4,-0.002,
49,118,39.0,55.1,-0.004,
21,124,38.7,55.6,0.01,
25,136,38.2,50.7,-0.014,
12,137,37.2,56.9,-0.002,
61,139,36.7,50.4,0.0,
72,129,36.4,52.7,-0.008,
20,116,36.2,50.0,0.005,
11,122,36.1,53.3,-0.003,
13,119,36.1,58.0,-0.001,
67,103,35.9,58.3,0.001,
36,128,35.2,53.1,0.002,
28,100,35.0,53.0,0.001,
27,125,34.4,49.6,0.01,
19,106,34.0,51.9,-0.038,
22,132,33.3,48.5,-0.008,
58,111,33.3,48.6,-0.004,
54,127,33.1,46.5,0.003,
26,103,33.0,52.4,-0.024,
18,103,33.0,51.5,-0.015,
55,116,32.8,50.0,0.008,
31,132,32.6,44.7,0.015,
57,114,31.6,43.9,-0.028,
73,139,30.9,50.4,0.007,
37,107,30.8,48.6,0.021,
50,128,30.5,45.3,0.011,
70,122,29.5,44.3,0.016,
29,142,28.2,46.5,-0.003,
75,122,27.9,51.6,0.018,
44,151,27.8,46.4,-0.01,
51,126,27.8,45.2,-0.003,
17,126,27.8,44.4,0.009,
63,123,27.6,41.5,0.009,
64,95,27.4,35.8,0.011,
66,103,27.2,40.8,0.01,
35,112,26.8,40.2,0.022,
46,115,26.1,46.1,-0.005,低▲
53,124,25.8,39.5,0.007,低▲
45,99,25.3,44.4,0.022,低▲
38,118,24.6,41.5,0.026,低▲
32,132,24.2,46.2,0.003,低▲
41,106,23.6,33.0,0.01,低▲
60,102,22.5,45.1,0.025,低▲
48,108,22.2,41.7,0.013,低▲
24,95,22.1,40.0,-0.009,低▲
47,104,21.2,40.4,0.021,低▲
69,77,20.8,32.5,-0.007,低▲
40,99,20.2,37.4,0.03,低▲
42,95,15.8,35.8,0.038,低▲
