regno,選手名,外3着率,外3着源,艇番5乗艇,艇番5率,艇番6乗艇,艇番6率,残し率,型,6コ2着率,6コ3着率
2538,高橋二朗,0.114,全国,32.0,0.188,22.0,0.091,,,,
2878,富山弘幸,0.174,全国,35.0,0.457,29.0,0.276,,,,
3024,西島義則,0.0,全国,26.0,0.538,35.0,0.714,0.34,,,
3054,北川幸典,0.227,全国,24.0,0.458,37.0,0.189,,,,
3070,山室展弘,0.25,全国,19.0,0.474,,,,,,
3072,西田靖,1.0,全国,32.0,0.281,26.0,0.385,0.29,飛ぶ型,,
3075,中村裕将,0.157,全国,35.0,0.371,30.0,0.233,,,,
3081,岡本慎治,0.164,全国,20.0,0.3,21.0,0.238,,,,
3105,内山文典,0.244,全国,32.0,0.406,30.0,0.267,,,,
3107,平岡重典,0.148,全国,22.0,0.136,16.0,0.25,,,,
3156,金子良昭,0.13,全国,26.0,0.192,24.0,0.083,,,,
3158,島川光男,0.182,全国,31.0,0.452,33.0,0.273,0.55,,,
3159,江口晃生,,,22.0,0.773,22.0,0.545,0.519,,,
3161,古場輝義,0.191,全国,34.0,0.471,27.0,0.519,0.433,,,
3175,渡辺千草,0.147,全国,34.0,0.235,27.0,0.111,,,,
3176,長谷川巌,0.16,全国,16.0,0.312,21.0,0.095,,,,
3202,三品隆浩,0.067,全国,32.0,0.156,31.0,0.226,,,,
3207,田村美和,0.081,全国,24.0,0.125,20.0,0.1,,,,
3211,北川敏弘,0.09,全国,27.0,0.111,29.0,0.172,,,,
3212,亀本勇樹,0.162,全国,27.0,0.222,29.0,0.276,,,,
3224,栗山繁洋,0.163,全国,34.0,0.206,23.0,0.174,,,,
3226,浦田信義,0.194,全国,34.0,0.382,29.0,0.172,,,,
3232,山川美由紀,0.288,全国,27.0,0.222,27.0,0.481,,,,
3233,小畑実成,0.181,全国,27.0,0.185,30.0,0.133,,,,
3246,星野政彦,0.086,全国,,,,,,,,
3251,平石和男,0.232,全国,44.0,0.386,42.0,0.405,0.387,,,
3256,三角哲男,0.217,全国,35.0,0.457,36.0,0.389,0.545,,,
3257,田頭実,0.2,全国,26.0,0.692,38.0,0.605,,,,
3265,今村暢孝,,,24.0,0.583,27.0,0.556,0.412,,,
3268,森竜也,0.115,全国,36.0,0.139,29.0,0.241,,,,
3277,齋藤勇,0.108,全国,37.0,0.297,25.0,0.08,,,,
3282,池本輝明,0.189,全国,34.0,0.176,23.0,0.261,,,,
3284,渡邊伸太郎,0.183,全国,33.0,0.303,27.0,0.333,,,,
3286,坂東満,0.156,全国,20.0,0.25,25.0,0.12,,,,
3289,高橋淳美,0.019,全国,20.0,0.0,15.0,0.0,,,,
3293,宮内由紀英,0.211,全国,31.0,0.226,28.0,0.25,,,,
3294,野中義生,0.2,全国,27.0,0.37,31.0,0.387,,,,
3297,藤丸光一,0.116,全国,30.0,0.333,24.0,0.333,,,,
3300,川崎智幸,0.212,全国,41.0,0.415,39.0,0.436,,,0.175,0.275
3302,谷川里江,0.114,全国,20.0,0.35,25.0,0.16,,,,
3303,渡辺豊,0.143,全国,41.0,0.293,43.0,0.116,0.345,,,
3304,烏野賢太,0.236,全国,39.0,0.436,44.0,0.295,,,,
3305,小野信樹,0.083,全国,27.0,0.185,25.0,0.04,,,,
3306,武田正紀,0.14,全国,32.0,0.125,22.0,0.227,,,,
3313,本吉正樹,0.112,全国,31.0,0.258,24.0,0.125,,,,
3315,広瀬聖仁,0.162,全国,26.0,0.308,23.0,0.304,,,,
3319,山崎義明,0.209,全国,36.0,0.472,33.0,0.273,,,,
3327,野長瀬正孝,0.217,全国,30.0,0.533,34.0,0.618,,,,
3333,丸尾義孝,0.277,全国,39.0,0.462,39.0,0.462,0.636,残す型,,
3334,角ひとみ,0.203,全国,37.0,0.297,40.0,0.225,0.28,飛ぶ型,,
3339,泉具巳,0.09,全国,32.0,0.188,24.0,0.25,,,,
3340,池田雷太,0.093,全国,41.0,0.268,28.0,0.143,,,,
3346,宮本裕之,0.114,全国,,,,,,,,
3349,吉田一郎,0.207,全国,32.0,0.344,34.0,0.5,0.542,,,
3350,藤本佳史,0.175,全国,29.0,0.345,31.0,0.226,,,,
3352,小川晃司,0.278,全国,64.0,0.406,136.0,0.375,,,0.099,0.276
3353,前田光昭,0.099,全国,22.0,0.091,20.0,0.05,,,,
3355,橋谷田佳織,0.059,全国,,,,,,,,
3357,福島陽子,0.112,全国,35.0,0.2,28.0,0.036,,,,
3361,岡部浩,0.102,全国,31.0,0.161,28.0,0.107,,,,
3362,間嶋仁志,0.054,全国,33.0,0.424,36.0,0.444,0.435,,,
3370,坪内実,0.101,全国,31.0,0.194,22.0,0.091,,,,
3372,加藤雅之,0.057,全国,20.0,0.0,23.0,0.087,,,,
3377,塚田修二,0.133,全国,33.0,0.273,27.0,0.296,,,,
3381,滝沢芳行,0.13,全国,37.0,0.459,25.0,0.24,,,,
3385,渡邉睦広,0.202,全国,37.0,0.459,32.0,0.375,0.35,,,
3388,今垣光太郎,0.182,全国,28.0,0.464,29.0,0.448,,,,
3391,鈴木茂正,0.0,全国,,,,,,,,
3392,小森信雄,0.129,全国,33.0,0.212,30.0,0.1,,,,
3401,上田隆章,0.135,全国,36.0,0.417,26.0,0.077,,,,
3406,中里英夫,0.197,全国,37.0,0.216,35.0,0.4,0.7,残す型,,
3411,池上隆行,0.124,全国,32.0,0.281,28.0,0.107,,,,
3412,鈴木博,0.246,全国,40.0,0.6,41.0,0.537,,,0.186,0.233
3414,加瀬智宏,0.25,全国,,,,,,,,
3415,松井繁,0.242,全国,41.0,0.268,36.0,0.444,,,,
3419,栗原謙治,0.024,全国,,,,,,,,
3422,服部幸男,0.155,全国,33.0,0.455,44.0,0.432,0.429,,,
3430,角浜修,0.125,全国,38.0,0.316,30.0,0.1,,,,
3432,宮迫暢彦,0.156,全国,31.0,0.226,25.0,0.28,,,,
3434,松尾宣邦,0.15,全国,37.0,0.297,32.0,0.188,,,,
3435,寺田千恵,0.241,全国,35.0,0.371,34.0,0.382,,,,
3436,柏野幸二,0.247,全国,31.0,0.516,29.0,0.207,,,,
3439,大平誉史明,0.173,全国,35.0,0.429,35.0,0.371,0.524,,,
3441,土屋太朗,0.235,全国,35.0,0.371,28.0,0.214,,,,
3442,宮武英司,0.207,全国,32.0,0.312,26.0,0.154,,,,
3444,香月大介,0.088,全国,25.0,0.24,15.0,0.133,,,,
3445,加藤高史,0.231,全国,29.0,0.414,29.0,0.345,,,,
3448,高山秀雄,0.127,全国,22.0,0.182,17.0,0.235,,,,
3454,井川大作,0.156,全国,30.0,0.567,34.0,0.088,,,,
3455,谷本幸司,0.216,全国,34.0,0.412,36.0,0.222,,,,
3458,東健介,0.088,全国,30.0,0.2,24.0,0.0,,,,
3459,中野和裕,0.083,全国,32.0,0.125,18.0,0.056,,,,
3461,渡邊哲也,0.044,全国,18.0,0.056,25.0,0.04,,,,
3462,竹上真司,0.0,全国,,,,,,,,
3463,乙津康志,0.21,全国,40.0,0.275,25.0,0.28,,,,
