regno,選手名,slow_st,slow_src,slow_flag,dash_st,dash_src,dash_flag
2538,高橋二朗,0.211,全国,遅れ,0.21,全国,遅れ
2878,富山弘幸,0.169,全国,,0.175,全国,
3024,西島義則,0.164,全国,,0.137,全国,
3054,北川幸典,0.174,全国,,0.183,全国,遅れ
3070,山室展弘,0.162,全国,,0.133,全国,
3072,西田靖,0.189,当地,遅れ,,全国,
3075,中村裕将,0.127,全国,巧者,0.13,全国,巧者
3081,岡本慎治,0.166,全国,,0.172,全国,
3105,内山文典,0.174,全国,,0.171,全国,
3107,平岡重典,0.174,全国,,0.178,全国,
3156,金子良昭,0.167,全国,,0.185,全国,遅れ
3158,島川光男,0.146,全国,,0.149,全国,
3159,江口晃生,0.156,全国,,,全国,
3161,古場輝義,0.188,全国,遅れ,0.169,全国,
3175,渡辺千草,0.159,全国,,0.154,全国,
3176,長谷川巌,0.177,全国,,0.207,全国,遅れ
3202,三品隆浩,0.186,全国,遅れ,0.212,全国,遅れ
3207,田村美和,0.196,全国,遅れ,0.154,全国,
3211,北川敏弘,0.18,全国,,0.144,当地,
3212,亀本勇樹,0.169,全国,,0.158,全国,
3224,栗山繁洋,0.195,全国,遅れ,0.196,全国,遅れ
3226,浦田信義,0.179,全国,,0.188,全国,遅れ
3232,山川美由紀,0.152,全国,,0.163,全国,
3233,小畑実成,0.16,全国,,0.172,全国,
3246,星野政彦,0.179,全国,,0.154,全国,
3251,平石和男,0.184,当地,遅れ,0.21,当地,遅れ
3256,三角哲男,0.134,全国,,0.161,全国,
3257,田頭実,0.108,当地,巧者,0.168,全国,
3265,今村暢孝,0.144,全国,,,全国,
3268,森竜也,0.157,全国,,0.177,全国,
3273,石田豪,0.186,全国,遅れ,0.192,全国,遅れ
3277,齋藤勇,0.174,全国,,0.18,全国,
3282,池本輝明,0.186,全国,遅れ,0.216,全国,遅れ
3284,渡邊伸太郎,0.188,当地,遅れ,0.215,全国,遅れ
3286,坂東満,0.147,全国,,0.184,全国,遅れ
3289,高橋淳美,0.181,全国,遅れ,0.201,全国,遅れ
3293,宮内由紀英,0.187,全国,遅れ,0.204,当地,遅れ
3294,野中義生,0.178,全国,,0.144,全国,
3297,藤丸光一,0.237,当地,遅れ,0.21,全国,遅れ
3300,川崎智幸,0.143,全国,,0.164,全国,
3302,谷川里江,0.175,全国,,0.172,全国,
3303,渡辺豊,0.192,全国,遅れ,0.208,全国,遅れ
3304,烏野賢太,0.173,全国,,0.176,全国,
3305,小野信樹,0.171,全国,,0.159,全国,
3306,武田正紀,0.162,全国,,0.15,全国,
3313,本吉正樹,0.178,全国,,0.183,全国,遅れ
3315,広瀬聖仁,0.154,全国,,0.197,全国,遅れ
3319,山崎義明,0.167,全国,,0.155,全国,
