登番,全国1コ走数,全国逃げ率
2538,24,4.2
2878,39,43.6
3024,99,48.5
3054,27,44.4
3070,22,54.5
3072,47,29.8
3075,34,35.3
3081,23,30.4
3105,29,37.9
3107,22,27.3
3156,29,20.7
3158,50,56.0
3159,60,51.7
3161,42,26.2
3175,24,8.3
3176,23,30.4
3202,35,25.7
3207,27,11.1
3211,28,17.9
3212,30,36.7
3224,24,20.8
3226,36,38.9
3232,36,63.9
3233,31,38.7
3251,56,44.6
3256,45,51.1
3257,47,72.3
3265,62,46.8
3268,31,48.4
3277,33,27.3
3282,30,43.3
3284,29,58.6
3286,24,41.7
3289,22,9.1
3293,26,11.5
3294,28,21.4
3297,29,20.7
3300,55,72.7
3302,21,33.3
3303,43,41.9
3304,55,63.6
3305,29,48.3
3306,27,14.8
3313,26,34.6
3315,22,18.2
3319,35,34.3
3327,48,58.3
3333,57,66.7
3334,52,53.8
3339,29,27.6
3340,31,35.5
3349,51,52.9
3350,35,62.9
3357,30,20.0
3361,24,20.8
3362,42,50.0
3370,23,43.5
3372,20,15.0
3377,26,3.8
3381,30,40.0
3385,38,55.3
3388,42,66.7
3392,31,29.0
3401,27,44.4
3406,47,48.9
3411,26,26.9
3412,60,68.3
3415,50,68.0
3422,61,72.1
3430,30,46.7
3432,29,27.6
3434,33,51.5
3435,57,68.4
3436,38,63.2
3439,44,59.1
3441,30,23.3
3442,23,34.8
3445,30,40.0
3448,27,37.0
3454,36,33.3
3455,37,48.6
3458,23,34.8
3459,21,0.0
3463,33,21.2
3467,25,16.0
3470,30,36.7
3471,26,26.9
3473,113,49.6
3474,33,27.3
3475,39,51.3
3477,27,22.2
3478,30,56.7
3482,47,42.6
3484,51,56.9
3489,55,63.6
3497,31,64.5
3499,51,82.4
3502,35,45.7
3503,28,28.6
3505,43,51.2
3507,26,38.5
3508,29,55.2
3509,21,19.0
3514,50,68.0
3516,33,21.2
3517,33,54.5
3519,28,28.6
3523,23,21.7
3527,39,41.0
3528,30,20.0
3532,42,61.9
3535,27,51.9
3539,32,31.2
3541,56,57.1
3542,35,31.4
3543,23,43.5
3544,21,4.8
3546,32,18.8
3548,56,55.4
3550,42,57.1
3551,22,22.7
3554,78,65.4
3556,63,74.6
3557,77,62.3
3558,31,54.8
3562,55,52.7
3563,36,47.2
3564,25,28.0
3566,29,44.8
3568,31,41.9
3569,34,20.6
3572,44,43.2
3574,55,65.5
3576,52,59.6
3577,26,38.5
3578,23,17.4
3579,22,45.5
3580,30,30.0
3581,35,40.0
3582,47,57.4
3583,22,0.0
3584,34,26.5
3587,32,31.2
3589,24,50.0
3590,61,68.9
3591,20,25.0
3596,24,45.8
3602,26,23.1
3604,28,39.3
3605,30,40.0
3606,48,35.4
3611,45,53.3
3612,73,54.8
3613,51,62.7
3614,30,16.7
3615,32,37.5
3616,28,50.0
3617,24,37.5
3618,57,64.9
3619,38,39.5
3620,28,39.3
3621,33,42.4
3623,76,72.4
3627,44,45.5
3629,47,68.1
3635,35,40.0
3637,28,28.6
3641,47,61.7
3642,20,30.0
3643,35,54.3
3647,28,14.3
3652,23,34.8
3653,24,33.3
3654,52,65.4
3655,53,52.8
3656,32,31.2
3659,30,53.3
3660,21,19.0
3661,45,42.2
3662,42,47.6
3663,44,52.3
3664,34,44.1
3679,49,79.6
3680,26,15.4
3681,28,42.9
3684,41,56.1
3685,31,38.7
3686,50,66.0
3687,31,64.5
3690,31,32.3
3692,33,30.3
3696,27,25.9
3699,21,19.0
3701,21,28.6
3703,48,52.1
3704,21,23.8
3708,36,44.4
3710,32,34.4
3711,67,52.2
3712,32,56.2
3713,39,56.4
3714,28,46.4
3715,27,37.0
3716,51,60.8
3717,30,60.0
3718,30,66.7
3719,48,60.4
3721,45,77.8
3722,21,4.8
3726,21,9.5
3730,30,53.3
3731,38,42.1
3737,54,68.5
3740,57,61.4
3741,23,39.1
3742,27,33.3
3743,65,52.3
3744,63,74.6
3745,22,50.0
3746,56,57.1
3747,28,60.7
3748,26,19.2
3752,28,28.6
3757,27,44.4
3761,31,67.7
3769,37,51.4
3771,37,62.2
3772,28,39.3
3773,28,35.7
3775,29,24.1
3776,23,4.3
3777,52,59.6
3779,56,73.2
3783,55,49.1
3784,28,35.7
3787,23,30.4
3788,25,56.0
3790,28,25.0
3792,41,51.2
3793,25,36.0
3796,25,36.0
3797,29,17.2
3800,34,44.1
3801,20,50.0
3804,29,34.5
3805,32,43.8
3807,30,36.7
3808,27,29.6
3811,56,62.5
3812,34,29.4
3813,52,71.2
3814,30,30.0
3822,59,72.9
3825,22,31.8
3826,46,58.7
3827,29,13.8
3828,31,45.2
3831,31,38.7
3833,70,74.3
3834,28,39.3
3837,43,74.4
3838,29,41.4
3839,32,25.0
3841,49,53.1
3842,26,57.7
3843,34,47.1
3845,24,50.0
3848,35,40.0
3849,66,80.3
3850,30,56.7
3852,29,44.8
3853,47,74.5
3854,51,62.7
3859,28,25.0
3860,27,14.8
3863,31,29.0
3866,25,28.0
3867,25,32.0
3868,26,30.8
3869,25,40.0
3870,30,36.7
3872,54,63.0
3873,26,46.2
3874,51,66.7
3875,26,61.5
3876,46,71.7
3878,22,31.8
3880,33,30.3
3882,30,36.7
3885,38,63.2
3888,47,57.4
3889,25,28.0
3891,29,24.1
3892,31,61.3
3893,29,48.3
3896,26,53.8
3897,43,67.4
