登番,ST,走数,出所
2538,0.21,177,全国
2878,0.166,10,当地
3024,0.162,26,当地
3054,0.177,37,当地
3070,0.151,11,当地
3072,0.172,10,当地
3075,0.131,212,全国
3081,0.152,10,当地
3105,0.173,185,全国
3107,0.172,158,全国
3156,0.169,174,全国
3158,0.147,231,全国
3159,0.156,175,全国
3161,0.156,10,当地
3175,0.157,19,当地
3176,0.17,16,当地
3202,0.201,209,全国
3207,0.178,154,全国
3211,0.179,181,全国
3212,0.165,48,当地
3224,0.191,194,全国
3226,0.186,207,全国
3232,0.156,180,全国
3233,0.144,20,当地
3246,0.17,10,当地
3251,0.19,287,全国
3256,0.145,234,全国
3257,0.14,21,当地
3265,0.137,24,当地
3268,0.167,205,全国
3273,0.178,19,全国
3277,0.174,18,当地
3282,0.222,18,当地
3284,0.195,188,全国
3286,0.162,144,全国
3289,0.19,126,全国
3293,0.196,175,全国
3294,0.158,173,全国
3297,0.211,19,当地
3300,0.152,256,全国
3302,0.174,131,全国
3303,0.219,10,当地
3304,0.184,10,当地
3305,0.169,16,当地
3306,0.145,10,当地
3313,0.183,178,全国
3315,0.176,149,全国
3319,0.163,209,全国
3327,0.163,11,当地
3333,0.146,270,全国
3334,0.204,37,当地
3339,0.187,10,当地
3340,0.153,11,当地
3346,0.169,84,全国
3349,0.159,238,全国
3350,0.156,21,当地
3352,0.178,18,当地
3353,0.168,108,全国
3355,0.283,18,当地
3357,0.167,10,当地
3361,0.178,10,当地
3362,0.188,225,全国
3370,0.181,169,全国
3372,0.152,10,当地
3377,0.217,10,当地
3381,0.149,28,当地
3385,0.171,28,当地
3388,0.153,202,全国
3392,0.195,179,全国
3401,0.244,18,当地
3406,0.176,244,全国
3411,0.159,47,当地
3412,0.154,22,当地
3414,0.164,42,全国
3415,0.139,239,全国
3419,0.211,69,全国
3422,0.134,18,当地
3430,0.155,57,当地
3432,0.207,10,当地
3434,0.2,19,当地
3435,0.155,28,当地
3436,0.126,203,全国
3439,0.125,16,当地
3441,0.187,204,全国
3442,0.163,19,当地
3444,0.174,145,全国
3445,0.182,177,全国
3448,0.19,164,全国
3454,0.131,15,当地
3455,0.188,10,当地
3458,0.17,18,当地
3459,0.196,27,当地
3461,0.205,126,全国
3462,0.175,33,全国
3463,0.196,10,当地
3467,0.181,161,全国
3470,0.155,21,当地
3471,0.174,180,全国
3473,0.13,21,当地
3474,0.183,214,全国
3475,0.192,181,全国
3477,0.19,189,全国
3478,0.163,211,全国
3482,0.197,10,当地
3484,0.164,16,当地
3489,0.157,283,全国
3497,0.171,10,当地
3499,0.128,23,当地
3502,0.165,208,全国
3503,0.163,198,全国
3505,0.142,227,全国
3507,0.201,169,全国
3508,0.167,10,当地
3509,0.142,150,全国
3514,0.167,11,当地
3516,0.181,21,当地
3517,0.152,208,全国
3518,0.222,10,当地
3519,0.167,10,当地
3523,0.193,174,全国
3527,0.166,228,全国
3528,0.226,10,当地
3532,0.156,181,全国
3535,0.191,189,全国
3538,0.213,120,全国
3539,0.179,19,当地
3541,0.162,269,全国
3542,0.169,10,当地
3543,0.148,11,当地
3544,0.202,164,全国
3546,0.18,202,全国
3548,0.121,265,全国
3550,0.158,239,全国
3551,0.21,18,当地
3554,0.171,18,当地
3556,0.132,18,当地
3557,0.125,18,当地
3558,0.159,183,全国
3562,0.165,41,当地
3563,0.148,11,当地
3564,0.17,207,全国
3566,0.191,207,全国
3567,0.148,10,当地
3568,0.143,19,当地
3569,0.194,10,当地
3572,0.198,239,全国
3574,0.162,20,当地
3576,0.167,230,全国
3577,0.158,168,全国
3578,0.183,159,全国
3579,0.175,158,全国
3580,0.193,199,全国
3581,0.193,215,全国
3582,0.177,15,当地
3583,0.185,161,全国
3584,0.162,29,当地
3587,0.164,218,全国
3589,0.158,171,全国
3590,0.137,271,全国
3591,0.193,132,全国
3596,0.168,166,全国
3602,0.151,10,当地
3604,0.191,184,全国
3605,0.191,16,当地
3606,0.166,236,全国
3611,0.141,218,全国
3612,0.138,300,全国
3613,0.149,265,全国
3614,0.174,19,当地
3615,0.168,42,当地
3616,0.158,189,全国
3617,0.187,179,全国
3618,0.171,38,当地
3619,0.187,216,全国
3620,0.176,182,全国
3621,0.173,189,全国
3623,0.089,10,当地
3627,0.181,238,全国
3629,0.14,240,全国
3630,0.167,107,全国
3631,0.184,115,全国
3635,0.165,215,全国
3637,0.184,199,全国
3641,0.168,10,当地
3642,0.187,168,全国
3643,0.175,216,全国
3645,0.148,95,全国
3647,0.175,19,当地
3652,0.185,176,全国
3653,0.197,129,全国
3654,0.159,18,当地
3655,0.178,260,全国
3656,0.166,194,全国
3659,0.165,179,全国
3660,0.201,157,全国
3661,0.171,244,全国
3662,0.124,10,当地
3663,0.152,48,当地
