touban,n1c,win1c
2538,24,2
2878,38,16
3024,93,44
3054,24,10
3070,19,11
3072,43,13
3075,31,11
3081,17,5
3105,27,10
3107,20,4
3156,28,5
3158,47,27
3159,56,29
3161,35,8
3175,23,2
3176,21,7
3202,35,9
3207,27,3
3211,27,5
3212,29,9
3224,22,5
3226,35,14
3232,29,17
3233,29,11
3246,10,3
3251,54,23
3256,41,22
3257,48,35
3265,53,22
3268,30,15
3273,2,1
3277,32,10
3282,29,13
3284,26,14
3286,22,9
3289,22,2
3293,25,3
3294,27,6
3297,25,5
3300,54,38
3302,22,8
3303,42,16
3304,50,31
3305,26,11
3306,27,4
3313,26,9
3315,21,4
3319,34,13
3327,45,25
3333,57,36
3334,51,25
3339,29,7
3340,31,9
3346,11,1
3349,45,23
3350,35,21
3353,10,2
3355,12,0
3357,30,6
3361,24,5
3362,38,19
3370,21,8
3372,20,3
3377,25,1
3381,28,9
3385,36,21
3388,39,26
3392,32,10
3401,27,13
3406,43,22
3411,25,7
3412,59,40
3414,6,2
3415,55,38
3419,10,1
3422,59,40
3430,29,13
3432,28,7
3434,29,14
3435,54,37
3436,35,23
3439,41,25
3441,30,7
3442,23,8
3444,14,5
3445,27,12
3448,22,9
3454,34,11
3455,35,17
3458,21,6
3459,17,0
3461,13,5
3462,4,3
3463,31,6
3467,25,4
3470,31,11
3471,23,6
3473,106,52
3474,31,8
3475,41,20
3477,26,4
3478,26,14
3482,48,21
3484,50,29
3489,49,33
3497,30,20
3499,49,38
3502,37,17
3503,27,7
3505,40,18
3507,26,9
3508,28,17
3509,21,4
3514,39,27
3516,30,6
3517,31,16
3518,19,2
3519,25,6
3523,19,5
3527,37,14
3528,27,6
3532,39,24
3535,24,13
3538,16,2
3539,29,9
3541,52,29
3542,33,11
3543,23,10
3544,24,1
3546,30,6
3548,54,31
3550,37,19
3551,19,5
3554,77,52
3556,66,50
3557,75,47
3558,29,15
3562,52,28
3563,38,17
3564,23,7
3566,25,11
3567,20,6
3568,29,12
3569,34,7
3572,40,14
3574,55,36
3576,48,29
3577,27,10
3578,20,3
3579,21,11
3580,31,10
3581,35,14
3582,41,23
3583,21,0
3584,34,8
3587,31,10
3589,24,11
3590,60,41
3591,21,5
3596,22,10
3602,24,5
3604,27,12
3605,28,11
3606,45,16
3611,45,24
3612,68,40
3613,47,28
3614,26,5
3615,31,12
3616,26,12
3617,24,10
3618,57,37
3619,35,14
3620,26,9
3621,26,11
3623,72,52
3627,41,19
3629,42,29
3630,15,2
3631,12,1
3635,34,15
3637,24,8
3641,45,24
3642,18,7
3643,34,18
3645,12,4
3647,29,4
3652,21,7
3653,22,7
3654,51,34
3655,50,26
3656,33,11
3659,31,16
3660,22,4
3661,42,19
3662,39,18
3663,39,19
3664,31,12
3679,46,35
3680,25,3
3681,25,11
3684,39,23
3685,29,13
3686,46,30
3687,27,16
3690,29,11
3692,27,8
3696,25,6
3699,18,1
3701,18,4
3703,45,23
3704,21,5
3708,30,15
3710,30,11
3711,61,31
3712,32,19
3713,32,17
3714,25,14
3715,27,9
3716,50,30
3717,26,14
3718,29,19
3719,46,29
3721,48,38
3722,20,1
3726,20,2
3730,28,16
3731,31,12
3736,3,3
3737,53,39
3740,51,31
3741,21,8
3742,26,9
3743,61,32
3744,63,45
3745,20,9
3746,50,32
3747,23,12
3748,25,4
3752,25,7
3757,24,10
3761,32,21
3769,35,17
3771,36,22
3772,29,12
3773,27,10
3775,29,7
3776,23,1
3777,43,25
3778,18,3
3779,56,40
3783,56,28
3784,24,8
3787,22,6
3788,22,12
3790,28,8
3792,34,19
3793,24,8
3796,23,9
3797,29,5
3800,29,13
3801,20,10
3804,28,9
3805,30,12
3807,30,11
