regno,選手名,n2,nige,exp,壁力,負けn,自分勝ち率,まくり決着率,壁,弱タイプ
3024,西島義則,107,0.3364485981308411,0.5568918005807163,-22.0,71.0,0.394,0.69,壁弱●,素通し型
3072,西田靖,132,0.4318181818181818,0.5230367834543047,-9.1,75.0,0.08,0.8,,
3156,金子良昭,45,0.5111111111111111,0.5433394568480864,-3.2,22.0,0.091,0.682,,
3159,江口晃生,109,0.4036697247706422,0.5613139173173364,-15.8,65.0,0.277,0.677,壁弱●,素通し型
3161,古場輝義,42,0.5,0.5337156443744187,-3.4,21.0,0.095,0.905,,
3226,浦田信義,40,0.775,0.5709299161218243,20.4,9.0,0.0,0.444,壁強●,
3251,平石和男,45,0.5111111111111111,0.5673945540522305,-5.6,22.0,0.409,0.545,,
3256,三角哲男,43,0.5116279069767442,0.5515666281825016,-4.0,21.0,0.524,0.429,,
3257,田頭実,135,0.37037037037037035,0.5461303792652389,-17.6,85.0,0.365,0.729,壁弱●,素通し型
3265,今村暢孝,102,0.5,0.5644809804842454,-6.4,51.0,0.235,0.647,,
3268,森竜也,42,0.47619047619047616,0.5356449702470691,-5.9,22.0,0.227,0.5,,
3297,藤丸光一,50,0.48,0.5284806056264221,-4.8,26.0,0.115,0.615,,
3300,川崎智幸,48,0.625,0.5779413432998857,4.7,18.0,0.389,0.5,,
3303,渡辺豊,41,0.5853658536585366,0.5137842158386898,7.2,17.0,0.059,0.471,,
3304,烏野賢太,48,0.5625,0.578465644589239,-1.6,21.0,0.238,0.619,,
3327,野長瀬正孝,47,0.5531914893617021,0.5716652103499982,-1.8,21.0,0.238,0.619,,
3333,丸尾義孝,42,0.5952380952380952,0.5869987613595635,0.8,17.0,0.412,0.529,,
3349,吉田一郎,46,0.6086956521739131,0.5780938990412172,3.1,18.0,0.5,0.667,,
3362,間嶋仁志,80,0.4375,0.5352957056519799,-9.8,45.0,0.267,0.667,,
3412,鈴木博,41,0.4634146341463415,0.5429950147623991,-8.0,22.0,0.182,0.727,,
3415,松井繁,56,0.5357142857142857,0.6763714471179012,-14.1,26.0,0.423,0.423,壁弱●,食う型
3422,服部幸男,40,0.525,0.6241794386174583,-9.9,19.0,0.368,0.842,,
3430,角浜修,40,0.5,0.5784190269614344,-7.8,20.0,0.25,0.55,,
3439,大平誉史明,40,0.525,0.5765575627149022,-5.2,19.0,0.474,0.421,,
3473,石川真二,159,0.42138364779874216,0.5737461108837997,-15.2,92.0,0.261,0.652,壁弱●,素通し型
3474,松瀬弘美,40,0.575,0.549539802333616,2.5,17.0,0.353,0.706,,
3482,金子猛志,43,0.46511627906976744,0.526184437727882,-6.1,23.0,0.13,0.739,,
3489,大場敏,43,0.5813953488372093,0.5623600604683315,1.9,18.0,0.167,0.722,,
3532,柴田光,60,0.45,0.5667688805784594,-11.7,33.0,0.455,0.606,,
3539,金子順一,40,0.55,0.5363055024882806,1.4,18.0,0.167,0.667,,
3541,三嶌誠司,43,0.5116279069767442,0.6078327736920145,-9.6,21.0,0.238,0.571,,
3542,清水紀克,132,0.4393939393939394,0.5316892713031478,-9.2,74.0,0.081,0.784,,
3550,都築正治,43,0.4883720930232558,0.598798699943225,-11.0,22.0,0.364,0.682,,
3554,仲口博崇,56,0.5892857142857143,0.577504792355955,1.2,23.0,0.304,0.652,,
3557,太田和美,53,0.7358490566037735,0.6085645778641278,12.7,14.0,0.286,0.571,壁強●,
3562,山下和彦,45,0.5333333333333333,0.5460174299814483,-1.3,21.0,0.286,0.524,,
3563,堤昇,43,0.6046511627906976,0.5495795723255933,5.5,17.0,0.235,0.588,,
3574,大神康司,113,0.48672566371681414,0.5461677818172171,-5.9,58.0,0.362,0.569,,
3576,白水勝也,45,0.5777777777777777,0.5839484131228576,-0.6,19.0,0.368,0.632,,
3582,吉川昭男,84,0.40476190476190477,0.5627658696472466,-15.8,50.0,0.34,0.58,壁弱●,素通し型
3590,濱野谷憲吾,40,0.55,0.6589755094019341,-10.9,18.0,0.5,0.722,,
3612,馬袋義則,62,0.5483870967741935,0.5568265171753157,-0.8,28.0,0.179,0.821,,
3614,谷勝幸,42,0.6190476190476191,0.5733975296760404,4.6,16.0,0.062,0.875,,
3618,海野ゆかり,43,0.627906976744186,0.5622342617567045,6.6,16.0,0.562,0.812,,
