motor,n,二連率,三連率,展示偏差,判定,暫定
44,97,46.4,67.0,-0.024,高●,
41,116,44.8,63.8,-0.021,高●,
51,114,43.9,58.8,-0.01,高●,
39,118,42.4,55.1,0.001,高●,
37,121,42.1,60.3,-0.019,高●,
49,107,42.1,52.3,-0.021,高●,
36,101,41.6,59.4,-0.004,高●,
22,127,40.9,62.2,-0.015,高●,
21,108,40.7,57.4,-0.014,高●,
40,113,40.7,57.5,-0.021,高●,
24,104,40.4,64.4,0.001,高●,
38,104,39.4,56.7,-0.006,高●,
25,99,38.4,51.5,-0.011,高●,
16,110,38.2,59.1,0.007,,
32,95,37.9,60.0,-0.022,,
58,117,37.6,50.4,-0.004,,
18,96,37.5,56.2,-0.006,,
73,119,37.0,54.6,-0.0,,
31,114,36.8,56.1,0.007,,
56,111,36.0,60.4,-0.032,,
15,100,36.0,54.0,-0.014,,
13,99,35.4,48.5,0.01,,
28,119,35.3,54.6,-0.01,,
50,125,35.2,50.4,-0.012,,
64,125,35.2,49.6,-0.005,,
53,103,35.0,49.5,-0.005,,
60,105,34.3,54.3,-0.007,,
27,120,34.2,50.8,0.026,,
72,141,34.0,53.2,-0.013,,
20,103,34.0,47.6,-0.017,,
52,109,33.9,47.7,-0.0,,
46,128,33.6,43.8,0.017,,
68,134,33.6,46.3,-0.004,,
61,115,33.0,47.8,0.007,,
35,112,33.0,57.1,-0.027,,
67,109,33.0,48.6,-0.001,,
48,121,32.2,52.1,0.012,,
62,121,32.2,44.6,0.016,,
55,110,31.8,40.9,0.006,,
33,136,31.6,50.0,-0.006,,
59,125,31.2,48.8,0.002,,
30,122,31.1,44.3,0.001,,
63,132,30.3,48.5,0.009,,
23,107,29.9,46.7,-0.001,,
70,130,29.2,45.4,0.022,,
29,101,28.7,44.6,0.019,,
47,129,28.7,42.6,-0.0,,
71,114,28.1,46.5,0.004,,
43,107,28.0,41.1,0.01,,
66,115,27.8,37.4,0.025,低▲,
34,115,27.8,48.7,0.006,低▲,
26,101,27.7,48.5,-0.008,低▲,
54,96,27.1,44.8,0.014,低▲,
11,110,26.4,44.5,0.013,低▲,
65,107,26.2,43.9,0.018,低▲,
14,119,26.1,41.2,0.003,低▲,
57,87,24.1,39.1,0.041,低▲,
17,120,23.3,38.3,0.019,低▲,
45,96,22.9,38.5,0.016,低▲,
69,83,20.5,34.9,0.032,低▲,
12,113,19.5,31.9,0.012,低▲,
19,135,19.3,44.4,-0.005,低▲,
