regno,選手名,全国外n,全国外3着率,当地外n,当地外3着率,採用外3着率,外3着源,n1c,負け,残し率,残し有効,型,n6,6コ2着率,6コ3着率,6残し有効,艇番5乗艇,艇番5_3連対率,艇番6乗艇,艇番6_3連対率,6ヒモ外し候補,艇番5低率
4470,平田健之佑,97.0,0.278,11.0,0.273,0.278,全国,46.0,15.0,0.4,,,34.0,0.147,0.353,,31,0.516,39,0.513,,
3946,赤岩善生,39.0,0.231,3.0,0.333,0.231,全国,69.0,24.0,0.542,○,,4.0,0.5,0.0,,45,0.6,44,0.659,,
4352,下條雄太郎,93.0,0.215,,,0.215,全国,46.0,12.0,0.417,,,34.0,0.176,0.176,,25,0.6,36,0.5,,
5134,大原祥昌,99.0,0.182,8.0,0.25,0.182,全国,41.0,14.0,0.286,,,36.0,0.167,0.194,,27,0.259,34,0.441,,
4645,上村純一,118.0,0.161,4.0,0.0,0.161,全国,52.0,13.0,0.615,,,43.0,0.116,0.256,○,39,0.436,41,0.439,,
4531,武富智亮,121.0,0.273,8.0,0.125,0.273,全国,46.0,11.0,0.636,,,40.0,0.025,0.25,○,42,0.643,36,0.306,,
3779,原田幸哉,113.0,0.168,3.0,0.0,0.168,全国,56.0,16.0,0.312,,,32.0,0.125,0.188,,34,0.353,48,0.417,,
5141,大澤風葵,93.0,0.183,5.0,0.0,0.183,全国,48.0,18.0,0.5,,,22.0,0.136,0.227,,30,0.5,32,0.438,,
4933,板橋侑我,102.0,0.255,,,0.255,全国,42.0,10.0,0.5,,,32.0,0.094,0.25,,34,0.471,33,0.333,,
5064,品川二千翔,119.0,0.218,,,0.218,全国,45.0,16.0,0.438,,,35.0,0.029,0.229,,37,0.595,38,0.316,,
4977,馬野耀,98.0,0.224,4.0,0.5,0.224,全国,39.0,17.0,0.471,,,27.0,0.148,0.148,,35,0.457,30,0.4,,
5161,登玉隼百,111.0,0.153,,,0.153,全国,36.0,8.0,0.75,,,38.0,0.132,0.158,,31,0.419,32,0.312,,
4497,桑原悠,92.0,0.239,,,0.239,全国,50.0,13.0,0.385,,,28.0,0.179,0.321,,32,0.5,30,0.567,,
3744,徳増秀樹,128.0,0.125,5.0,0.0,0.125,全国,65.0,18.0,0.389,,,19.0,0.053,0.0,,41,0.39,42,0.405,,
4824,松井洪弥,123.0,0.179,21.0,0.048,0.179,全国,49.0,20.0,0.45,○,,38.0,0.053,0.184,,37,0.541,41,0.293,,
4278,藤岡俊介,123.0,0.179,10.0,0.2,0.179,全国,65.0,11.0,0.727,,,32.0,0.281,0.125,,41,0.317,41,0.463,,
4816,村松修二,109.0,0.174,4.0,0.0,0.174,全国,38.0,15.0,0.267,,,33.0,0.061,0.182,,36,0.222,32,0.375,,●
5145,島川海輝,113.0,0.186,,,0.186,全国,50.0,14.0,0.429,,,35.0,0.086,0.086,,37,0.486,43,0.256,,
4931,木谷賢太,126.0,0.341,4.0,0.25,0.341,全国,59.0,16.0,0.375,,,40.0,0.15,0.3,○,44,0.682,41,0.463,,
4075,中野次郎,121.0,0.182,5.0,0.2,0.182,全国,50.0,20.0,0.65,○,残す型,40.0,0.125,0.1,○,37,0.486,40,0.275,,
4553,坪口竜也,103.0,0.214,1.0,0.0,0.214,全国,37.0,9.0,0.222,,,23.0,0.043,0.174,,41,0.512,23,0.261,,
4788,小池哲也,119.0,0.294,5.0,0.2,0.294,全国,54.0,21.0,0.333,○,,27.0,0.074,0.185,,47,0.596,34,0.353,,
4298,宮下元胤,117.0,0.308,,,0.308,全国,55.0,24.0,0.583,○,,28.0,0.143,0.25,,39,0.41,35,0.486,,
4441,末永由楽,122.0,0.295,5.0,0.4,0.295,全国,52.0,22.0,0.5,○,,39.0,0.051,0.308,,37,0.405,40,0.4,,
5055,眞鳥章太,121.0,0.182,8.0,0.25,0.182,全国,45.0,18.0,0.333,,,39.0,0.051,0.128,,34,0.471,39,0.256,,
4477,篠崎仁志,111.0,0.225,5.0,0.2,0.225,全国,52.0,12.0,0.417,,,36.0,0.167,0.25,,39,0.41,37,0.486,,
5060,数原魁,105.0,0.171,5.0,0.0,0.171,全国,36.0,15.0,0.133,,,33.0,0.03,0.182,,37,0.297,32,0.312,,
4649,和田操拓,129.0,0.163,4.0,0.0,0.163,全国,46.0,23.0,0.478,○,,43.0,0.023,0.163,○,36,0.333,41,0.146,●,
4825,倉持莉々,102.0,0.235,5.0,0.2,0.235,全国,47.0,14.0,0.429,,,24.0,0.292,0.167,,37,0.541,33,0.515,,
4072,森永淳,108.0,0.157,,,0.157,全国,55.0,11.0,0.273,,,25.0,0.04,0.2,,39,0.487,29,0.448,,
3978,齊藤仁,126.0,0.214,6.0,0.5,0.214,全国,52.0,15.0,0.2,,,41.0,0.098,0.22,○,41,0.488,43,0.349,,
4579,中嶋健一郎,111.0,0.18,18.0,0.278,0.18,全国,53.0,17.0,0.353,,,25.0,0.08,0.12,,36,0.528,34,0.382,,
4930,佐藤悠,123.0,0.228,5.0,0.2,0.228,全国,37.0,17.0,0.529,,,40.0,0.05,0.15,○,43,0.512,34,0.265,,
4294,古賀繁輝,122.0,0.213,7.0,0.0,0.213,全国,48.0,15.0,0.4,,,35.0,0.086,0.171,,38,0.447,37,0.432,,
4787,椎名豊,119.0,0.21,,,0.21,全国,61.0,16.0,0.5,,,38.0,0.184,0.211,,35,0.6,41,0.463,,
4804,高田ひかる,110.0,0.155,11.0,0.091,0.155,全国,51.0,18.0,0.389,,,34.0,0.059,0.118,,30,0.5,38,0.263,,
3721,守田俊介,102.0,0.176,6.0,0.167,0.176,全国,48.0,10.0,0.6,,,18.0,0.0,0.111,,35,0.429,37,0.405,,
3876,中辻崇人,78.0,0.154,,,0.154,全国,44.0,12.0,0.5,,,29.0,0.103,0.172,,24,0.667,31,0.452,,
5226,藤田俊祐,72.0,0.194,,,0.194,全国,29.0,8.0,0.0,,,22.0,0.091,0.227,,25,0.4,25,0.36,,
4961,西橋奈未,116.0,0.172,7.0,0.143,0.172,全国,56.0,19.0,0.526,,,37.0,0.108,0.243,,39,0.513,40,0.45,,
4985,井本昌也,118.0,0.178,5.0,0.2,0.178,全国,66.0,17.0,0.412,,,34.0,0.088,0.176,,42,0.476,38,0.316,,
4189,川上剛,114.0,0.219,,,0.219,全国,54.0,17.0,0.294,,,22.0,0.091,0.273,,37,0.324,40,0.525,,
5224,西岡顕心,117.0,0.265,5.0,0.2,0.265,全国,61.0,14.0,0.571,,,42.0,0.167,0.31,○,38,0.474,43,0.512,,
4533,峰重侑治,75.0,0.173,,,0.173,全国,18.0,9.0,0.111,,,30.0,0.067,0.1,,22,0.136,27,0.259,,●
5034,若林義人,110.0,0.218,10.0,0.4,0.218,全国,63.0,19.0,0.579,,,35.0,0.114,0.171,,42,0.476,41,0.341,,
3908,重成一人,123.0,0.211,4.0,0.0,0.211,全国,67.0,21.0,0.333,○,,47.0,0.043,0.191,○,44,0.455,44,0.409,,
5017,澤田尚也,114.0,0.132,2.0,0.0,0.132,全国,48.0,9.0,0.333,,,34.0,0.088,0.118,,38,0.553,34,0.206,●,
4914,吉田裕平,127.0,0.11,8.0,0.125,0.11,全国,42.0,5.0,0.4,,,37.0,0.243,0.081,,44,0.409,37,0.459,,
5038,金田智博,100.0,0.2,,,0.2,全国,41.0,13.0,0.615,,,33.0,0.061,0.152,,36,0.389,34,0.353,,
4873,蒲原健太,113.0,0.186,,,0.186,全国,48.0,24.0,0.292,○,飛ぶ型,27.0,0.074,0.111,,42,0.357,39,0.256,,
4315,山崎昂介,105.0,0.171,,,0.171,全国,27.0,15.0,0.2,,,27.0,0.037,0.037,,38,0.368,27,0.111,●,
3867,松浦勝,100.0,0.11,,,0.11,全国,24.0,16.0,0.312,,,25.0,0.04,0.04,,34,0.118,24,0.125,●,●
4871,菊池宏志,92.0,0.185,5.0,0.2,0.185,全国,29.0,16.0,0.312,,,29.0,0.0,0.138,,34,0.353,30,0.2,●,
5348,小林甘寧,147.0,0.136,8.0,0.375,0.136,全国,3.0,3.0,0.0,,,75.0,0.133,0.08,○,41,0.39,64,0.266,,
3211,北川敏弘,90.0,0.089,,,0.089,全国,28.0,22.0,0.227,,,29.0,0.069,0.069,,29,0.138,30,0.2,●,●
4448,青木玄太,115.0,0.243,,,0.243,全国,49.0,11.0,0.636,,,31.0,0.258,0.29,,39,0.487,33,0.606,,
4640,山ノ内雅人,136.0,0.228,4.0,0.25,0.228,全国,58.0,25.0,0.68,○,残す型,37.0,0.135,0.216,,51,0.49,39,0.359,,
4978,山田和佐,120.0,0.2,,,0.2,全国,36.0,20.0,0.3,,,37.0,0.108,0.108,,44,0.295,35,0.229,●,
4213,重富伸也,133.0,0.09,5.0,0.0,0.09,全国,16.0,11.0,0.455,,,71.0,0.113,0.07,○,41,0.39,50,0.36,,
5309,森雄利,99.0,0.051,,,0.051,全国,9.0,5.0,0.2,,,35.0,0.0,0.029,,34,0.118,29,0.034,●,●
5258,仲本舜,92.0,0.163,,,0.163,全国,22.0,10.0,0.1,,,27.0,0.037,0.185,,31,0.29,25,0.24,●,
3499,市川哲也,98.0,0.276,3.0,0.333,0.276,全国,53.0,12.0,0.333,,,25.0,0.08,0.2,,29,0.448,39,0.308,,
3776,横井健太,99.0,0.101,7.0,0.286,0.101,全国,23.0,22.0,0.091,,,30.0,0.0,0.0,,33,0.303,29,0.034,●,
