regno,選手名,全国ダッシュn,全国ダッシュST,全国スローn,全国スローST,当地ダッシュn,当地ダッシュST,当地スローn,当地スローST,採用スローST,スロー源,スロー遅れ,スロー巧者,採用ダッシュST,ダッシュ源,ダッシュ遅れ,ダッシュ巧者
2538,高橋二朗,80.0,0.21,98.0,0.209,3.0,0.2,2.0,0.26,0.209,全国,●,,0.21,全国,●,
2878,富山弘幸,92.0,0.176,117.0,0.169,5.0,0.132,5.0,0.14,0.169,全国,,,0.176,全国,,
3024,西島義則,3.0,0.137,214.0,0.164,,,10.0,0.146,0.146,当地,,,0.137,全国,,
3054,北川幸典,81.0,0.183,80.0,0.176,4.0,0.175,5.0,0.184,0.176,全国,,,0.183,全国,●,
3070,山室展弘,30.0,0.133,94.0,0.162,,,,,0.162,全国,,,0.133,全国,,
3072,西田靖,,,192.0,0.163,,,,,0.163,全国,,,,全国,,
3075,中村裕将,102.0,0.13,110.0,0.128,4.0,0.085,6.0,0.115,0.128,全国,,●,0.13,全国,,●
3081,岡本慎治,61.0,0.172,58.0,0.166,,,,,0.166,全国,,,0.172,全国,,
3105,内山文典,84.0,0.174,94.0,0.175,4.0,0.13,5.0,0.144,0.175,全国,,,0.174,全国,,
3107,平岡重典,68.0,0.177,73.0,0.174,5.0,0.176,5.0,0.14,0.174,全国,,,0.177,全国,,
3156,金子良昭,54.0,0.185,123.0,0.167,3.0,0.207,6.0,0.168,0.167,全国,,,0.185,全国,●,
3158,島川光男,111.0,0.149,119.0,0.145,5.0,0.17,5.0,0.15,0.145,全国,,,0.149,全国,,
3159,江口晃生,,,167.0,0.156,,,17.0,0.145,0.145,当地,,,,全国,,
3161,古場輝義,71.0,0.169,135.0,0.187,8.0,0.188,13.0,0.145,0.145,当地,,,0.169,全国,,
3175,渡辺千草,92.0,0.153,89.0,0.16,11.0,0.139,7.0,0.163,0.16,全国,,,0.139,当地,,
3176,長谷川巌,59.0,0.207,64.0,0.177,,,,,0.177,全国,,,0.207,全国,●,
3202,三品隆浩,99.0,0.213,108.0,0.187,8.0,0.2,9.0,0.176,0.187,全国,●,,0.213,全国,●,
3207,田村美和,75.0,0.154,86.0,0.196,,,,,0.196,全国,●,,0.154,全国,,
3211,北川敏弘,90.0,0.172,93.0,0.18,,,,,0.18,全国,,,0.172,全国,,
3212,亀本勇樹,72.0,0.158,113.0,0.169,4.0,0.06,5.0,0.14,0.169,全国,,,0.158,全国,,
3224,栗山繁洋,95.0,0.196,96.0,0.195,,,,,0.195,全国,●,,0.196,全国,●,
3226,浦田信義,97.0,0.188,110.0,0.179,4.0,0.125,5.0,0.206,0.179,全国,,,0.188,全国,●,
3232,山川美由紀,83.0,0.163,92.0,0.152,,,,,0.152,全国,,,0.163,全国,,
3233,小畑実成,99.0,0.173,103.0,0.16,,,,,0.16,全国,,,0.173,全国,,
3246,星野政彦,35.0,0.154,43.0,0.178,4.0,0.132,5.0,0.21,0.178,全国,,,0.154,全国,,
3251,平石和男,129.0,0.195,158.0,0.187,5.0,0.178,5.0,0.182,0.187,全国,●,,0.195,全国,●,
3256,三角哲男,100.0,0.16,129.0,0.134,,,,,0.134,全国,,,0.16,全国,,
3257,田頭実,4.0,0.168,198.0,0.137,,,9.0,0.132,0.137,全国,,,0.168,全国,,
3265,今村暢孝,,,179.0,0.144,,,,,0.144,全国,,,,全国,,
3268,森竜也,83.0,0.176,125.0,0.157,17.0,0.185,27.0,0.166,0.166,当地,,,0.185,当地,●,
3273,石田豪,6.0,0.192,5.0,0.186,,,,,0.186,全国,●,,0.192,全国,●,
3277,齋藤勇,97.0,0.18,112.0,0.174,8.0,0.19,12.0,0.158,0.158,当地,,,0.18,全国,,
3282,池本輝明,96.0,0.216,107.0,0.186,,,,,0.186,全国,●,,0.216,全国,●,
3284,渡邊伸太郎,83.0,0.215,107.0,0.18,2.0,0.2,6.0,0.202,0.18,全国,●,,0.215,全国,●,
3286,坂東満,64.0,0.183,68.0,0.147,6.0,0.2,4.0,0.173,0.147,全国,,,0.183,全国,●,
3289,高橋淳美,55.0,0.201,71.0,0.181,3.0,0.173,4.0,0.222,0.181,全国,●,,0.201,全国,●,
3293,宮内由紀英,91.0,0.202,88.0,0.188,9.0,0.212,6.0,0.198,0.188,全国,●,,0.202,全国,●,
3294,野中義生,89.0,0.144,78.0,0.178,14.0,0.168,8.0,0.171,0.178,全国,,,0.168,当地,,
3297,藤丸光一,38.0,0.208,129.0,0.202,1.0,0.09,7.0,0.167,0.202,全国,●,,0.208,全国,●,
3300,川崎智幸,116.0,0.164,139.0,0.143,4.0,0.167,10.0,0.144,0.144,当地,,,0.164,全国,,
3302,谷川里江,67.0,0.172,71.0,0.175,5.0,0.162,4.0,0.148,0.175,全国,,,0.172,全国,,
3303,渡辺豊,125.0,0.208,131.0,0.192,,,,,0.192,全国,●,,0.208,全国,●,
3304,烏野賢太,122.0,0.175,142.0,0.173,4.0,0.248,7.0,0.2,0.173,全国,,,0.175,全国,,
3305,小野信樹,87.0,0.159,89.0,0.171,3.0,0.127,3.0,0.18,0.171,全国,,,0.159,全国,,
3306,武田正紀,85.0,0.149,86.0,0.163,4.0,0.145,3.0,0.097,0.163,全国,,,0.149,全国,,
3313,本吉正樹,92.0,0.183,94.0,0.18,4.0,0.168,4.0,0.12,0.18,全国,●,,0.183,全国,●,
3315,広瀬聖仁,72.0,0.199,72.0,0.152,3.0,0.24,4.0,0.148,0.152,全国,,,0.199,全国,●,
3319,山崎義明,110.0,0.156,111.0,0.167,10.0,0.141,8.0,0.192,0.167,全国,,,0.141,当地,,
3327,野長瀬正孝,76.0,0.187,151.0,0.154,,,,,0.154,全国,,,0.187,全国,●,
3333,丸尾義孝,131.0,0.157,146.0,0.138,14.0,0.161,14.0,0.127,0.127,当地,,●,0.161,当地,,
3334,角ひとみ,118.0,0.201,141.0,0.195,,,,,0.195,全国,●,,0.201,全国,●,
3339,泉具巳,92.0,0.157,97.0,0.175,,,,,0.175,全国,,,0.157,全国,,
3340,池田雷太,98.0,0.195,104.0,0.183,,,,,0.183,全国,●,,0.195,全国,●,
3346,宮本裕之,37.0,0.173,38.0,0.164,3.0,0.17,3.0,0.18,0.164,全国,,,0.173,全国,,
3349,吉田一郎,90.0,0.155,152.0,0.159,,,,,0.159,全国,,,0.155,全国,,
3350,藤本佳史,103.0,0.194,100.0,0.146,13.0,0.172,12.0,0.132,0.132,当地,,,0.172,当地,,
3352,小川晃司,197.0,0.168,,,16.0,0.163,,,,全国,,,0.163,当地,,
3353,前田光昭,55.0,0.145,46.0,0.186,5.0,0.186,4.0,0.208,0.186,全国,●,,0.145,全国,,
3355,橋谷田佳織,40.0,0.259,45.0,0.256,,,,,0.256,全国,●,,0.259,全国,●,
3357,福島陽子,94.0,0.201,94.0,0.199,,,,,0.199,全国,●,,0.201,全国,●,
3361,岡部浩,77.0,0.192,83.0,0.162,,,,,0.162,全国,,,0.192,全国,●,
3362,間嶋仁志,35.0,0.193,187.0,0.188,,,,,0.188,全国,●,,0.193,全国,●,
3370,坪内実,81.0,0.189,87.0,0.178,3.0,0.34,4.0,0.165,0.178,全国,,,0.189,全国,●,
3372,加藤雅之,77.0,0.215,74.0,0.204,,,,,0.204,全国,●,,0.215,全国,●,
3377,塚田修二,83.0,0.186,80.0,0.217,5.0,0.204,4.0,0.205,0.217,全国,●,,0.186,全国,●,
3381,滝沢芳行,100.0,0.136,105.0,0.153,3.0,0.143,7.0,0.159,0.153,全国,,,0.136,全国,,
3385,渡邉睦広,101.0,0.159,107.0,0.154,7.0,0.147,9.0,0.102,0.154,全国,,,0.159,全国,,
3388,今垣光太郎,92.0,0.155,100.0,0.151,4.0,0.135,4.0,0.16,0.151,全国,,,0.155,全国,,
3392,小森信雄,89.0,0.209,94.0,0.189,12.0,0.203,14.0,0.181,0.181,当地,●,,0.203,当地,●,
3401,上田隆章,100.0,0.239,107.0,0.196,4.0,0.188,6.0,0.152,0.196,全国,●,,0.239,全国,●,
3406,中里英夫,116.0,0.189,126.0,0.158,,,,,0.158,全国,,,0.189,全国,●,
3411,池上隆行,97.0,0.169,95.0,0.146,4.0,0.135,4.0,0.148,0.146,全国,,,0.169,全国,,
3412,鈴木博,138.0,0.159,150.0,0.157,4.0,0.178,7.0,0.156,0.157,全国,,,0.159,全国,,
3414,加瀬智宏,16.0,0.171,18.0,0.17,2.0,0.14,1.0,0.16,0.17,全国,,,0.171,全国,,
3415,松井繁,97.0,0.141,157.0,0.138,4.0,0.095,7.0,0.176,0.138,全国,,,0.141,全国,,
3419,栗原謙治,39.0,0.237,35.0,0.185,8.0,0.245,5.0,0.2,0.185,全国,●,,0.237,全国,●,
3422,服部幸男,122.0,0.15,141.0,0.147,8.0,0.14,9.0,0.137,0.147,全国,,,0.15,全国,,
3430,角浜修,110.0,0.173,111.0,0.168,9.0,0.206,9.0,0.168,0.168,全国,,,0.173,全国,,
3432,宮迫暢彦,100.0,0.195,96.0,0.15,6.0,0.197,,,0.15,全国,,,0.195,全国,●,
3434,松尾宣邦,108.0,0.172,99.0,0.178,5.0,0.15,4.0,0.168,0.178,全国,,,0.172,全国,,
3435,寺田千恵,113.0,0.149,128.0,0.16,,,,,0.16,全国,,,0.149,全国,,
3436,柏野幸二,87.0,0.14,100.0,0.117,7.0,0.144,9.0,0.116,0.117,全国,,●,0.14,全国,,
3439,大平誉史明,102.0,0.157,115.0,0.157,8.0,0.146,12.0,0.178,0.178,当地,,,0.157,全国,,
